Pathway,Group,Gene,Mean,SD,Q1,Q3,Ymin,Ymax,N
A-EJ,Cerebellum,Lig1,203.04749245786,32.8668197661661,186.08775684838,224.632092909659,149.610763441994,255.075398629521,9
A-EJ,Cerebellum,Lig3,823.502705899128,81.1361005405782,742.959151993199,907.991945119035,736.398732103135,927.239953595703,9
A-EJ,Colon,Parp1,1328.70826705578,68.9875870610406,1298.67189672834,1354.66137620316,1249.02304335431,1416.56001311734,4
A-EJ,Colon,Polq,241.254703000353,97.0709661738962,174.189949625313,317.548280079627,131.459465306386,332.592293285853,4
A-EJ,Colon,Lig1,555.422414825898,45.3614971860629,548.411221646322,579.477208279624,501.812241696369,588.267430349999,4
A-EJ,Colon,Lig3,1377.65202516267,73.3445360328237,1321.56199445502,1417.27970433285,1316.01216040998,1472.2165929903,4
A-EJ,Dorsal skin,Parp1,1266.13504950768,357.765707933252,1043.24335786921,1432.18950584633,688.24683184203,2015.60872781201,30
A-EJ,Dorsal skin,Polq,251.545388346516,142.843713957775,145.20968744218,327.506067828684,74.9240273671389,600.950638408441,30
A-EJ,Dorsal skin,Lig1,425.457534957928,230.700435698355,287.229966779513,532.957579229423,215.483811169809,901.548997904288,30
A-EJ,Dorsal skin,Lig3,2271.46243816761,368.368996285379,1952.47751940045,2468.27064051409,1577.03601681475,2934.14772149995,30
A-EJ,Extensor digitorum longus,Parp1,2906.89307062915,588.032262913816,2461.24569249772,3514.13917158308,2045.81052592756,3726.58527151063,15
A-EJ,Extensor digitorum longus,Polq,54.0212801840742,20.8800026037883,38.5188261857145,70.2024466442086,28.3878965971292,91.4497256401185,15
A-EJ,Extensor digitorum longus,Lig1,76.2940340410389,17.1475538740237,66.0928205457633,89.8657514261338,43.8019663709208,100.754048536065,15
A-EJ,Extensor digitorum longus,Lig3,1840.37754304364,137.815538216783,1755.14202083307,1939.10919558289,1603.98939460774,2084.11451323306,15
A-EJ,Eye,Parp1,2814.21902103823,431.765147598145,2457.83403231196,3143.32278839486,2380.06852936015,3531.55972033458,11
A-EJ,Eye,Polq,144.196445895044,26.0733589650195,126.82308163958,157.60558028475,103.5572813144,194.40795696404,11
A-EJ,Eye,Lig1,544.795203768353,256.36319453334,316.928467587348,766.300069758178,200.557116633746,888.071919202846,11
