Group,TissueLabel,Pathway,PathwayDisplay,ComponentOrder,RequestedComponent,OfficialMouseSymbol,EnsemblID,MGI_ID,EntrezID,FlightExpressionLog2NormalizedCount,ExpressionWithinTissueScaled,log2FoldChange,tissue_meta_p,padj,Log2FCDisplayed,NominalPDisplayed,n_missions,n_analysis_units,expression_n_missions,expression_n_analysis_units,expression_n_flight_samples,ExpressionLabel,Log2FCLabel,DisplayComponent,Log2FCFullLabel
Lung,"Lung
肺",NHEJ,NHEJ,4,XLF,Nhej1,ENSMUSG00000026162,MGI:1922820,75570,6.71368087280621,0.213035397162527,-0.122669963128086,0.512120715895127,1,,FALSE,1,2,1,2,14,6.7,"",Nhej1,-0.12
Mammary gland,"Mammary gland
乳腺",NHEJ,NHEJ,4,XLF,Nhej1,ENSMUSG00000026162,MGI:1922820,75570,7.51991622662029,0.385162995532385,0.272820226460905,0.125007640664614,0.588505906685341,,FALSE,1,2,1,2,10,7.5,"",Nhej1,+0.27
Optic nerve,"Optic nerve
视神经",NHEJ,NHEJ,4,XLF,Nhej1,ENSMUSG00000026162,MGI:1922820,75570,7.08495801753017,0.226547546791538,-0.0793145592325584,0.71590458559758,1,,FALSE,1,1,1,1,5,7.1,"",Nhej1,-0.08
Quadriceps femoris,"Quadriceps femoris
股四头肌",NHEJ,NHEJ,4,XLF,Nhej1,ENSMUSG00000026162,MGI:1922820,75570,7.72967741609059,0.560077367407505,-0.347773368323942,0.00138475987857986,0.0127331373820166,-0.347773368323942,TRUE,1,1,1,1,9,7.7,-0.35,Nhej1,-0.35
Retina,"Retina
视网膜",NHEJ,NHEJ,4,XLF,Nhej1,ENSMUSG00000026162,MGI:1922820,75570,5.37370705326056,0.12312266451474,-0.17920218134546,0.0977341451355717,0.476154787056052,,FALSE,4,4,4,4,27,5.4,"",Nhej1,-0.18
Soleus,"Soleus
比目鱼肌",NHEJ,NHEJ,4,XLF,Nhej1,ENSMUSG00000026162,MGI:1922820,75570,6.16610963015215,0.378820641196375,-0.224208512344872,0.481997935828371,0.656239724833888,,FALSE,3,3,3,3,18,6.2,"",Nhej1,-0.22
Spleen,"Spleen
脾脏",NHEJ,NHEJ,4,XLF,Nhej1,ENSMUSG00000026162,MGI:1922820,75570,6.82605033192848,0.00392707716392869,-0.0563870806522173,0.714387109763246,0.999085092509181,,FALSE,1,1,1,1,9,6.8,"",Nhej1,-0.06
Spleen-distal,"Spleen-distal
脾脏（远端）",NHEJ,NHEJ,4,XLF,Nhej1,ENSMUSG00000026162,MGI:1922820,75570,2.86454187757821,0,-0.263953256907242,0.63794398681511,0.997961498241018,,FALSE,1,1,1,1,10,2.9,"",Nhej1,-0.26
Thymus,"Thymus
胸腺",NHEJ,NHEJ,4,XLF,Nhej1,ENSMUSG00000026162,MGI:1922820,75570,5.54214360576121,0,-0.69485833920459,0.0328779592867538,0.147789158996485,-0.69485833920459,TRUE,3,4,3,4,23,5.5,-0.69,Nhej1,-0.69
Tibialis anterior,"Tibialis anterior
胫骨前肌",NHEJ,NHEJ,4,XLF,Nhej1,ENSMUSG00000026162,MGI:1922820,75570,7.68349598823038,0.585550582932623,-0.257468154964735,0.0981844921595943,0.440118297718562,,FALSE,1,1,1,1,9,7.7,"",Nhej1,-0.26
Adrenal gland,"Adrenal gland
肾上腺",NHEJ,NHEJ,5,PAXX,Paxx,ENSMUSG00000047617,MGI:2442831,227622,9.93282670385539,0.67769013551711,0.205986117317997,0.024516189300606,0.2299217194324,0.205986117317997,TRUE,2,2,2,2,14,9.9,+0.21,Paxx,+0.21
Bone marrow,"Bone marrow
骨髓",NHEJ,NHEJ,5,PAXX,Paxx,ENSMUSG00000047617,MGI:2442831,227622,7.56106457080547,0.170062817488452,0.0655244115412165,0.642365051101695,0.846725359479009,,FALSE,1,1,1,1,6,7.6,"",Paxx,+0.07
Cecum,"Cecum
盲肠",NHEJ,NHEJ,5,PAXX,Paxx,ENSMUSG00000047617,MGI:2442831,227622,5.92993105059492,0.0800143039831067,-0.334244468565042,0.112589381139592,1,,FALSE,1,1,1,1,5,5.9,"",Paxx,-0.33
Cerebellum,"Cerebellum
小脑",NHEJ,NHEJ,5,PAXX,Paxx,ENSMUSG00000047617,MGI:2442831,227622,9.45270350740781,0.773112701725456,0.255281756612371,0.106062849896822,0.525127659571571,,FALSE,1,1,1,1,9,9.5,"",Paxx,+0.26
Colon,"Colon
结肠",NHEJ,NHEJ,5,PAXX,Paxx,ENSMUSG00000047617,MGI:2442831,227622,8.05903747520422,0.287078977605186,-0.273074404910977,0.0953742735956309,1,,FALSE,1,1,1,1,4,8.1,"",Paxx,-0.27
Dorsal skin,"Dorsal skin
背部皮肤",NHEJ,NHEJ,5,PAXX,Paxx,ENSMUSG00000047617,MGI:2442831,227622,7.95181471041135,0.20065388201549,-0.0629215761477217,0.960046032125243,1,,FALSE,2,5,2,5,30,8.0,"",Paxx,-0.06
Extensor digitorum longus,"Extensor digitorum longus
趾长伸肌",NHEJ,NHEJ,5,PAXX,Paxx,ENSMUSG00000047617,MGI:2442831,227622,7.60042825873537,0.523945690932149,0.0492020376813062,0.390625390270434,0.696941747092189,,FALSE,2,2,2,2,15,7.6,"",Paxx,+0.05
Eye,"Eye
眼",NHEJ,NHEJ,5,PAXX,Paxx,ENSMUSG00000047617,MGI:2442831,227622,10.1973148325353,0.69843200174179,0.0361182112584297,0.844559180391135,0.999687556394716,,FALSE,2,2,2,2,11,10.2,"",Paxx,+0.04
Femoral lateral skin,"Femoral lateral skin
股外侧皮肤",NHEJ,NHEJ,5,PAXX,Paxx,ENSMUSG00000047617,MGI:2442831,227622,8.46943786108818,0.301595071048624,-0.0104739681046542,0.904635565245128,0.992919033570291,,FALSE,1,1,1,1,9,8.5,"",Paxx,-0.01
Femoral skin,"Femoral skin
股部皮肤",NHEJ,NHEJ,5,PAXX,Paxx,ENSMUSG00000047617,MGI:2442831,227622,8.39470546248843,0.360665430610572,0.201787621419428,0.102532589731375,1,,FALSE,1,1,1,1,2,8.4,"",Paxx,+0.20
Gastrocnemius,"Gastrocnemius
腓肠肌",NHEJ,NHEJ,5,PAXX,Paxx,ENSMUSG00000047617,MGI:2442831,227622,6.23801964386653,0.535837761796547,0.0077443574670735,0.7123534263403,1,,FALSE,1,2,1,2,10,6.2,"",Paxx,+0.01
Heart,"Heart
心脏",NHEJ,NHEJ,5,PAXX,Paxx,ENSMUSG00000047617,MGI:2442831,227622,6.46542210651888,0.570827689376229,-0.341268890173072,0.242963330468747,0.8865038964534,,FALSE,1,1,1,1,3,6.5,"",Paxx,-0.34
Heart / Heart right ventricle,"Heart / Heart right ventricle
心脏 / 右心室",NHEJ,NHEJ,5,PAXX,Paxx,ENSMUSG00000047617,MGI:2442831,227622,8.28282197693778,0.691481636918332,-0.140339484178336,0.582190259302718,1,,FALSE,1,2,1,2,10,8.3,"",Paxx,-0.14
Kidney,"Kidney
肾脏",NHEJ,NHEJ,5,PAXX,Paxx,ENSMUSG00000047617,MGI:2442831,227622,8.76874277797396,0.616827622631261,0.0281121643012675,0.589576125402436,0.935977186542727,,FALSE,4,9,4,9,55,8.8,"",Paxx,+0.03
Left lobe of the liver,"Left lobe of the liver
肝左叶",NHEJ,NHEJ,5,PAXX,Paxx,ENSMUSG00000047617,MGI:2442831,227622,8.21115650499009,0.766148785405658,0.177698935256282,0.35926201150328,0.905055915592561,,FALSE,2,3,2,3,24,8.2,"",Paxx,+0.18
Liver,"Liver
肝脏",NHEJ,NHEJ,5,PAXX,Paxx,ENSMUSG00000047617,MGI:2442831,227622,8.60891755433419,0.835923053236421,0.090825160414262,0.869993906494552,1,,FALSE,3,5,3,5,19,8.6,"",Paxx,+0.09
Lung,"Lung
肺",NHEJ,NHEJ,5,PAXX,Paxx,ENSMUSG00000047617,MGI:2442831,227622,9.18489504628343,0.678221750302227,0.217808724841257,0.12343924538577,1,,FALSE,1,2,1,2,14,9.2,"",Paxx,+0.22
Mammary gland,"Mammary gland
乳腺",NHEJ,NHEJ,5,PAXX,Paxx,ENSMUSG00000047617,MGI:2442831,227622,9.3285633508995,0.694585350679169,0.234494178442906,0.0847866279520125,0.520177420138022,,FALSE,1,2,1,2,10,9.3,"",Paxx,+0.23
Optic nerve,"Optic nerve
视神经",NHEJ,NHEJ,5,PAXX,Paxx,ENSMUSG00000047617,MGI:2442831,227622,9.41200877068772,0.657001565532036,0.565479522486886,0.00362527148911029,0.134083193776617,0.565479522486886,TRUE,1,1,1,1,5,9.4,+0.57,Paxx,+0.57
Quadriceps femoris,"Quadriceps femoris
股四头肌",NHEJ,NHEJ,5,PAXX,Paxx,ENSMUSG00000047617,MGI:2442831,227622,7.61189356313638,0.545206167779392,0.0992567872920905,0.269434609103126,0.531721291891477,,FALSE,1,1,1,1,9,7.6,"",Paxx,+0.10
Retina,"Retina
视网膜",NHEJ,NHEJ,5,PAXX,Paxx,ENSMUSG00000047617,MGI:2442831,227622,9.54365710824893,0.7939306959071,-0.0931349498700012,0.606824202642486,0.888170709925184,,FALSE,4,4,4,4,27,9.5,"",Paxx,-0.09
Soleus,"Soleus
比目鱼肌",NHEJ,NHEJ,5,PAXX,Paxx,ENSMUSG00000047617,MGI:2442831,227622,6.97476578968657,0.508520630922221,0.0328400881864724,0.378563390603365,0.564601569904874,,FALSE,3,3,3,3,18,7.0,"",Paxx,+0.03
Spleen,"Spleen
脾脏",NHEJ,NHEJ,5,PAXX,Paxx,ENSMUSG00000047617,MGI:2442831,227622,8.75881212123984,0.480517620360919,-0.0312172144273444,0.794033742758905,0.999085092509181,,FALSE,1,1,1,1,9,8.8,"",Paxx,-0.03
Spleen-distal,"Spleen-distal
脾脏（远端）",NHEJ,NHEJ,5,PAXX,Paxx,ENSMUSG00000047617,MGI:2442831,227622,5.68698709095465,0.476437038098247,0.0924954153415564,0.682506884455161,0.997961498241018,,FALSE,1,1,1,1,10,5.7,"",Paxx,+0.09
Thymus,"Thymus
胸腺",NHEJ,NHEJ,5,PAXX,Paxx,ENSMUSG00000047617,MGI:2442831,227622,7.80352169603297,0.452019776599083,-0.135846800619518,0.678603098100091,0.86129883273985,,FALSE,3,4,3,4,23,7.8,"",Paxx,-0.14
Tibialis anterior,"Tibialis anterior
胫骨前肌",NHEJ,NHEJ,5,PAXX,Paxx,ENSMUSG00000047617,MGI:2442831,227622,8.2160224156465,0.650286523906463,0.0677151656709759,0.401464316203803,0.82370574574923,,FALSE,1,1,1,1,9,8.2,"",Paxx,+0.07
Adrenal gland,"Adrenal gland
肾上腺",NHEJ,NHEJ,6,XRCC4,Xrcc4,ENSMUSG00000021615,MGI:1333799,108138,9.40803057384124,0.596769267768166,0.0738097386917999,0.224440601400595,0.628104282940157,,FALSE,2,2,2,2,14,9.4,"",Xrcc4,+0.07
Bone marrow,"Bone marrow
骨髓",NHEJ,NHEJ,6,XRCC4,Xrcc4,ENSMUSG00000021615,MGI:1333799,108138,6.84384093761863,0,0.338325500922419,0.0111473441638111,0.069011673790558,0.338325500922419,TRUE,1,1,1,1,6,6.8,+0.34,Xrcc4,+0.34
Cecum,"Cecum
盲肠",NHEJ,NHEJ,6,XRCC4,Xrcc4,ENSMUSG00000021615,MGI:1333799,108138,6.02378197990561,0.10928698054068,-0.106869087759247,0.615268393425303,1,,FALSE,1,1,1,1,5,6.0,"",Xrcc4,-0.11
Cerebellum,"Cerebellum
小脑",NHEJ,NHEJ,6,XRCC4,Xrcc4,ENSMUSG00000021615,MGI:1333799,108138,9.94944181108339,0.852562645754452,0.136123265294581,0.181198946660279,0.655719824382634,,FALSE,1,1,1,1,9,9.9,"",Xrcc4,+0.14
Colon,"Colon
结肠",NHEJ,NHEJ,6,XRCC4,Xrcc4,ENSMUSG00000021615,MGI:1333799,108138,7.51450148015658,0.126038525002338,-0.156403779003263,0.430365205575034,1,,FALSE,1,1,1,1,4,7.5,"",Xrcc4,-0.16
Dorsal skin,"Dorsal skin
背部皮肤",NHEJ,NHEJ,6,XRCC4,Xrcc4,ENSMUSG00000021615,MGI:1333799,108138,8.12129534842364,0.243129780882336,-0.109423777858317,0.55473344474429,1,,FALSE,2,5,2,5,30,8.1,"",Xrcc4,-0.11
Extensor digitorum longus,"Extensor digitorum longus
趾长伸肌",NHEJ,NHEJ,6,XRCC4,Xrcc4,ENSMUSG00000021615,MGI:1333799,108138,8.52166572421304,0.638038387413539,0.003594173439024,0.938332264559522,0.980092182044826,,FALSE,2,2,2,2,15,8.5,"",Xrcc4,+0.00
Eye,"Eye
眼",NHEJ,NHEJ,6,XRCC4,Xrcc4,ENSMUSG00000021615,MGI:1333799,108138,9.57261235019599,0.578630698627711,-0.0575121689047093,0.241457972433854,0.999687556394716,,FALSE,2,2,2,2,11,9.6,"",Xrcc4,-0.06
Femoral lateral skin,"Femoral lateral skin
股外侧皮肤",NHEJ,NHEJ,6,XRCC4,Xrcc4,ENSMUSG00000021615,MGI:1333799,108138,8.00832441447225,0.174866855507925,-0.00546209620214717,0.963877906879431,0.995791480544397,,FALSE,1,1,1,1,9,8.0,"",Xrcc4,-0.01
Femoral skin,"Femoral skin
股部皮肤",NHEJ,NHEJ,6,XRCC4,Xrcc4,ENSMUSG00000021615,MGI:1333799,108138,7.75667610604062,0.203738486930581,0.0694492855954983,0.770838846662903,1,,FALSE,1,1,1,1,2,7.8,"",Xrcc4,+0.07
Gastrocnemius,"Gastrocnemius
腓肠肌",NHEJ,NHEJ,6,XRCC4,Xrcc4,ENSMUSG00000021615,MGI:1333799,108138,5.61730566591457,0.4377906485886,-0.7699743698129,0.449082075131886,1,,FALSE,1,2,1,2,10,5.6,"",Xrcc4,-0.77
Heart,"Heart
心脏",NHEJ,NHEJ,6,XRCC4,Xrcc4,ENSMUSG00000021615,MGI:1333799,108138,7.2024613828505,0.683435024252819,0.127446740470112,0.654460754455275,0.980388498537029,,FALSE,1,1,1,1,3,7.2,"",Xrcc4,+0.13
Heart / Heart right ventricle,"Heart / Heart right ventricle
心脏 / 右心室",NHEJ,NHEJ,6,XRCC4,Xrcc4,ENSMUSG00000021615,MGI:1333799,108138,8.47235301409051,0.717639030774056,-0.0302535306247747,0.747540390601268,1,,FALSE,1,2,1,2,10,8.5,"",Xrcc4,-0.03
Kidney,"Kidney
肾脏",NHEJ,NHEJ,6,XRCC4,Xrcc4,ENSMUSG00000021615,MGI:1333799,108138,9.08920204006824,0.671075912820225,0.125595463474467,0.232513241993695,0.729398527212217,,FALSE,4,9,4,9,55,9.1,"",Xrcc4,+0.13
Left lobe of the liver,"Left lobe of the liver
肝左叶",NHEJ,NHEJ,6,XRCC4,Xrcc4,ENSMUSG00000021615,MGI:1333799,108138,8.16501867256297,0.759811467588494,0.237520251076659,0.0190236354983472,0.209613656344117,0.237520251076659,TRUE,2,3,2,3,24,8.2,+0.24,Xrcc4,+0.24
Liver,"Liver
肝脏",NHEJ,NHEJ,6,XRCC4,Xrcc4,ENSMUSG00000021615,MGI:1333799,108138,7.33197218274955,0.633315872576759,0.209795310037544,0.187979112838847,1,,FALSE,3,5,3,5,19,7.3,"",Xrcc4,+0.21
Lung,"Lung
肺",NHEJ,NHEJ,6,XRCC4,Xrcc4,ENSMUSG00000021615,MGI:1333799,108138,8.78477884132609,0.602903066792776,0.0806122066204585,0.550114709100995,1,,FALSE,1,2,1,2,14,8.8,"",Xrcc4,+0.08
Mammary gland,"Mammary gland
乳腺",NHEJ,NHEJ,6,XRCC4,Xrcc4,ENSMUSG00000021615,MGI:1333799,108138,8.42159131802679,0.53942107418959,0.0660738795960668,0.53042087150803,0.915267812822418,,FALSE,1,2,1,2,10,8.4,"",Xrcc4,+0.07
Optic nerve,"Optic nerve
视神经",NHEJ,NHEJ,6,XRCC4,Xrcc4,ENSMUSG00000021615,MGI:1333799,108138,7.99037033939375,0.394029228071807,0.162734722951899,0.360543090384235,0.952927311593814,,FALSE,1,1,1,1,5,8.0,"",Xrcc4,+0.16
Quadriceps femoris,"Quadriceps femoris
股四头肌",NHEJ,NHEJ,6,XRCC4,Xrcc4,ENSMUSG00000021615,MGI:1333799,108138,8.77063922838917,0.691507529757121,0.249258548011658,0.00541425864976885,0.0364461884816537,0.249258548011658,TRUE,1,1,1,1,9,8.8,+0.25,Xrcc4,+0.25
Retina,"Retina
视网膜",NHEJ,NHEJ,6,XRCC4,Xrcc4,ENSMUSG00000021615,MGI:1333799,108138,8.81119533689594,0.676101649412002,0.000947746594377255,0.737430645205655,0.933867414449113,,FALSE,4,4,4,4,27,8.8,"",Xrcc4,+0.00
Soleus,"Soleus
比目鱼肌",NHEJ,NHEJ,6,XRCC4,Xrcc4,ENSMUSG00000021615,MGI:1333799,108138,7.12787629972429,0.533077955249343,-0.102849138360308,0.0111896131258267,0.0488944763974221,-0.102849138360308,TRUE,3,3,3,3,18,7.1,-0.10,Xrcc4,-0.10
Spleen,"Spleen
脾脏",NHEJ,NHEJ,6,XRCC4,Xrcc4,ENSMUSG00000021615,MGI:1333799,108138,7.90656358736156,0.270365705134673,-0.407387449708027,0.00499198505421204,0.177105677786557,-0.407387449708027,TRUE,1,1,1,1,9,7.9,-0.41,Xrcc4,-0.41
Spleen-distal,"Spleen-distal
脾脏（远端）",NHEJ,NHEJ,6,XRCC4,Xrcc4,ENSMUSG00000021615,MGI:1333799,108138,6.16595948336211,0.577319643109058,-0.0894035976514909,0.724075514790617,0.999564458733575,,FALSE,1,1,1,1,10,6.2,"",Xrcc4,-0.09
Thymus,"Thymus
胸腺",NHEJ,NHEJ,6,XRCC4,Xrcc4,ENSMUSG00000021615,MGI:1333799,108138,7.51220532012923,0.370385325293826,-0.295285380818675,0.00582616411297423,0.0456724645341462,-0.295285380818675,TRUE,3,4,3,4,23,7.5,-0.30,Xrcc4,-0.30
Tibialis anterior,"Tibialis anterior
胫骨前肌",NHEJ,NHEJ,6,XRCC4,Xrcc4,ENSMUSG00000021615,MGI:1333799,108138,8.61841646551339,0.699203077375559,0.202408730946063,0.0415514552519728,0.270119664604372,0.202408730946063,TRUE,1,1,1,1,9,8.6,+0.20,Xrcc4,+0.20
Adrenal gland,"Adrenal gland
肾上腺",NHEJ,NHEJ,7,Ligase IV,Lig4,ENSMUSG00000049717,MGI:1335098,319583,9.62420346871978,0.630102017834179,-0.0399746647077427,0.564377600899048,0.860864735169522,,FALSE,2,2,2,2,14,9.6,"",Lig4,-0.04
Bone marrow,"Bone marrow
骨髓",NHEJ,NHEJ,7,Ligase IV,Lig4,ENSMUSG00000049717,MGI:1335098,319583,7.4393408573868,0.131178305833687,-0.495576630570797,0.000201537392926372,0.00335407434448686,-0.495576630570797,TRUE,1,1,1,1,6,7.4,-0.50,Lig4,-0.50
Cecum,"Cecum
盲肠",NHEJ,NHEJ,7,Ligase IV,Lig4,ENSMUSG00000049717,MGI:1335098,319583,7.65845184814776,0.619150470256962,0.174678492594639,0.306076781302008,1,,FALSE,1,1,1,1,5,7.7,"",Lig4,+0.17
Cerebellum,"Cerebellum
小脑",NHEJ,NHEJ,7,Ligase IV,Lig4,ENSMUSG00000049717,MGI:1335098,319583,9.21079319532792,0.734420777602495,-0.174461560401956,0.0808030600093557,0.466062266251557,,FALSE,1,1,1,1,9,9.2,"",Lig4,-0.17
Colon,"Colon
结肠",NHEJ,NHEJ,7,Ligase IV,Lig4,ENSMUSG00000049717,MGI:1335098,319583,8.74834998711036,0.490935471779569,0.701400612963869,0.00428797243144433,1,0.701400612963869,TRUE,1,1,1,1,4,8.7,+0.70,Lig4,+0.70
Dorsal skin,"Dorsal skin
背部皮肤",NHEJ,NHEJ,7,Ligase IV,Lig4,ENSMUSG00000049717,MGI:1335098,319583,8.17548551958279,0.256711133045798,-0.115844219502856,0.532016165977251,1,,FALSE,2,5,2,5,30,8.2,"",Lig4,-0.12
Extensor digitorum longus,"Extensor digitorum longus
趾长伸肌",NHEJ,NHEJ,7,Ligase IV,Lig4,ENSMUSG00000049717,MGI:1335098,319583,8.72122609957488,0.662753384565836,-0.0173916335907326,0.857053407602401,0.95146204458442,,FALSE,2,2,2,2,15,8.7,"",Lig4,-0.02
Eye,"Eye
眼",NHEJ,NHEJ,7,Ligase IV,Lig4,ENSMUSG00000049717,MGI:1335098,319583,8.78907595861341,0.428369280748613,-0.013066076280093,0.879290690025067,0.999687556394716,,FALSE,2,2,2,2,11,8.8,"",Lig4,-0.01
Femoral lateral skin,"Femoral lateral skin
股外侧皮肤",NHEJ,NHEJ,7,Ligase IV,Lig4,ENSMUSG00000049717,MGI:1335098,319583,8.36200946252701,0.27207042944911,0.0986035604030144,0.449641053874027,0.94959773036323,,FALSE,1,1,1,1,9,8.4,"",Lig4,+0.10
Femoral skin,"Femoral skin
股部皮肤",NHEJ,NHEJ,7,Ligase IV,Lig4,ENSMUSG00000049717,MGI:1335098,319583,7.97787992598627,0.258144822694928,-0.302816696899711,0.0940321090726116,1,,FALSE,1,1,1,1,2,8.0,"",Lig4,-0.30
Gastrocnemius,"Gastrocnemius
腓肠肌",NHEJ,NHEJ,7,Ligase IV,Lig4,ENSMUSG00000049717,MGI:1335098,319583,6.43139526067122,0.566383104202181,-0.560850898703371,0.683180357185296,1,,FALSE,1,2,1,2,10,6.4,"",Lig4,-0.56
Heart,"Heart
心脏",NHEJ,NHEJ,7,Ligase IV,Lig4,ENSMUSG00000049717,MGI:1335098,319583,7.11963592271219,0.670780672408066,0.439380198000095,0.0734196222244477,0.675800375482623,,FALSE,1,1,1,1,3,7.1,"",Lig4,+0.44
Heart / Heart right ventricle,"Heart / Heart right ventricle
心脏 / 右心室",NHEJ,NHEJ,7,Ligase IV,Lig4,ENSMUSG00000049717,MGI:1335098,319583,8.10681186046592,0.667190280693461,0.0807781897246576,0.548526076105952,1,,FALSE,1,2,1,2,10,8.1,"",Lig4,+0.08
Kidney,"Kidney
肾脏",NHEJ,NHEJ,7,Ligase IV,Lig4,ENSMUSG00000049717,MGI:1335098,319583,8.8244656145609,0.626260548955703,-0.0535647454064592,0.671191065118812,0.959746232759133,,FALSE,4,9,4,9,55,8.8,"",Lig4,-0.05
Left lobe of the liver,"Left lobe of the liver
肝左叶",NHEJ,NHEJ,7,Ligase IV,Lig4,ENSMUSG00000049717,MGI:1335098,319583,7.56298769110419,0.677118773446219,-0.0105275280406816,0.926112543741339,1,,FALSE,2,3,2,3,24,7.6,"",Lig4,-0.01
Liver,"Liver
肝脏",NHEJ,NHEJ,7,Ligase IV,Lig4,ENSMUSG00000049717,MGI:1335098,319583,7.0913939611144,0.595144407846733,-0.0700099200547335,0.35797725016049,1,,FALSE,3,5,3,5,19,7.1,"",Lig4,-0.07
Lung,"Lung
肺",NHEJ,NHEJ,7,Ligase IV,Lig4,ENSMUSG00000049717,MGI:1335098,319583,8.71069826346239,0.588957989014913,-0.166360239074154,0.121689471341629,1,,FALSE,1,2,1,2,14,8.7,"",Lig4,-0.17
Mammary gland,"Mammary gland
乳腺",NHEJ,NHEJ,7,Ligase IV,Lig4,ENSMUSG00000049717,MGI:1335098,319583,8.66714579822551,0.581430399590869,0.286178519558275,0.0495254797774371,0.446411396553164,0.286178519558275,TRUE,1,2,1,2,10,8.7,+0.29,Lig4,+0.29
Optic nerve,"Optic nerve
视神经",NHEJ,NHEJ,7,Ligase IV,Lig4,ENSMUSG00000049717,MGI:1335098,319583,8.48432590236494,0.485400315217915,-0.299253768215979,0.0305992079911456,0.388683348546132,-0.299253768215979,TRUE,1,1,1,1,5,8.5,-0.30,Lig4,-0.30
Quadriceps femoris,"Quadriceps femoris
股四头肌",NHEJ,NHEJ,7,Ligase IV,Lig4,ENSMUSG00000049717,MGI:1335098,319583,8.62962891298378,0.673703794377264,-0.156758009099417,0.153220872635118,0.379893822223856,,FALSE,1,1,1,1,9,8.6,"",Lig4,-0.16
Retina,"Retina
视网膜",NHEJ,NHEJ,7,Ligase IV,Lig4,ENSMUSG00000049717,MGI:1335098,319583,8.63259721874532,0.647371076990954,0.027446108265771,0.599514419335447,0.885679062469581,,FALSE,4,4,4,4,27,8.6,"",Lig4,+0.03
Soleus,"Soleus
比目鱼肌",NHEJ,NHEJ,7,Ligase IV,Lig4,ENSMUSG00000049717,MGI:1335098,319583,7.64073224253753,0.615334684180973,0.0525421742800011,0.0473916780194824,0.141766714674874,0.0525421742800011,TRUE,3,3,3,3,18,7.6,+0.05,Lig4,+0.05
Spleen,"Spleen
脾脏",NHEJ,NHEJ,7,Ligase IV,Lig4,ENSMUSG00000049717,MGI:1335098,319583,7.52508999433732,0.176299944977283,-0.0854059269788298,0.441762891001663,0.996744588192196,,FALSE,1,1,1,1,9,7.5,"",Lig4,-0.09
Spleen-distal,"Spleen-distal
脾脏（远端）",NHEJ,NHEJ,7,Ligase IV,Lig4,ENSMUSG00000049717,MGI:1335098,319583,4.1296113519277,0.148417878697466,-0.0701363402350137,0.852280761990798,1,,FALSE,1,1,1,1,10,4.1,"",Lig4,-0.07
Thymus,"Thymus
胸腺",NHEJ,NHEJ,7,Ligase IV,Lig4,ENSMUSG00000049717,MGI:1335098,319583,9.52608665759298,0.934727434341874,-0.538576524060273,0.000608898602342576,0.00898031159252935,-0.538576524060273,TRUE,3,4,3,4,23,9.5,-0.54,Lig4,-0.54
Tibialis anterior,"Tibialis anterior
胫骨前肌",NHEJ,NHEJ,7,Ligase IV,Lig4,ENSMUSG00000049717,MGI:1335098,319583,8.38144243071768,0.670395611043225,0.0239147809846613,0.840927762333103,0.994041505510041,,FALSE,1,1,1,1,9,8.4,"",Lig4,+0.02
Adrenal gland,"Adrenal gland
肾上腺",HR,HR,8,PRA1,Rpa1,ENSMUSG00000000751,MGI:1915525,68275,12.0694479259594,1,0.0496463963280111,0.601616366543562,0.879890945527154,,FALSE,2,2,2,2,14,12.1,"",Rpa1,+0.05
Bone marrow,"Bone marrow
骨髓",HR,HR,8,PRA1,Rpa1,ENSMUSG00000000751,MGI:1915525,68275,10.601637202012,1,-0.337951738839794,0.0238766352361849,0.118844469825989,-0.337951738839794,TRUE,1,1,1,1,6,10.6,-0.34,Rpa1,-0.34
Cecum,"Cecum
盲肠",HR,HR,8,PRA1,Rpa1,ENSMUSG00000000751,MGI:1915525,68275,8.8573328597942,0.993088760934557,-0.125234079291315,0.578769193188024,1,,FALSE,1,1,1,1,5,8.9,"",Rpa1,-0.13
Cerebellum,"Cerebellum
小脑",HR,HR,8,PRA1,Rpa1,ENSMUSG00000000751,MGI:1915525,68275,11.6316784293475,1,0.0521361706873783,0.432113014247558,0.855367243782585,,FALSE,1,1,1,1,9,11.6,"",Rpa1,+0.05
Colon,"Colon
结肠",HR,HR,8,PRA1,Rpa1,ENSMUSG00000000751,MGI:1915525,68275,10.2858631233766,0.945637848847365,0.148393935006616,0.524796869054695,1,,FALSE,1,1,1,1,4,10.3,"",Rpa1,+0.15
Dorsal skin,"Dorsal skin
背部皮肤",HR,HR,8,PRA1,Rpa1,ENSMUSG00000000751,MGI:1915525,68275,10.7186023426578,0.894076995308338,-0.0281026224572156,0.993540908102897,1,,FALSE,2,5,2,5,30,10.7,"",Rpa1,-0.03
Extensor digitorum longus,"Extensor digitorum longus
趾长伸肌",HR,HR,8,PRA1,Rpa1,ENSMUSG00000000751,MGI:1915525,68275,12.076783563462,1,0.048436734601598,0.0913560974756879,0.321407361119011,,FALSE,2,2,2,2,15,12.1,"",Rpa1,+0.05
Eye,"Eye
眼",HR,HR,8,PRA1,Rpa1,ENSMUSG00000000751,MGI:1915525,68275,12.6853808118287,1,-0.0096337082778248,0.829638855530515,0.999687556394716,,FALSE,2,2,2,2,11,12.7,"",Rpa1,-0.01
