FigureGroup,Pathway,FigurePanel,OrderLeftToRight,Tissue,DisplayTissue
DSB,HR,Fig_4c,9,Gastrocnemius,Gastrocnemius
DSB,HR,Fig_4c,10,Quadriceps femoris,Quadriceps femoris
DSB,HR,Fig_4c,11,Tibialis anterior,Tibialis anterior
DSB,HR,Fig_4c,12,Extensor digitorum longus,Extensor digitorum longus
DSB,HR,Fig_4c,13,Kidney,Kidney
DSB,HR,Fig_4c,14,Left lobe of the liver,Left lobe of the liver
DSB,HR,Fig_4c,15,Liver,Liver
DSB,HR,Fig_4c,16,Optic nerve,Optic nerve
DSB,HR,Fig_4c,17,Lung,Lung
DSB,HR,Fig_4c,18,Adrenal gland,Adrenal gland
DSB,HR,Fig_4c,19,Mammary gland,Mammary gland
DSB,HR,Fig_4c,20,Thymus,Thymus
DSB,HR,Fig_4c,21,Spleen,Spleen
DSB,HR,Fig_4c,22,Cecum,Cecum
DSB,HR,Fig_4c,23,Colon,Colon
DSB,HR,Fig_4c,24,Dorsal skin,Dorsal skin
DSB,HR,Fig_4c,25,Femoral lateral skin,Femoral lateral skin
DSB,HR,Fig_4c,26,Femoral skin,Femoral skin
DSB,A-EJ,Fig_4d,1,Bone marrow,Bone marrow
DSB,A-EJ,Fig_4d,2,Spleen-distal,Spleen-distal
DSB,A-EJ,Fig_4d,3,Cerebellum,Cerebellum
DSB,A-EJ,Fig_4d,4,Eye,Eye
DSB,A-EJ,Fig_4d,5,Retina,Retina
DSB,A-EJ,Fig_4d,6,Heart,Heart
DSB,A-EJ,Fig_4d,7,Heart / Heart right ventricle,Heart right ventricle
DSB,A-EJ,Fig_4d,8,Soleus,Soleus
DSB,A-EJ,Fig_4d,9,Gastrocnemius,Gastrocnemius
DSB,A-EJ,Fig_4d,10,Quadriceps femoris,Quadriceps femoris
DSB,A-EJ,Fig_4d,11,Tibialis anterior,Tibialis anterior
DSB,A-EJ,Fig_4d,12,Extensor digitorum longus,Extensor digitorum longus
DSB,A-EJ,Fig_4d,13,Kidney,Kidney
DSB,A-EJ,Fig_4d,14,Left lobe of the liver,Left lobe of the liver
DSB,A-EJ,Fig_4d,15,Liver,Liver
DSB,A-EJ,Fig_4d,16,Optic nerve,Optic nerve
DSB,A-EJ,Fig_4d,17,Lung,Lung
DSB,A-EJ,Fig_4d,18,Adrenal gland,Adrenal gland
DSB,A-EJ,Fig_4d,19,Mammary gland,Mammary gland
DSB,A-EJ,Fig_4d,20,Thymus,Thymus
DSB,A-EJ,Fig_4d,21,Spleen,Spleen
DSB,A-EJ,Fig_4d,22,Cecum,Cecum
DSB,A-EJ,Fig_4d,23,Colon,Colon
DSB,A-EJ,Fig_4d,24,Dorsal skin,Dorsal skin
DSB,A-EJ,Fig_4d,25,Femoral lateral skin,Femoral lateral skin
DSB,A-EJ,Fig_4d,26,Femoral skin,Femoral skin
SSB,BER,Fig_5b,1,Bone marrow,Bone marrow
SSB,BER,Fig_5b,2,Spleen,Spleen
SSB,BER,Fig_5b,3,Thymus,Thymus
SSB,BER,Fig_5b,4,Heart,Heart
SSB,BER,Fig_5b,5,Heart / Heart right ventricle,Heart right ventricle
SSB,BER,Fig_5b,6,Gastrocnemius,Gastrocnemius
SSB,BER,Fig_5b,7,Tibialis anterior,Tibialis anterior
SSB,BER,Fig_5b,8,Quadriceps femoris,Quadriceps femoris
SSB,BER,Fig_5b,9,Extensor digitorum longus,Extensor digitorum longus
SSB,BER,Fig_5b,10,Soleus,Soleus
SSB,BER,Fig_5b,11,Left lobe of the liver,Left lobe of the liver
SSB,BER,Fig_5b,12,Liver,Liver
SSB,BER,Fig_5b,13,Kidney,Kidney
SSB,BER,Fig_5b,14,Adrenal gland,Adrenal gland
SSB,BER,Fig_5b,15,Mammary gland,Mammary gland
SSB,BER,Fig_5b,16,Lung,Lung
SSB,BER,Fig_5b,17,Cecum,Cecum
SSB,BER,Fig_5b,18,Optic nerve,Optic nerve
SSB,BER,Fig_5b,19,Eye,Eye
SSB,BER,Fig_5b,20,Retina,Retina
SSB,BER,Fig_5b,21,Colon,Colon
SSB,BER,Fig_5b,22,Dorsal skin,Dorsal skin
SSB,BER,Fig_5b,23,Femoral lateral skin,Femoral lateral skin
SSB,BER,Fig_5b,24,Femoral skin,Femoral skin
SSB,BER,Fig_5b,25,Cerebellum,Cerebellum
SSB,BER,Fig_5b,26,Spleen-distal,Spleen-distal
SSB,NER,Fig_5c,1,Bone marrow,Bone marrow
SSB,NER,Fig_5c,2,Spleen,Spleen
SSB,NER,Fig_5c,3,Thymus,Thymus
SSB,NER,Fig_5c,4,Heart,Heart
SSB,NER,Fig_5c,5,Heart / Heart right ventricle,Heart right ventricle
SSB,NER,Fig_5c,6,Gastrocnemius,Gastrocnemius
SSB,NER,Fig_5c,7,Tibialis anterior,Tibialis anterior
SSB,NER,Fig_5c,8,Quadriceps femoris,Quadriceps femoris
SSB,NER,Fig_5c,9,Extensor digitorum longus,Extensor digitorum longus
SSB,NER,Fig_5c,10,Soleus,Soleus
SSB,NER,Fig_5c,11,Left lobe of the liver,Left lobe of the liver
SSB,NER,Fig_5c,12,Liver,Liver
SSB,NER,Fig_5c,13,Kidney,Kidney
SSB,NER,Fig_5c,14,Adrenal gland,Adrenal gland
SSB,NER,Fig_5c,15,Mammary gland,Mammary gland
SSB,NER,Fig_5c,16,Lung,Lung
SSB,NER,Fig_5c,17,Cecum,Cecum
SSB,NER,Fig_5c,18,Optic nerve,Optic nerve
SSB,NER,Fig_5c,19,Eye,Eye
SSB,NER,Fig_5c,20,Retina,Retina
SSB,NER,Fig_5c,21,Colon,Colon
SSB,NER,Fig_5c,22,Dorsal skin,Dorsal skin
SSB,NER,Fig_5c,23,Femoral lateral skin,Femoral lateral skin
SSB,NER,Fig_5c,24,Femoral skin,Femoral skin
SSB,NER,Fig_5c,25,Cerebellum,Cerebellum
SSB,NER,Fig_5c,26,Spleen-distal,Spleen-distal
SSB,MMR,Fig_5d,1,Bone marrow,Bone marrow
SSB,MMR,Fig_5d,2,Spleen,Spleen
SSB,MMR,Fig_5d,3,Thymus,Thymus
SSB,MMR,Fig_5d,4,Heart,Heart
SSB,MMR,Fig_5d,5,Heart / Heart right ventricle,Heart right ventricle
SSB,MMR,Fig_5d,6,Gastrocnemius,Gastrocnemius
SSB,MMR,Fig_5d,7,Tibialis anterior,Tibialis anterior
SSB,MMR,Fig_5d,8,Quadriceps femoris,Quadriceps femoris
SSB,MMR,Fig_5d,9,Extensor digitorum longus,Extensor digitorum longus
SSB,MMR,Fig_5d,10,Soleus,Soleus
SSB,MMR,Fig_5d,11,Left lobe of the liver,Left lobe of the liver
SSB,MMR,Fig_5d,12,Liver,Liver
SSB,MMR,Fig_5d,13,Kidney,Kidney
SSB,MMR,Fig_5d,14,Adrenal gland,Adrenal gland
SSB,MMR,Fig_5d,15,Mammary gland,Mammary gland
SSB,MMR,Fig_5d,16,Lung,Lung
SSB,MMR,Fig_5d,17,Cecum,Cecum
SSB,MMR,Fig_5d,18,Optic nerve,Optic nerve
SSB,MMR,Fig_5d,19,Eye,Eye
SSB,MMR,Fig_5d,20,Retina,Retina
SSB,MMR,Fig_5d,21,Colon,Colon
SSB,MMR,Fig_5d,22,Dorsal skin,Dorsal skin
SSB,MMR,Fig_5d,23,Femoral lateral skin,Femoral lateral skin
SSB,MMR,Fig_5d,24,Femoral skin,Femoral skin
SSB,MMR,Fig_5d,25,Cerebellum,Cerebellum
SSB,MMR,Fig_5d,26,Spleen-distal,Spleen-distal
SSB,FA,Fig_5e,1,Bone marrow,Bone marrow
SSB,FA,Fig_5e,2,Spleen,Spleen
SSB,FA,Fig_5e,3,Thymus,Thymus
SSB,FA,Fig_5e,4,Heart,Heart
SSB,FA,Fig_5e,5,Heart / Heart right ventricle,Heart right ventricle
SSB,FA,Fig_5e,6,Gastrocnemius,Gastrocnemius
SSB,FA,Fig_5e,7,Tibialis anterior,Tibialis anterior
SSB,FA,Fig_5e,8,Quadriceps femoris,Quadriceps femoris
SSB,FA,Fig_5e,9,Extensor digitorum longus,Extensor digitorum longus
SSB,FA,Fig_5e,10,Soleus,Soleus
SSB,FA,Fig_5e,11,Left lobe of the liver,Left lobe of the liver
SSB,FA,Fig_5e,12,Liver,Liver
SSB,FA,Fig_5e,13,Kidney,Kidney
SSB,FA,Fig_5e,14,Adrenal gland,Adrenal gland
SSB,FA,Fig_5e,15,Mammary gland,Mammary gland
SSB,FA,Fig_5e,16,Lung,Lung
SSB,FA,Fig_5e,17,Cecum,Cecum
SSB,FA,Fig_5e,18,Optic nerve,Optic nerve
SSB,FA,Fig_5e,19,Eye,Eye
SSB,FA,Fig_5e,20,Retina,Retina
SSB,FA,Fig_5e,21,Colon,Colon
SSB,FA,Fig_5e,22,Dorsal skin,Dorsal skin
SSB,FA,Fig_5e,23,Femoral lateral skin,Femoral lateral skin
SSB,FA,Fig_5e,24,Femoral skin,Femoral skin
SSB,FA,Fig_5e,25,Cerebellum,Cerebellum
SSB,FA,Fig_5e,26,Spleen-distal,Spleen-distal
