family,set_name,dataset_id,analysis_unit_id,accession,analysis_tissue,n_flight_samples,n_control_samples,flight_samples,control_samples
tissue_Liver_datasets,OSD-686,OSD-686,OSD-686,OSD-686,Liver,3,3,GSM7708688;GSM7708689;GSM7708690,GSM7708682;GSM7708683;GSM7708684
tissue_Lung_datasets,OSD-464,OSD-464,OSD-464,OSD-464,Lung,9,8,RR23_LNG_FLT_F1;RR23_LNG_FLT_F2;RR23_LNG_FLT_F3;RR23_LNG_FLT_F4;RR23_LNG_FLT_F5;RR23_LNG_FLT_F6;RR23_LNG_FLT_F7_techrep1;RR23_LNG_FLT_F8;RR23_LNG_FLT_F9,RR23_LNG_GC_G1;RR23_LNG_GC_G2_techrep1;RR23_LNG_GC_G3;RR23_LNG_GC_G4;RR23_LNG_GC_G5;RR23_LNG_GC_G6;RR23_LNG_GC_G7;RR23_LNG_GC_G8
tissue_Lung_datasets,OSD-900,OSD-900,OSD-900,OSD-900,Lung,5,5,RR10_LNG_FLT_WT_F1;RR10_LNG_FLT_WT_F3;RR10_LNG_FLT_WT_F5;RR10_LNG_FLT_WT_F7;RR10_LNG_FLT_WT_F9,RR10_LNG_GC_WT_G1;RR10_LNG_GC_WT_G3;RR10_LNG_GC_WT_G5;RR10_LNG_GC_WT_G7;RR10_LNG_GC_WT_G9
tissue_Retina_datasets,OSD-194,OSD-194,OSD-194,OSD-194,Retina,5,4,Mmus_BAL-TAL_LRTN_FLT_Rep1_F6;Mmus_BAL-TAL_LRTN_FLT_Rep2_F7;Mmus_BAL-TAL_LRTN_FLT_Rep3_F8;Mmus_BAL-TAL_LRTN_FLT_Rep4_F9;Mmus_BAL-TAL_LRTN_FLT_Rep5_F10,Mmus_BAL-TAL_LRTN_GC_Rep1_G6;Mmus_BAL-TAL_LRTN_GC_Rep2_G8;Mmus_BAL-TAL_LRTN_GC_Rep3_G9;Mmus_BAL-TAL_RRTN_GC_Rep4_G10
tissue_Retina_datasets,OSD-255,OSD-255,OSD-255,OSD-255,Retina,8,8,GSM3932701;GSM3932702;GSM3932703;GSM3932704;GSM3932705;GSM3932706;GSM3932707;GSM3932708,GSM3932693;GSM3932694;GSM3932695;GSM3932696;GSM3932697;GSM3932698;GSM3932699;GSM3932700
tissue_Retina_datasets,OSD-397,OSD-397,OSD-397,OSD-397,Retina,9,7,M21;M22;M23;M24;M25;M26;M27;M29;M30,M31;M32;M33;M34;M35;M36;M37
tissue_Retina_datasets,OSD-758,OSD-758,OSD-758,OSD-758,Retina,5,12,MHU-8_RTN_FLT_FLT05;MHU-8_RTN_FLT_FLT09;MHU-8_RTN_FLT_FLT13;MHU-8_RTN_FLT_FLT17;MHU-8_RTN_FLT_FLT21,MHU-8_RTN_HGC_HGC01;MHU-8_RTN_HGC_HGC02;MHU-8_RTN_HGC_HGC03;MHU-8_RTN_HGC_HGC04;MHU-8_RTN_HGC_HGC05;MHU-8_RTN_HGC_HGC06;MHU-8_RTN_HGC_HGC07;MHU-8_RTN_HGC_HGC08;MHU-8_RTN_HGC_HGC09;MHU-8_RTN_HGC_HGC10;MHU-8_RTN_HGC_HGC11;MHU-8_RTN_HGC_HGC12
tissue_Soleus_datasets,OSD-104,OSD-104,OSD-104,OSD-104,Soleus,6,6,Mmus_C57-6J_SLS_FLT_Rep1_M23;Mmus_C57-6J_SLS_FLT_Rep2_M24;Mmus_C57-6J_SLS_FLT_Rep3_M25;Mmus_C57-6J_SLS_FLT_Rep4_M26;Mmus_C57-6J_SLS_FLT_Rep5_M27;Mmus_C57-6J_SLS_FLT_Rep6_M28,Mmus_C57-6J_SLS_GC_Rep1_M33;Mmus_C57-6J_SLS_GC_Rep2_M34;Mmus_C57-6J_SLS_GC_Rep3_M35;Mmus_C57-6J_SLS_GC_Rep4_M36;Mmus_C57-6J_SLS_GC_Rep5_M37;Mmus_C57-6J_SLS_GC_Rep6_M38
tissue_Soleus_datasets,OSD-714,OSD-714,OSD-714,OSD-714,Soleus,3,3,DRS284036;DRS284037;DRS284038,DRS284030;DRS284031;DRS284032
tissue_Soleus_datasets,OSD-770,OSD-770,OSD-770,OSD-770,Soleus,9,9,RR23_R-SLS_FLT_F1_techrep1;RR23_R-SLS_FLT_F2;RR23_R-SLS_FLT_F3;RR23_R-SLS_FLT_F4;RR23_R-SLS_FLT_F5;RR23_R-SLS_FLT_F6;RR23_R-SLS_FLT_F7;RR23_R-SLS_FLT_F8;RR23_R-SLS_FLT_F9,RR23_R-SLS_GC_G1_techrep1;RR23_R-SLS_GC_G2;RR23_R-SLS_GC_G3;RR23_R-SLS_GC_G4;RR23_R-SLS_GC_G5;RR23_R-SLS_GC_G6;RR23_R-SLS_GC_G7;RR23_R-SLS_GC_G8;RR23_R-SLS_GC_G9
tissue_Thymus_datasets,OSD-289,OSD-289,OSD-289;OSD-289__MHU2,OSD-289,Thymus,6,6,Mmus_C57-6J_TMS_MHU1_FLT_uG_Rep1;Mmus_C57-6J_TMS_MHU1_FLT_uG_Rep2;Mmus_C57-6J_TMS_MHU1_FLT_uG_Rep3;Mmus_C57-6J_TMS_MHU2_FLT_uG_Rep1;Mmus_C57-6J_TMS_MHU2_FLT_uG_Rep2;Mmus_C57-6J_TMS_MHU2_FLT_uG_Rep3,Mmus_C57-6CR_TMS_MHU1_GC_1G_Rep1;Mmus_C57-6CR_TMS_MHU1_GC_1G_Rep2;Mmus_C57-6CR_TMS_MHU1_GC_1G_Rep3;Mmus_C57-6J_TMS_MHU2_GC_1G_Rep1;Mmus_C57-6J_TMS_MHU2_GC_1G_Rep2;Mmus_C57-6J_TMS_MHU2_GC_1G_Rep3
tissue_Thymus_datasets,OSD-421,OSD-421,OSD-421,OSD-421,Thymus,10,10,RR9_TMS_FLT_F1;RR9_TMS_FLT_F6;RR9_TMS_FLT_F7;RR9_TMS_FLT_F3;RR9_TMS_FLT_F5;RR9_TMS_FLT_F2;RR9_TMS_FLT_F8;RR9_TMS_FLT_F4;RR9_TMS_FLT_F10;RR9_TMS_FLT_F9,RR9_TMS_GC_G4;RR9_TMS_GC_G10;RR9_TMS_GC_G1;RR9_TMS_GC_G7;RR9_TMS_GC_G6;RR9_TMS_GC_G9;RR9_TMS_GC_G8;RR9_TMS_GC_G3;RR9_TMS_GC_G2;RR9_TMS_GC_G5
tissue_Thymus_datasets,OSD-515,OSD-515,OSD-515,OSD-515,Thymus,7,9,RR23_TMS_FLT_F1;RR23_TMS_FLT_F3;RR23_TMS_FLT_F4;RR23_TMS_FLT_F5;RR23_TMS_FLT_F7;RR23_TMS_FLT_F8;RR23_TMS_FLT_F9,RR23_TMS_GC_G1_techrep1;RR23_TMS_GC_G2;RR23_TMS_GC_G3;RR23_TMS_GC_G4;RR23_TMS_GC_G5;RR23_TMS_GC_G6;RR23_TMS_GC_G7;RR23_TMS_GC_G8;RR23_TMS_GC_G9
