analysis_tissue,tissue_definition,term_key,term_name,go_id,term_order,term_role,n_missions,n_biological_experiments,n_analysis_units,mean_mission_nes,median_mission_nes,n_positive_missions,n_negative_missions,exact_signflip_p_two_sided,stouffer_meta_z,stouffer_p_two_sided,missions,exact_signflip_FDR_all_cells,stouffer_FDR_all_cells
Heart / Heart right ventricle,normalized_original_material_type,DNA_repair_GO0006281,DNA repair,GO:0006281,2,official_root,1,1,2,-1.29559220534526,-1.29559220534526,0,1,1,-2.72118233721277,0.00650488706561691,SpaceX-18,1,0.0159553833684943
Spleen-distal,normalized_original_material_type,DNA_repair_GO0006281,DNA repair,GO:0006281,2,official_root,1,1,1,-1.3610227389438,-1.3610227389438,0,1,1,-3.32907095694127,0.000871362016895979,SpaceX-12,1,0.00242736561849594
Bone marrow,normalized_original_material_type,DNA_repair_GO0006281,DNA repair,GO:0006281,2,official_root,1,1,1,-1.61632728279395,-1.61632728279395,0,1,1,-5.18946725938056,2.10896579966067e-07,SpaceX-14,1,9.67643131609015e-07
Femoral skin,normalized_original_material_type,DNA_repair_GO0006281,DNA repair,GO:0006281,2,official_root,1,1,1,-1.90802614971101,-1.90802614971101,0,1,1,-6.46695108724052,9.99999999999977e-11,SpaceX-12,1,7.35849056603757e-10
Cecum,normalized_original_material_type,DNA_repair_GO0006281,DNA repair,GO:0006281,2,official_root,1,1,1,-1.9877901386318,-1.9877901386318,0,1,1,-6.46695108724052,9.99999999999977e-11,SpaceX-21,1,7.35849056603757e-10
Thymus,normalized_original_material_type,DNA_repair_GO0006281,DNA repair,GO:0006281,2,official_root,3,4,4,-2.93589724463779,-2.62847443138996,0,3,0.25,-11.2010878531634,4.02757077303295e-29,SpaceX-12;SpaceX-21;SpaceX-9,1,3.92688150370713e-27
Spleen,normalized_original_material_type,DNA_damage_signal_transduction_GO0042770,Signal transduction in response to DNA damage,GO:0042770,3,official_root,1,1,1,1.59770727276811,1.59770727276811,1,0,1,3.51307331562969,0.000442955232154026,SpaceX-21,1,0.00129889128225617
Optic nerve,normalized_original_material_type,DNA_damage_signal_transduction_GO0042770,Signal transduction in response to DNA damage,GO:0042770,3,official_root,1,1,1,1.39208333395577,1.39208333395577,1,0,1,2.66911891269119,0.00760505201673554,SpaceX-27,1,0.0180851846739443
Femoral lateral skin,normalized_original_material_type,DNA_damage_signal_transduction_GO0042770,Signal transduction in response to DNA damage,GO:0042770,3,official_root,1,1,1,1.35764240495177,1.35764240495177,1,0,1,2.35743258154623,0.0184017964178829,SpaceX-11,1,0.0394324208954634
Quadriceps femoris,normalized_original_material_type,DNA_damage_signal_transduction_GO0042770,Signal transduction in response to DNA damage,GO:0042770,3,official_root,1,1,1,1.34960773984281,1.34960773984281,1,0,1,2.3251708997926,0.0200628237236211,SpaceX-21,1,0.0422946013633093
