analysis_tissue,tissue_definition,term_key,term_name,go_id,term_order,term_role,n_missions,n_biological_experiments,n_analysis_units,mean_mission_nes,median_mission_nes,n_positive_missions,n_negative_missions,exact_signflip_p_two_sided,stouffer_meta_z,stouffer_p_two_sided,missions,exact_signflip_FDR_all_cells,stouffer_FDR_all_cells
Quadriceps femoris,normalized_original_material_type,DNA_replication_GO0006260,DNA replication,GO:0006260,9,context,1,1,1,1.42417471715593,1.42417471715593,1,0,1,2.81062805371003,0.00494449088300472,SpaceX-21,1,0.0125217626257912
Tibialis anterior,normalized_original_material_type,DNA_replication_GO0006260,DNA replication,GO:0006260,9,context,1,1,1,1.3441623911005,1.3441623911005,1,0,1,2.59763393746697,0.00938685040870525,SpaceX-21,1,0.0218315234238254
Left lobe of the liver,normalized_original_material_type,DNA_replication_GO0006260,DNA replication,GO:0006260,9,context,2,2,3,1.08328261920436,1.08328261920436,2,0,0.5,1.81854286783291,0.0689812009395955,SpaceX-16;SpaceX-21,1,0.125713403581506
Cerebellum,normalized_original_material_type,DNA_replication_GO0006260,DNA replication,GO:0006260,9,context,1,1,1,1.06780095603069,1.06780095603069,1,0,1,1.07108137632542,0.284132841328411,SpaceX-21,1,0.391466445733223
Colon,normalized_original_material_type,DNA_replication_GO0006260,DNA replication,GO:0006260,9,context,1,1,1,1.06008511337687,1.06008511337687,1,0,1,1.06900398602301,0.285067873303167,SpaceX-21,1,0.391466445733223
Kidney,normalized_original_material_type,DNA_replication_GO0006260,DNA replication,GO:0006260,9,context,4,5,9,0.880302231617206,0.741525782305418,2,2,0.5,3.00046229355795,0.00269570127361346,SpaceX-15;SpaceX-18;SpaceX-21;SpaceX-8,1,0.00710353713992737
Heart,normalized_original_material_type,DNA_replication_GO0006260,DNA replication,GO:0006260,9,context,1,1,1,0.875282790918055,0.875282790918055,1,0,1,0.199977012849277,0.84149855907781,NG-11,1,0.894235525995492
Eye,normalized_original_material_type,DNA_replication_GO0006260,DNA replication,GO:0006260,9,context,2,2,2,0.847606234757364,0.847606234757364,2,0,0.5,0.320560208420232,0.748543696453533,SpaceX-4;SpaceX-8,1,0.831715218281703
Dorsal skin,normalized_original_material_type,DNA_replication_GO0006260,DNA replication,GO:0006260,9,context,2,2,5,0.187699481765324,0.187699481765324,1,1,1,-1.35075579167623,0.176773673767542,SpaceX-11;SpaceX-15,1,0.275766931077366
Extensor digitorum longus,normalized_original_material_type,DNA_replication_GO0006260,DNA replication,GO:0006260,9,context,2,2,2,0.143518962418145,0.143518962418145,1,1,1,1.05060914663171,0.293438138451613,SpaceX-21;SpaceX-4,1,0.400142916070381
Lung,normalized_original_material_type,DNA_replication_GO0006260,DNA replication,GO:0006260,9,context,1,2,2,0.0881484507939085,0.0881484507939085,1,0,1,0.279104221993632,0.780164843150467,SpaceX-21,1,0.852280921088745
Mammary gland,normalized_original_material_type,DNA_replication_GO0006260,DNA replication,GO:0006260,9,context,1,1,2,0.0310939534645175,0.0310939534645175,1,0,1,0.0715355420364795,0.942971538548546,SpaceX-16,1,0.967786579036666
Adrenal gland,normalized_original_material_type,DNA_replication_GO0006260,DNA replication,GO:0006260,9,context,2,2,2,0.0295981672737775,0.0295981672737775,1,1,1,0.172681449969528,0.862901825516763,SpaceX-21;SpaceX-8,1,0.908466505833756
Soleus,normalized_original_material_type,DNA_replication_GO0006260,DNA replication,GO:0006260,9,context,3,3,3,-0.0257992069088753,-0.974623983578036,1,2,1,2.34697713964723,0.0189264159600395,SpaceX-21;SpaceX-4;SpaceX-9,1,0.0403349848328711
Liver,normalized_original_material_type,DNA_replication_GO0006260,DNA replication,GO:0006260,9,context,3,5,5,-0.08301079100063,-0.16515508805271,1,2,0.75,-0.421910207712125,0.673090559024502,SpaceX-12;SpaceX-4;SpaceX-8,1,0.769810316772891
Retina,normalized_original_material_type,DNA_replication_GO0006260,DNA replication,GO:0006260,9,context,4,4,4,-0.298388495495881,-0.311859207874653,2,2,0.75,-3.36151670194679,0.000775156684880524,SpaceX-12;SpaceX-27;SpaceX-4;SpaceX-8,1,0.00217490005110363
Gastrocnemius,normalized_original_material_type,DNA_replication_GO0006260,DNA replication,GO:0006260,9,context,1,2,2,-1.14702787766138,-1.14702787766138,0,1,1,-1.44159555431872,0.149416503330175,SpaceX-4,1,0.241794341488666
Heart / Heart right ventricle,normalized_original_material_type,DNA_replication_GO0006260,DNA replication,GO:0006260,9,context,1,1,2,-1.37281334115017,-1.37281334115017,0,1,1,-2.69864018005874,0.00696234087852479,SpaceX-18,1,0.0168652977802774
Bone marrow,normalized_original_material_type,DNA_replication_GO0006260,DNA replication,GO:0006260,9,context,1,1,1,-1.51117721754617,-1.51117721754617,0,1,1,-3.60488077756704,0.000312296259485451,SpaceX-14,1,0.000936888778456353
Spleen-distal,normalized_original_material_type,DNA_replication_GO0006260,DNA replication,GO:0006260,9,context,1,1,1,-1.55952893241325,-1.55952893241325,0,1,1,-3.61083289028862,0.000305215278656001,SpaceX-12,1,0.00092274386570419
Cecum,normalized_original_material_type,DNA_replication_GO0006260,DNA replication,GO:0006260,9,context,1,1,1,-1.98123515496875,-1.98123515496875,0,1,1,-6.21722908347822,5.06010758274984e-10,SpaceX-21,1,3.18297089882651e-09
Femoral skin,normalized_original_material_type,DNA_replication_GO0006260,DNA replication,GO:0006260,9,context,1,1,1,-2.31606992251901,-2.31606992251901,0,1,1,-6.46695108724052,9.99999999999977e-11,SpaceX-12,1,7.35849056603757e-10
Thymus,normalized_original_material_type,DNA_replication_GO0006260,DNA replication,GO:0006260,9,context,3,4,4,-3.02976777468497,-2.70796620233543,0,3,0.25,-11.2010878531634,4.02757077303295e-29,SpaceX-12;SpaceX-21;SpaceX-9,1,3.92688150370713e-27
Quadriceps femoris,normalized_original_material_type,DNA_templated_transcription_GO0006351,DNA-templated transcription,GO:0006351,10,context,1,1,1,1.59417968365714,1.59417968365714,1,0,1,6.46695108724052,9.99999999999977e-11,SpaceX-21,1,7.35849056603757e-10
Kidney,normalized_original_material_type,DNA_templated_transcription_GO0006351,DNA-templated transcription,GO:0006351,10,context,4,5,9,1.5668096104171,1.3079625962957,3,1,0.25,8.23851358283788,1.74363271086523e-16,SpaceX-15;SpaceX-18;SpaceX-21;SpaceX-8,1,5.23089813259568e-15
Heart / Heart right ventricle,normalized_original_material_type,DNA_templated_transcription_GO0006351,DNA-templated transcription,GO:0006351,10,context,1,1,2,1.53210257314919,1.53210257314919,1,0,1,6.09875514095748,1.06897669038752e-09,SpaceX-18,1,6.13089572428136e-09
Colon,normalized_original_material_type,DNA_templated_transcription_GO0006351,DNA-templated transcription,GO:0006351,10,context,1,1,1,1.53024525852495,1.53024525852495,1,0,1,6.31750376851966,2.65821960665684e-10,SpaceX-21,1,1.82464827461412e-09
Tibialis anterior,normalized_original_material_type,DNA_templated_transcription_GO0006351,DNA-templated transcription,GO:0006351,10,context,1,1,1,1.48487239014869,1.48487239014869,1,0,1,6.46695108724052,9.99999999999977e-11,SpaceX-21,1,7.35849056603757e-10
Spleen-distal,normalized_original_material_type,DNA_templated_transcription_GO0006351,DNA-templated transcription,GO:0006351,10,context,1,1,1,1.38901185284933,1.38901185284933,1,0,1,6.05041372728,1.44474316921422e-09,SpaceX-12,1,8.04928337133636e-09
Optic nerve,normalized_original_material_type,DNA_templated_transcription_GO0006351,DNA-templated transcription,GO:0006351,10,context,1,1,1,1.3714601938086,1.3714601938086,1,0,1,6.46695108724052,9.99999999999977e-11,SpaceX-27,1,7.35849056603757e-10
Soleus,normalized_original_material_type,DNA_templated_transcription_GO0006351,DNA-templated transcription,GO:0006351,10,context,3,3,3,1.3101324875869,1.33659660526823,3,0,0.25,9.35116160598619,8.66903383149187e-21,SpaceX-21;SpaceX-4;SpaceX-9,1,2.81743599523486e-19
Cecum,normalized_original_material_type,DNA_templated_transcription_GO0006351,DNA-templated transcription,GO:0006351,10,context,1,1,1,1.24199469164296,1.24199469164296,1,0,1,4.23231708213453,2.3129600779774e-05,SpaceX-21,1,8.59099457534461e-05
Femoral lateral skin,normalized_original_material_type,DNA_templated_transcription_GO0006351,DNA-templated transcription,GO:0006351,10,context,1,1,1,1.22773984654556,1.22773984654556,1,0,1,3.95854196228961,7.54086938222339e-05,SpaceX-11,1,0.000253529229229924
Spleen,normalized_original_material_type,DNA_templated_transcription_GO0006351,DNA-templated transcription,GO:0006351,10,context,1,1,1,1.19577650573114,1.19577650573114,1,0,1,3.4278341330797,0.000608417068731423,SpaceX-21,1,0.0017447254176857
Heart,normalized_original_material_type,DNA_templated_transcription_GO0006351,DNA-templated transcription,GO:0006351,10,context,1,1,1,1.06909909242953,1.06909909242953,1,0,1,2.16709701408865,0.0302274575596771,NG-11,1,0.0604549151193541
Dorsal skin,normalized_original_material_type,DNA_templated_transcription_GO0006351,DNA-templated transcription,GO:0006351,10,context,2,2,5,0.443368953881061,0.443368953881061,1,1,1,0,1,SpaceX-11;SpaceX-15,1,1
Extensor digitorum longus,normalized_original_material_type,DNA_templated_transcription_GO0006351,DNA-templated transcription,GO:0006351,10,context,2,2,2,0.11472485168341,0.11472485168341,1,1,1,1.17940106406632,0.238238511629844,SpaceX-21;SpaceX-4,1,0.340340730899777
Gastrocnemius,normalized_original_material_type,DNA_templated_transcription_GO0006351,DNA-templated transcription,GO:0006351,10,context,1,2,2,0.0197604561514401,0.0197604561514401,1,0,1,0.187330980111335,0.851401134303237,SpaceX-4,1,0.902300115158321
Left lobe of the liver,normalized_original_material_type,DNA_templated_transcription_GO0006351,DNA-templated transcription,GO:0006351,10,context,2,2,3,-0.0324510346236749,-0.0324510346236749,1,1,1,-1.20545237328713,0.228028713485333,SpaceX-16;SpaceX-21,1,0.33183282932567
Mammary gland,normalized_original_material_type,DNA_templated_transcription_GO0006351,DNA-templated transcription,GO:0006351,10,context,1,1,2,-0.165439621642165,-0.165439621642165,0,1,1,-2.33264152218849,0.0196669677434041,SpaceX-16,1,0.041685420760476
Adrenal gland,normalized_original_material_type,DNA_templated_transcription_GO0006351,DNA-templated transcription,GO:0006351,10,context,2,2,2,-0.30266061043652,-0.30266061043652,1,1,1,-1.8578700076339,0.0631874764661559,SpaceX-21;SpaceX-8,1,0.115695379445074
Liver,normalized_original_material_type,DNA_templated_transcription_GO0006351,DNA-templated transcription,GO:0006351,10,context,3,5,5,-0.353685177276404,-1.07050975954584,1,2,1,-0.921158763262034,0.35696754408651,SpaceX-12;SpaceX-4;SpaceX-8,1,0.475144512606618
Retina,normalized_original_material_type,DNA_templated_transcription_GO0006351,DNA-templated transcription,GO:0006351,10,context,4,4,4,-0.738967360735833,-1.25616229024096,1,3,0.375,-4.54126919999635,5.59165778119157e-06,SpaceX-12;SpaceX-27;SpaceX-4;SpaceX-8,1,2.24819230377806e-05
Bone marrow,normalized_original_material_type,DNA_templated_transcription_GO0006351,DNA-templated transcription,GO:0006351,10,context,1,1,1,-1.15264842226011,-1.15264842226011,0,1,1,-3.4827444268537,0.000496301922057995,SpaceX-14,1,0.00143376110816754
Cerebellum,normalized_original_material_type,DNA_templated_transcription_GO0006351,DNA-templated transcription,GO:0006351,10,context,1,1,1,-1.28642677733801,-1.28642677733801,0,1,1,-5.20003236016897,1.99253832455855e-07,SpaceX-21,1,9.25991039838367e-07
Eye,normalized_original_material_type,DNA_templated_transcription_GO0006351,DNA-templated transcription,GO:0006351,10,context,2,2,2,-1.32219688211287,-1.32219688211287,0,2,0.5,-5.85022234472068,4.90916318419349e-09,SpaceX-4;SpaceX-8,1,2.62270361895269e-08
Femoral skin,normalized_original_material_type,DNA_templated_transcription_GO0006351,DNA-templated transcription,GO:0006351,10,context,1,1,1,-1.39391324183491,-1.39391324183491,0,1,1,-4.4654765694852,7.98907157066232e-06,SpaceX-12,1,3.14721001268516e-05
Lung,normalized_original_material_type,DNA_templated_transcription_GO0006351,DNA-templated transcription,GO:0006351,10,context,1,2,2,-1.70301718088834,-1.70301718088834,0,1,1,-3.74942639130337,0.000177239509641634,SpaceX-21,1,0.000561978933010059
Thymus,normalized_original_material_type,DNA_templated_transcription_GO0006351,DNA-templated transcription,GO:0006351,10,context,3,4,4,-1.88781956931551,-1.51016254713979,0,3,0.25,-9.90778310664107,3.85095964089796e-23,SpaceX-12;SpaceX-21;SpaceX-9,1,1.66874917772245e-21
Femoral lateral skin,normalized_original_material_type,translation_GO0006412,Translation,GO:0006412,11,context,1,1,1,2.55714039757021,2.55714039757021,1,0,1,6.46695108724052,9.99999999999977e-11,SpaceX-11,1,7.35849056603757e-10
Mammary gland,normalized_original_material_type,translation_GO0006412,Translation,GO:0006412,11,context,1,1,2,2.36232135181035,2.36232135181035,1,0,1,6.46695108724052,9.99999999999977e-11,SpaceX-16,1,7.35849056603757e-10
Bone marrow,normalized_original_material_type,translation_GO0006412,Translation,GO:0006412,11,context,1,1,1,2.34117330443758,2.34117330443758,1,0,1,6.46695108724052,9.99999999999977e-11,SpaceX-14,1,7.35849056603757e-10
Optic nerve,normalized_original_material_type,translation_GO0006412,Translation,GO:0006412,11,context,1,1,1,1.66966369667684,1.66966369667684,1,0,1,6.31700592438951,2.66679363212832e-10,SpaceX-27,1,1.82464827461412e-09
Colon,normalized_original_material_type,translation_GO0006412,Translation,GO:0006412,11,context,1,1,1,1.37197631362611,1.37197631362611,1,0,1,4.0643231085676,4.8172056003792e-05,SpaceX-21,1,0.000170791834922535
Left lobe of the liver,normalized_original_material_type,translation_GO0006412,Translation,GO:0006412,11,context,2,2,3,1.24675207022019,1.24675207022019,2,0,0.5,3.5911037271227,0.000329280543880103,SpaceX-16;SpaceX-21,1,0.000980300855826261
Extensor digitorum longus,normalized_original_material_type,translation_GO0006412,Translation,GO:0006412,11,context,2,2,2,1.16445502459573,1.16445502459573,2,0,0.5,2.6018401372833,0.00927250641160109,SpaceX-21;SpaceX-4,1,0.0217848042200267
Tibialis anterior,normalized_original_material_type,translation_GO0006412,Translation,GO:0006412,11,context,1,1,1,1.00323642492874,1.00323642492874,1,0,1,0.753652017062053,0.451058201058201,SpaceX-21,1,0.567460317460318
Liver,normalized_original_material_type,translation_GO0006412,Translation,GO:0006412,11,context,3,5,5,0.45716670646595,0.4060351325294,2,1,0.5,1.72451292280087,0.0846152880904562,SpaceX-12;SpaceX-4;SpaceX-8,1,0.150684759613141
Adrenal gland,normalized_original_material_type,translation_GO0006412,Translation,GO:0006412,11,context,2,2,2,0.353560104403415,0.353560104403415,1,1,1,3.73190855230183,0.000190034493565717,SpaceX-21;SpaceX-8,1,0.000592907619925037
Lung,normalized_original_material_type,translation_GO0006412,Translation,GO:0006412,11,context,1,2,2,0.17762631768242,0.17762631768242,1,0,1,1.26500336416069,0.205870121913305,SpaceX-21,1,0.309997480873317
Gastrocnemius,normalized_original_material_type,translation_GO0006412,Translation,GO:0006412,11,context,1,2,2,0.034639968316045,0.034639968316045,1,0,1,0.25474970031924,0.798916426988611,SpaceX-4,1,0.863233605880387
Eye,normalized_original_material_type,translation_GO0006412,Translation,GO:0006412,11,context,2,2,2,-0.248676212883175,-0.248676212883175,1,1,1,0,1,SpaceX-4;SpaceX-8,1,1
Soleus,normalized_original_material_type,translation_GO0006412,Translation,GO:0006412,11,context,3,3,3,-0.270769582420307,-1.28813778743274,1,2,1,-1.31851665202621,0.187330754422852,SpaceX-21;SpaceX-4;SpaceX-9,1,0.28763383553115
Dorsal skin,normalized_original_material_type,translation_GO0006412,Translation,GO:0006412,11,context,2,2,5,-0.418696041837411,-0.418696041837411,1,1,1,-3.41913498348829,0.000628205544585955,SpaceX-11;SpaceX-15,1,0.00178832235320089
Kidney,normalized_original_material_type,translation_GO0006412,Translation,GO:0006412,11,context,4,5,9,-0.715487457774342,-1.61798424593712,1,3,0.625,-5.28395933969677,1.26421321985997e-07,SpaceX-15;SpaceX-18;SpaceX-21;SpaceX-8,1,6.01272141152913e-07
Heart,normalized_original_material_type,translation_GO0006412,Translation,GO:0006412,11,context,1,1,1,-0.949233892455626,-0.949233892455626,0,1,1,-0.435576547684371,0.663143989431969,NG-11,1,0.765166141652271
Cerebellum,normalized_original_material_type,translation_GO0006412,Translation,GO:0006412,11,context,1,1,1,-1.23521424430051,-1.23521424430051,0,1,1,-2.66952759303829,0.00759580317173536,SpaceX-21,1,0.0180851846739443
Heart / Heart right ventricle,normalized_original_material_type,translation_GO0006412,Translation,GO:0006412,11,context,1,1,2,-1.38237769508111,-1.38237769508111,0,1,1,-3.5459074147008,0.000391263648936616,SpaceX-18,1,0.00115600623549455
Spleen-distal,normalized_original_material_type,translation_GO0006412,Translation,GO:0006412,11,context,1,1,1,-1.42216219092431,-1.42216219092431,0,1,1,-4.08966107557662,4.32003976643101e-05,SpaceX-12,1,0.000154570230175054
Quadriceps femoris,normalized_original_material_type,translation_GO0006412,Translation,GO:0006412,11,context,1,1,1,-1.50727640271743,-1.50727640271743,0,1,1,-4.84690651829532,1.25401479896959e-06,SpaceX-21,1,5.37434913844111e-06
Femoral skin,normalized_original_material_type,translation_GO0006412,Translation,GO:0006412,11,context,1,1,1,-1.6504733902082,-1.6504733902082,0,1,1,-5.70229393105023,1.18205769279338e-08,SpaceX-12,1,6.1467000025256e-08
Retina,normalized_original_material_type,translation_GO0006412,Translation,GO:0006412,11,context,4,4,4,-1.72335669142717,-1.67384314685519,0,4,0.125,-7.98689343637584,1.383816115776e-15,SpaceX-12;SpaceX-27;SpaceX-4;SpaceX-8,1,3.59792190101761e-14
Thymus,normalized_original_material_type,translation_GO0006412,Translation,GO:0006412,11,context,3,4,4,-1.96616652481454,-2.06178346573619,0,3,0.25,-9.94041731563006,2.77661470016934e-23,SpaceX-12;SpaceX-21;SpaceX-9,1,1.35359966633255e-21
Spleen,normalized_original_material_type,translation_GO0006412,Translation,GO:0006412,11,context,1,1,1,-2.21572659900059,-2.21572659900059,0,1,1,-6.46695108724052,9.99999999999977e-11,SpaceX-21,1,7.35849056603757e-10
Cecum,normalized_original_material_type,translation_GO0006412,Translation,GO:0006412,11,context,1,1,1,-2.45567563644136,-2.45567563644136,0,1,1,-6.46695108724052,9.99999999999977e-11,SpaceX-21,1,7.35849056603757e-10
Femoral lateral skin,normalized_original_material_type,mitochondrion_GO0005739,Mitochondrion,GO:0005739,12,context,1,1,1,3.04604911712614,3.04604911712614,1,0,1,6.46695108724052,9.99999999999977e-11,SpaceX-11,1,7.35849056603757e-10
Mammary gland,normalized_original_material_type,mitochondrion_GO0005739,Mitochondrion,GO:0005739,12,context,1,1,2,2.94160539758036,2.94160539758036,1,0,1,6.46695108724052,9.99999999999977e-11,SpaceX-16,1,7.35849056603757e-10
Bone marrow,normalized_original_material_type,mitochondrion_GO0005739,Mitochondrion,GO:0005739,12,context,1,1,1,2.3425001457027,2.3425001457027,1,0,1,6.46695108724052,9.99999999999977e-11,SpaceX-14,1,7.35849056603757e-10
Adrenal gland,normalized_original_material_type,mitochondrion_GO0005739,Mitochondrion,GO:0005739,12,context,2,2,2,1.76578258159525,1.76578258159525,2,0,0.5,4.57516948736105,4.75834613333215e-06,SpaceX-21;SpaceX-8,1,1.93307811666618e-05
Lung,normalized_original_material_type,mitochondrion_GO0005739,Mitochondrion,GO:0005739,12,context,1,2,2,1.6816402928872,1.6816402928872,1,0,1,3.37805805955666,0.000729996661717163,SpaceX-21,1,0.00206303404398329
Heart,normalized_original_material_type,mitochondrion_GO0005739,Mitochondrion,GO:0005739,12,context,1,1,1,1.62523893848274,1.62523893848274,1,0,1,6.46695108724052,9.99999999999977e-11,NG-11,1,7.35849056603757e-10
Colon,normalized_original_material_type,mitochondrion_GO0005739,Mitochondrion,GO:0005739,12,context,1,1,1,1.51463016232855,1.51463016232855,1,0,1,6.46695108724052,9.99999999999977e-11,SpaceX-21,1,7.35849056603757e-10
Extensor digitorum longus,normalized_original_material_type,mitochondrion_GO0005739,Mitochondrion,GO:0005739,12,context,2,2,2,1.40101571155039,1.40101571155039,2,0,0.5,7.51764117356348,5.57733218275187e-14,SpaceX-21;SpaceX-4,1,1.27950561839602e-12
Liver,normalized_original_material_type,mitochondrion_GO0005739,Mitochondrion,GO:0005739,12,context,3,5,5,0.46334072957124,0.27873633906481,3,0,0.25,0.556232406419396,0.578051988359808,SpaceX-12;SpaceX-4;SpaceX-8,1,0.687317912988796
Left lobe of the liver,normalized_original_material_type,mitochondrion_GO0005739,Mitochondrion,GO:0005739,12,context,2,2,3,0.397290276132713,0.397290276132713,1,1,1,0.633469125747551,0.526427336407956,SpaceX-16;SpaceX-21,1,0.632558139534884
Thymus,normalized_original_material_type,mitochondrion_GO0005739,Mitochondrion,GO:0005739,12,context,3,4,4,0.142005743754033,-0.30953002741247,1,2,1,0.254583971418933,0.799044440314922,SpaceX-12;SpaceX-21;SpaceX-9,1,0.863233605880387
Gastrocnemius,normalized_original_material_type,mitochondrion_GO0005739,Mitochondrion,GO:0005739,12,context,1,2,2,0.0854011178655201,0.0854011178655201,1,0,1,0.93216681477518,0.351250322604694,SpaceX-4,1,0.470747855037218
Eye,normalized_original_material_type,mitochondrion_GO0005739,Mitochondrion,GO:0005739,12,context,2,2,2,-0.212212069457895,-0.212212069457895,1,1,1,0,1,SpaceX-4;SpaceX-8,1,1
Kidney,normalized_original_material_type,mitochondrion_GO0005739,Mitochondrion,GO:0005739,12,context,4,5,9,-0.897824452918814,-1.36268975263666,1,3,0.375,-4.69332554156365,2.68799228215807e-06,SpaceX-15;SpaceX-18;SpaceX-21;SpaceX-8,1,1.11523084046984e-05
Cerebellum,normalized_original_material_type,mitochondrion_GO0005739,Mitochondrion,GO:0005739,12,context,1,1,1,-1.09353217221613,-1.09353217221613,0,1,1,-1.89351520288761,0.0582893884017915,SpaceX-21,1,0.108769672137314
Tibialis anterior,normalized_original_material_type,mitochondrion_GO0005739,Mitochondrion,GO:0005739,12,context,1,1,1,-1.12413873514532,-1.12413873514532,0,1,1,-2.3875386497559,0.0169616191730836,SpaceX-21,1,0.0365471352348211
Heart / Heart right ventricle,normalized_original_material_type,mitochondrion_GO0005739,Mitochondrion,GO:0005739,12,context,1,1,2,-1.46534148409541,-1.46534148409541,0,1,1,-6.30007178720666,2.97507823504e-10,SpaceX-18,1,2.00048364080276e-09
Optic nerve,normalized_original_material_type,mitochondrion_GO0005739,Mitochondrion,GO:0005739,12,context,1,1,1,-1.4744117162032,-1.4744117162032,0,1,1,-4.03690266232234,5.41615271953254e-05,SpaceX-27,1,0.000188598175055151
Spleen-distal,normalized_original_material_type,mitochondrion_GO0005739,Mitochondrion,GO:0005739,12,context,1,1,1,-1.50165882018836,-1.50165882018836,0,1,1,-6.46695108724052,9.99999999999977e-11,SpaceX-12,1,7.35849056603757e-10
Dorsal skin,normalized_original_material_type,mitochondrion_GO0005739,Mitochondrion,GO:0005739,12,context,2,2,5,-1.66829140031936,-1.66829140031936,0,2,0.5,-7.35882791063025,1.85532024293804e-13,SpaceX-11;SpaceX-15,1,4.01986052636574e-12
Spleen,normalized_original_material_type,mitochondrion_GO0005739,Mitochondrion,GO:0005739,12,context,1,1,1,-1.68986637191135,-1.68986637191135,0,1,1,-6.46695108724052,9.99999999999977e-11,SpaceX-21,1,7.35849056603757e-10
Retina,normalized_original_material_type,mitochondrion_GO0005739,Mitochondrion,GO:0005739,12,context,4,4,4,-1.71070392194541,-1.58683890513089,0,4,0.125,-10.8874864992421,1.32239659672186e-27,SpaceX-12;SpaceX-27;SpaceX-4;SpaceX-8,1,1.03146934544305e-25
Cecum,normalized_original_material_type,mitochondrion_GO0005739,Mitochondrion,GO:0005739,12,context,1,1,1,-1.78935748607368,-1.78935748607368,0,1,1,-6.46695108724052,9.99999999999977e-11,SpaceX-21,1,7.35849056603757e-10
Quadriceps femoris,normalized_original_material_type,mitochondrion_GO0005739,Mitochondrion,GO:0005739,12,context,1,1,1,-1.99490083147885,-1.99490083147885,0,1,1,-6.46695108724052,9.99999999999977e-11,SpaceX-21,1,7.35849056603757e-10
Soleus,normalized_original_material_type,mitochondrion_GO0005739,Mitochondrion,GO:0005739,12,context,3,3,3,-2.10895064440167,-2.43134451122025,0,3,0.25,-10.7279592229346,7.52394399714356e-27,SpaceX-21;SpaceX-4;SpaceX-9,1,4.89056359814332e-25
Femoral skin,normalized_original_material_type,mitochondrion_GO0005739,Mitochondrion,GO:0005739,12,context,1,1,1,-2.23755449867001,-2.23755449867001,0,1,1,-6.46695108724052,9.99999999999977e-11,SpaceX-12,1,7.35849056603757e-10
Thymus,normalized_original_material_type,mechanosensation_GO0050954,Sensory perception of mechanical stimulus,GO:0050954,13,context,3,4,4,1.73883759340274,1.83648451979348,3,0,0.25,7.58108902856022,3.42666348479819e-14,SpaceX-12;SpaceX-21;SpaceX-9,1,8.35249224419558e-13
Cecum,normalized_original_material_type,mechanosensation_GO0050954,Sensory perception of mechanical stimulus,GO:0050954,13,context,1,1,1,1.68126526403015,1.68126526403015,1,0,1,4.02249622792884,5.75845767288166e-05,SpaceX-21,1,0.00019861431015542
Gastrocnemius,normalized_original_material_type,mechanosensation_GO0050954,Sensory perception of mechanical stimulus,GO:0050954,13,context,1,2,2,1.56424727873414,1.56424727873414,1,0,1,3.31858901862348,0.000904734798516746,SpaceX-4,1,0.00248483501001078
Spleen,normalized_original_material_type,mechanosensation_GO0050954,Sensory perception of mechanical stimulus,GO:0050954,13,context,1,1,1,1.37190409740171,1.37190409740171,1,0,1,2.4303585030786,0.0150838945089808,SpaceX-21,1,0.0330489823511378
Colon,normalized_original_material_type,mechanosensation_GO0050954,Sensory perception of mechanical stimulus,GO:0050954,13,context,1,1,1,1.22849565749365,1.22849565749365,1,0,1,1.79610381418824,0.0724780079579142,SpaceX-21,1,0.131471735365519
Spleen-distal,normalized_original_material_type,mechanosensation_GO0050954,Sensory perception of mechanical stimulus,GO:0050954,13,context,1,1,1,1.21690040091371,1.21690040091371,1,0,1,1.64830168016263,0.0992907801418439,SpaceX-12,1,0.169839492347891
Femoral lateral skin,normalized_original_material_type,mechanosensation_GO0050954,Sensory perception of mechanical stimulus,GO:0050954,13,context,1,1,1,1.10644739148459,1.10644739148459,1,0,1,1.28380256650321,0.199211045364891,SpaceX-11,1,0.302304699191857
Heart / Heart right ventricle,normalized_original_material_type,mechanosensation_GO0050954,Sensory perception of mechanical stimulus,GO:0050954,13,context,1,1,2,1.06620138048818,1.06620138048818,1,0,1,1.01695943036446,0.309172729403717,SpaceX-18,1,0.418671404400867
Optic nerve,normalized_original_material_type,mechanosensation_GO0050954,Sensory perception of mechanical stimulus,GO:0050954,13,context,1,1,1,1.06381872074465,1.06381872074465,1,0,1,0.978829159961425,0.327664399092971,SpaceX-27,1,0.4421768707483
Lung,normalized_original_material_type,mechanosensation_GO0050954,Sensory perception of mechanical stimulus,GO:0050954,13,context,1,2,2,1.02974934944731,1.02974934944731,1,0,1,0.851815957361109,0.394316248202803,SpaceX-21,1,0.512570546539457
Adrenal gland,normalized_original_material_type,mechanosensation_GO0050954,Sensory perception of mechanical stimulus,GO:0050954,13,context,2,2,2,1.01749243916649,1.01749243916649,2,0,0.5,1.16636511956836,0.243466854813595,SpaceX-21;SpaceX-8,1,0.346540413785774
Femoral skin,normalized_original_material_type,mechanosensation_GO0050954,Sensory perception of mechanical stimulus,GO:0050954,13,context,1,1,1,0.933338681352138,0.933338681352138,1,0,1,0.481921119691943,0.629861982434128,SpaceX-12,1,0.737676195643573
Dorsal skin,normalized_original_material_type,mechanosensation_GO0050954,Sensory perception of mechanical stimulus,GO:0050954,13,context,2,2,5,0.552351880025728,0.552351880025728,2,0,0.5,0.735617038223308,0.461963790608296,SpaceX-11;SpaceX-15,1,0.57931150590751
