accession,analysis_window,analysis_role,input_relative_path,tissue,mission_raw,mission_cluster,duration_days,biological_experiment_id,animal_cohort_id,raw_log2fc_column,raw_left_label,raw_right_label,orientation_multiplier,unified_contrast_label,curation_note,contrast_id
OSD-576,main_30_40d,primary,02_processed_data/osdr_processed/OSD-576/GLDS-570_rna_seq_differential_expression_GLbulkRNAseq.csv,骨/软骨/关节,SpaceX-21,SpaceX-21,39,OSD-576,OSD-576,Log2fc_(Space Flight)v(Ground Control),Space Flight,Ground Control,1,Space Flight vs Ground,
OSD-580,main_30_40d,primary,02_processed_data/osdr_processed/OSD-580/GLDS-573_rna_seq_differential_expression_GLbulkRNAseq.csv,心血管,SpaceX-18,SpaceX-18,33,OSD-580,OSD-580,Log2fc_(Ground Control & 12 week & On Earth)v(Space Flight & 12 week & On Earth),Ground Control & 12 week & On Earth,Space Flight & 12 week & On Earth,-1,Space Flight vs Ground,
OSD-580,main_30_40d,primary,02_processed_data/osdr_processed/OSD-580/GLDS-573_rna_seq_differential_expression_GLbulkRNAseq.csv,心血管,SpaceX-18,SpaceX-18,33,OSD-580,OSD-580_29W,Log2fc_(Ground Control & 29 week & On Earth)v(Space Flight & 29 week & On Earth),Ground Control & 29 week & On Earth,Space Flight & 29 week & On Earth,-1,Space Flight vs Ground,Matched age and collection-location stratum retained by design.,age_29w
OSD-599,main_30_40d,primary,02_processed_data/osdr_processed/OSD-599/GLDS-596_rna_seq_differential_expression_GLbulkRNAseq.csv,心血管,NG-11,NG-11,30,OSD-599,OSD-599,Log2fc_(Space Flight)v(Ground Control),Space Flight,Ground Control,1,Space Flight vs Ground,Mission明细飞行天数为缺失；沿用队列/OSDR整理的30天分组
OSD-665,main_30_40d,primary,02_processed_data/osdr_processed/OSD-665/GLDS-604_rna_seq_differential_expression_GLbulkRNAseq.csv,肌肉,SpaceX-21,SpaceX-21,39,OSD-665,OSD-665,Log2fc_(Space Flight)v(Ground Control),Space Flight,Ground Control,1,Space Flight vs Ground,
OSD-666,main_30_40d,primary,02_processed_data/osdr_processed/OSD-666/GLDS-605_rna_seq_differential_expression_GLbulkRNAseq.csv,肌肉,SpaceX-21,SpaceX-21,39,OSD-666,OSD-666,Log2fc_(Space Flight)v(Ground Control),Space Flight,Ground Control,1,Space Flight vs Ground,
OSD-770,main_30_40d,primary,02_processed_data/osdr_processed/OSD-770/GLDS-673_rna_seq_differential_expression_GLbulkRNAseq.csv,肌肉,SpaceX-21,SpaceX-21,39,OSD-770,OSD-770,Log2fc_(Space Flight)v(Ground Control),Space Flight,Ground Control,1,Space Flight vs Ground,
OSD-771,main_30_40d,primary,02_processed_data/osdr_processed/OSD-771/GLDS-674_rna_seq_differential_expression_GLbulkRNAseq.csv,肾脏/泌尿,SpaceX-18,SpaceX-18,33,OSD-771,OSD-771,Log2fc_(Ground Control & 12 week & On Earth)v(Space Flight & 12 week & On Earth),Ground Control & 12 week & On Earth,Space Flight & 12 week & On Earth,-1,Space Flight vs Ground,
OSD-771,main_30_40d,primary,02_processed_data/osdr_processed/OSD-771/GLDS-674_rna_seq_differential_expression_GLbulkRNAseq.csv,肾脏/泌尿,SpaceX-18,SpaceX-18,33,OSD-771,OSD-771_29W,Log2fc_(Ground Control & 29 week & On Earth)v(Space Flight & 29 week & On Earth),Ground Control & 29 week & On Earth,Space Flight & 29 week & On Earth,-1,Space Flight vs Ground,Matched age and collection-location stratum retained by design.,age_29w
OSD-162,main_30_40d,primary,02_processed_data/osdr_processed/OSD-162/GLDS-162_rna_seq_differential_expression.csv,眼/视网膜,SpaceX-8; SpaceX-9,SpaceX-8+SpaceX-9,33,OSD-162,OSD-162,Log2fc_(Space Flight)v(Ground Control),Space Flight,Ground Control,1,Space Flight vs Ground,多Mission数据集；Mission明细含33天和39天，均属30-40天窗口；队列均值40.5不作为排除依据
OSD-168,main_30_40d,duplicate_sensitivity,02_processed_data/osdr_processed/OSD-168/GLDS-168_rna_seq_differential_expression.csv,肝脏/代谢,SpaceX-4; SpaceX-8,SpaceX-4,34,RR1_SPACEX4_LIVER,RR1_SPACEX4,Log2fc_(Ground Control & SpaceX-4 (RR1) & With Spike-in)v(Space Flight & SpaceX-4 (RR1) & With Spike-in),Ground Control & SpaceX-4 (RR1) & With Spike-in,Space Flight & SpaceX-4 (RR1) & With Spike-in,-1,Space Flight vs Ground,多Mission数据集；本轮取SpaceX-4/RR1 with spike-in FvG contrast，另有SpaceX-8 33天 Same RR1 liver cohort as OSD-48; retained only as duplicate-processing sensitivity.
OSD-420,main_30_40d,primary,02_processed_data/osdr_processed/OSD-420/GLDS-420_rna_seq_differential_expression_GLbulkRNAseq.csv,脾脏,SpaceX-12,SpaceX-12,34,OSD-420,OSD-420,Log2fc_(Space Flight)v(Ground Control),Space Flight,Ground Control,1,Space Flight vs Ground,
OSD-690,main_30_40d,primary,02_processed_data/osdr_processed/OSD-690/GLDS-620_rna_seq_differential_expression_GLbulkRNAseq.csv,骨髓,SpaceX-14,SpaceX-14,33,OSD-690,OSD-690,Log2fc_(Wild Type & Ground Control)v(Wild Type & Space Flight),Wild Type & Ground Control,Wild Type & Space Flight,-1,Space Flight vs Ground,
