ensembl_id,gene_symbol,set_01_Quadriceps_femoris,set_02_Tibialis_anterior,set_03_Optic_nerve,set_04_Spleen,set_05_Femoral_lateral_skin,set_06_Left_lobe_of_the_liver,set_07_Colon,set_08_Cerebellum,set_09_Heart,set_10_Eye,intersection_degree
ENSMUSG00000016528,Mapkapk2,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000016984,Etaa1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000017146,Brca1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000017291,Taok1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000017485,Top2b,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000017550,Atad5,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000017843,Ppp2r5c,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000017897,Eya2,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000018189,Uchl5,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000018411,Mapt,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000018446,C1qbp,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000018449,Rpain,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000018666,Cbx1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000018669,Cdk5rap3,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000018750,Zbtb4,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000018841,Rad51d,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000019373,Cops3,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000019470,Xab2,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000019738,Polr2i,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000019773,Fbxo5,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000019841,Rev3l,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000019857,Asf1a,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000019942,Cdk1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000019969,Psen1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000019970,Sgk1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000020038,Cry1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000020059,Sycp3,1,1,1,1,1,1,1,1,0,1,9
ENSMUSG00000020063,Sirt1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000020108,Ddit4,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000020122,Egfr,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000020134,Peli1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000020152,Actr2,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000020156,Pwwp3a,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000020171,Yeats4,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000020184,Mdm2,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000020185,E2f7,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000020228,Helb,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000020235,Fzr1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000020287,Mpg,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000020326,Ccng1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000020380,Rad50,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000020381,Mrnip,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000020390,Ube2b,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000020413,Hus1,1,1,1,1,1,1,1,1,1,1,10
ENSMUSG00000020423,Btg2,1,1,1,1,1,1,1,1,1,1,10
