Tissue,Flight_Samples_Count,Pathway_1,Pathway_2,Spearman_Rho
Bone marrow,6,DNA_damage_response_GO0006974,DNA_damage_signal_transduction_GO0042770,0.7142857142857143
Bone marrow,6,DNA_damage_response_GO0006974,intrinsic_apoptotic_signaling_GO0008630,0.7142857142857143
Bone marrow,6,DNA_damage_response_GO0006974,DNA_damage_tolerance_GO0006301,0.4857142857142857
Bone marrow,6,DNA_damage_response_GO0006974,telomere_maintenance_GO0043247,0.7142857142857143
Bone marrow,6,DNA_damage_response_GO0006974,telomere_region_GO0000781,0.6
Bone marrow,6,DNA_damage_response_GO0006974,cell_cycle_GO0007049,0.8285714285714286
Bone marrow,6,DNA_damage_response_GO0006974,DNA_replication_GO0006260,0.7714285714285715
Bone marrow,6,DNA_damage_response_GO0006974,DNA_templated_transcription_GO0006351,0.4857142857142857
Bone marrow,6,DNA_damage_response_GO0006974,translation_GO0006412,0.8285714285714286
Bone marrow,6,DNA_damage_response_GO0006974,mitochondrion_GO0005739,0.7714285714285715
Bone marrow,6,DNA_damage_response_GO0006974,mechanosensation_GO0050954,0.3142857142857143
Bone marrow,6,DNA_damage_response_GO0006974,cytoskeleton_GO0005856,0.8285714285714286
Bone marrow,6,DNA_damage_response_GO0006974,cell_death_GO0008219,0.8285714285714286
Bone marrow,6,DNA_repair_GO0006281,DNA_damage_signal_transduction_GO0042770,0.8857142857142857
Bone marrow,6,DNA_repair_GO0006281,intrinsic_apoptotic_signaling_GO0008630,0.5428571428571428
Bone marrow,6,DNA_repair_GO0006281,DNA_damage_tolerance_GO0006301,0.7142857142857143
Bone marrow,6,DNA_repair_GO0006281,telomere_maintenance_GO0043247,0.4857142857142857
Bone marrow,6,DNA_repair_GO0006281,telomere_region_GO0000781,0.7714285714285715
Bone marrow,6,DNA_repair_GO0006281,cell_cycle_GO0007049,0.9428571428571428
Bone marrow,6,DNA_repair_GO0006281,DNA_replication_GO0006260,0.8857142857142857
Bone marrow,6,DNA_repair_GO0006281,DNA_templated_transcription_GO0006351,0.5428571428571428
Bone marrow,6,DNA_repair_GO0006281,translation_GO0006412,0.7142857142857143
Bone marrow,6,DNA_repair_GO0006281,mitochondrion_GO0005739,0.6
Bone marrow,6,DNA_repair_GO0006281,mechanosensation_GO0050954,0.4857142857142857
Bone marrow,6,DNA_repair_GO0006281,cytoskeleton_GO0005856,0.7714285714285715
Bone marrow,6,DNA_repair_GO0006281,cell_death_GO0008219,0.7714285714285715
Bone marrow,6,DNA_damage_signal_transduction_GO0042770,intrinsic_apoptotic_signaling_GO0008630,0.4285714285714285
Bone marrow,6,DNA_damage_signal_transduction_GO0042770,DNA_damage_tolerance_GO0006301,0.8285714285714286
Bone marrow,6,DNA_damage_signal_transduction_GO0042770,telomere_maintenance_GO0043247,0.1428571428571428
Bone marrow,6,DNA_damage_signal_transduction_GO0042770,telomere_region_GO0000781,0.7714285714285715
Bone marrow,6,DNA_damage_signal_transduction_GO0042770,cell_cycle_GO0007049,0.9428571428571428
Bone marrow,6,DNA_damage_signal_transduction_GO0042770,DNA_replication_GO0006260,0.8285714285714286
Bone marrow,6,DNA_damage_signal_transduction_GO0042770,DNA_templated_transcription_GO0006351,0.5428571428571428
Bone marrow,6,DNA_damage_signal_transduction_GO0042770,translation_GO0006412,0.3714285714285714
Bone marrow,6,DNA_damage_signal_transduction_GO0042770,mitochondrion_GO0005739,0.2571428571428571
Bone marrow,6,DNA_damage_signal_transduction_GO0042770,mechanosensation_GO0050954,0.7714285714285715
Bone marrow,6,DNA_damage_signal_transduction_GO0042770,cytoskeleton_GO0005856,0.6571428571428571
Bone marrow,6,DNA_damage_signal_transduction_GO0042770,cell_death_GO0008219,0.6571428571428571
Bone marrow,6,intrinsic_apoptotic_signaling_GO0008630,DNA_damage_tolerance_GO0006301,0.0285714285714285
Bone marrow,6,intrinsic_apoptotic_signaling_GO0008630,telomere_maintenance_GO0043247,0.7142857142857143
Bone marrow,6,intrinsic_apoptotic_signaling_GO0008630,telomere_region_GO0000781,0.0857142857142857
Bone marrow,6,intrinsic_apoptotic_signaling_GO0008630,cell_cycle_GO0007049,0.4857142857142857
Bone marrow,6,intrinsic_apoptotic_signaling_GO0008630,DNA_replication_GO0006260,0.3142857142857143
Bone marrow,6,intrinsic_apoptotic_signaling_GO0008630,DNA_templated_transcription_GO0006351,0.3142857142857143
Bone marrow,6,intrinsic_apoptotic_signaling_GO0008630,translation_GO0006412,0.4857142857142857
