Tissue,Pathway,EnsemblID,Gene_Symbol,EntrezID,Baseline_Log2_Expression,Spaceflight_Log2FC,Meta_P_value,FDR_padj,n_missions,n_analysis_units,Flight_Samples_Count
Thymus,HR_A-EJ,ENSMUSG00000028224,Nbn,27354,7.56044104724863,0.061288845706324,0.840369810976744,0.940374006005993,3,4,23
Tibialis anterior,HR_A-EJ,ENSMUSG00000028224,Nbn,27354,9.89345945836414,-0.118308722048363,0.162024010242427,0.56937431580003,1,1,9
Adrenal gland,HR_A-EJ,ENSMUSG00000039748,Exo1,26909,5.17946557735279,0.0162655436794214,0.984927958729989,0.996614922068842,2,2,14
Bone marrow,HR_A-EJ,ENSMUSG00000039748,Exo1,26909,8.37521669376794,0.0364073396806622,0.813111967094071,0.929411367700145,1,1,6
Cecum,HR_A-EJ,ENSMUSG00000039748,Exo1,26909,5.59369883778733,-0.440019489401132,0.193435657989261,1.0,1,1,5
Cerebellum,HR_A-EJ,ENSMUSG00000039748,Exo1,26909,4.14018263497977,0.785318303618481,0.171176050081368,0.642206802457226,1,1,9
Colon,HR_A-EJ,ENSMUSG00000039748,Exo1,26909,6.95449312765933,0.357087801086474,0.276016579461118,1.0,1,1,4
Dorsal skin,HR_A-EJ,ENSMUSG00000039748,Exo1,26909,7.09510362750955,-0.202865877802036,0.66311515587634,1.0,2,5,30
Extensor digitorum longus,HR_A-EJ,ENSMUSG00000039748,Exo1,26909,2.09755961812557,0.160130310571253,0.793463834337617,0.925001112975346,2,2,15
Eye,HR_A-EJ,ENSMUSG00000039748,Exo1,26909,6.05689306265353,-0.0042833831428382,0.937730484652507,0.999687556394716,2,2,11
Femoral lateral skin,HR_A-EJ,ENSMUSG00000039748,Exo1,26909,7.36552536350691,-0.123974747113363,0.708145222770586,0.980703769762427,1,1,9
Femoral skin,HR_A-EJ,ENSMUSG00000039748,Exo1,26909,7.13784208165108,-0.909832531515775,0.101974130576651,1.0,1,1,2
Gastrocnemius,HR_A-EJ,ENSMUSG00000039748,Exo1,26909,1.14846793108095,0.416857754855656,0.605093332679408,1.0,1,2,10
Heart,HR_A-EJ,ENSMUSG00000039748,Exo1,26909,2.01077022525442,-0.128130616840332,0.938108507091853,0.998879356408176,1,1,3
Heart / Heart right ventricle,HR_A-EJ,ENSMUSG00000039748,Exo1,26909,2.50874627299818,-1.18207230722216,0.0812598879948488,1.0,1,2,10
Kidney,HR_A-EJ,ENSMUSG00000039748,Exo1,26909,3.94768153452545,-0.0755089148327228,0.577809770043242,0.930779633888813,4,9,55
Left lobe of the liver,HR_A-EJ,ENSMUSG00000039748,Exo1,26909,2.17100554048332,-0.09383384311755,0.854831314938678,1.0,2,3,24
Liver,HR_A-EJ,ENSMUSG00000039748,Exo1,26909,2.26519027103362,-0.595359494141519,0.0184083543722277,1.0,3,4,16
Lung,HR_A-EJ,ENSMUSG00000039748,Exo1,26909,5.43621753164364,0.154972824888327,0.661066252929056,1.0,1,2,14
Mammary gland,HR_A-EJ,ENSMUSG00000039748,Exo1,26909,4.85855805757118,-0.15940262051842,0.811087553293638,0.983471754087628,1,2,10
Optic nerve,HR_A-EJ,ENSMUSG00000039748,Exo1,26909,3.18710116258719,-0.517454970285103,0.471770846211725,0.993773543207975,1,1,5
Quadriceps femoris,HR_A-EJ,ENSMUSG00000039748,Exo1,26909,1.43768842771069,-1.13259673230317,0.0761898677987205,0.241067812141237,1,1,9
Retina,HR_A-EJ,ENSMUSG00000039748,Exo1,26909,2.67710955054423,0.577780656220324,0.376329863100126,0.776530471699227,4,4,27
Soleus,HR_A-EJ,ENSMUSG00000039748,Exo1,26909,2.6386570194451,0.804005650245155,0.053001738131061,0.153405356957444,3,3,18
Spleen,HR_A-EJ,ENSMUSG00000039748,Exo1,26909,6.74810593910285,0.163107931918016,0.557348664767112,0.999085092509181,1,1,9
Spleen-distal,HR_A-EJ,ENSMUSG00000039748,Exo1,26909,3.91062557894218,0.811873741547017,0.147514940719458,0.857787011347148,1,1,10
Thymus,HR_A-EJ,ENSMUSG00000039748,Exo1,26909,6.06699661991604,-1.62132986666823,1.5130766268372102e-09,2.01897901452584e-07,3,4,23
Tibialis anterior,HR_A-EJ,ENSMUSG00000039748,Exo1,26909,1.47745239842615,1.22261874004397,0.167756165375372,0.579465302433162,1,1,9
Adrenal gland,HR_A-EJ,ENSMUSG00000036875,Dna2,327762,6.62179838423205,0.170839596498734,0.711848997378108,0.91832167281612,2,2,14
Bone marrow,HR_A-EJ,ENSMUSG00000036875,Dna2,327762,9.27794091473959,-0.0602874127916158,0.482045429535332,0.740105124362361,1,1,6
Cecum,HR_A-EJ,ENSMUSG00000036875,Dna2,327762,6.49457599271189,-0.197128792663424,0.357815150492898,1.0,1,1,5
Cerebellum,HR_A-EJ,ENSMUSG00000036875,Dna2,327762,5.89196615296336,-0.0273470902166591,0.90777522869619,0.987220123086142,1,1,9
Colon,HR_A-EJ,ENSMUSG00000036875,Dna2,327762,7.75076562220774,-0.0654584239903063,0.802653184537293,1.0,1,1,4
Dorsal skin,HR_A-EJ,ENSMUSG00000036875,Dna2,327762,8.22291925342099,-0.0367065360969485,0.993794653787518,1.0,2,5,30
Extensor digitorum longus,HR_A-EJ,ENSMUSG00000036875,Dna2,327762,4.93352429235471,0.376818318324708,0.0917347076544964,0.322006186940901,2,2,15
Eye,HR_A-EJ,ENSMUSG00000036875,Dna2,327762,7.37112687586943,0.189554411015963,0.232837876423986,0.999687556394716,2,2,11
Femoral lateral skin,HR_A-EJ,ENSMUSG00000036875,Dna2,327762,8.38245351855102,0.0110126871490449,0.926561615601655,0.9931994963393,1,1,9
Femoral skin,HR_A-EJ,ENSMUSG00000036875,Dna2,327762,7.95760816207081,-0.498562115709855,0.0737266408151143,1.0,1,1,2
Gastrocnemius,HR_A-EJ,ENSMUSG00000036875,Dna2,327762,4.12927931890657,3.06547731925855,0.225609313316501,1.0,1,2,10
Heart,HR_A-EJ,ENSMUSG00000036875,Dna2,327762,4.70022451877311,0.530516418168374,0.337676405161091,0.922932298391709,1,1,3
Heart / Heart right ventricle,HR_A-EJ,ENSMUSG00000036875,Dna2,327762,4.72838757073482,-0.389494424109048,0.116944399870139,1.0,1,2,10
Kidney,HR_A-EJ,ENSMUSG00000036875,Dna2,327762,8.11496721588795,-0.0073790909646068,0.956338433828989,1.0,4,9,55
Left lobe of the liver,HR_A-EJ,ENSMUSG00000036875,Dna2,327762,8.12884581414374,0.117963627026909,0.39925134968684,0.935885584084004,2,3,24
Liver,HR_A-EJ,ENSMUSG00000036875,Dna2,327762,8.13377599930903,-0.087584846292083,0.207182504821735,1.0,3,5,19
Lung,HR_A-EJ,ENSMUSG00000036875,Dna2,327762,8.33529594599903,-0.0003790371153085,0.962848253870491,1.0,1,2,14
Mammary gland,HR_A-EJ,ENSMUSG00000036875,Dna2,327762,6.41915926873889,-0.380360854765463,0.234996829924427,0.718162442483295,1,2,10
Optic nerve,HR_A-EJ,ENSMUSG00000036875,Dna2,327762,6.79844062687262,-0.0453506990261655,0.83347015845624,1.0,1,1,5
Quadriceps femoris,HR_A-EJ,ENSMUSG00000036875,Dna2,327762,5.28460036989125,-0.06304622561166,0.743997623509771,0.884707105649251,1,1,9
Retina,HR_A-EJ,ENSMUSG00000036875,Dna2,327762,6.21632166886408,0.0015006334775952,0.85552533441846,0.966534752473118,4,4,27
Soleus,HR_A-EJ,ENSMUSG00000036875,Dna2,327762,4.92969525218614,0.495749613788737,0.005276518049946,0.0269022409499403,3,3,18
Spleen,HR_A-EJ,ENSMUSG00000036875,Dna2,327762,8.32578264145009,0.247974123602584,0.133500681839776,0.779879404110657,1,1,9
Spleen-distal,HR_A-EJ,ENSMUSG00000036875,Dna2,327762,4.75492910694808,-0.333838709581386,0.414503688852041,0.993779040229482,1,1,10
Thymus,HR_A-EJ,ENSMUSG00000036875,Dna2,327762,6.98922519167218,-0.878440024537548,5.12885886714515e-11,9.92338024688828e-09,3,4,23
Tibialis anterior,HR_A-EJ,ENSMUSG00000036875,Dna2,327762,5.38513674789288,-0.166192501494022,0.466935176645988,0.861424124637319,1,1,9
Adrenal gland,A-EJ,ENSMUSG00000026496,Parp1,11545,12.7706960439134,0.108280583862337,0.0477253533076196,0.322295947887633,2,2,14
Bone marrow,A-EJ,ENSMUSG00000026496,Parp1,11545,10.0832996278776,-0.178171247251765,0.175254251955128,0.427403873245201,1,1,6
Cecum,A-EJ,ENSMUSG00000026496,Parp1,11545,8.89426298743413,-0.0916730641782421,0.798756713624074,1.0,1,1,5
Cerebellum,A-EJ,ENSMUSG00000026496,Parp1,11545,10.0458687407862,0.150524382246286,0.11200574256998,0.539486153296935,1,1,9
Colon,A-EJ,ENSMUSG00000026496,Parp1,11545,10.4346103863326,-0.188474599853041,0.431235141586469,1.0,1,1,4
Dorsal skin,A-EJ,ENSMUSG00000026496,Parp1,11545,10.4421119513561,0.0446524992423593,0.615559468005711,1.0,2,5,30
Extensor digitorum longus,A-EJ,ENSMUSG00000026496,Parp1,11545,11.7323544658471,-0.081546174586363,0.0236905569607275,0.135409216166121,2,2,15
Eye,A-EJ,ENSMUSG00000026496,Parp1,11545,11.8329637675339,-0.0698069132558457,0.197047283212501,0.999687556394716,2,2,11
Femoral lateral skin,A-EJ,ENSMUSG00000026496,Parp1,11545,10.5114424974706,-0.0134544969938475,0.831080365663486,0.987923562388671,1,1,9
Femoral skin,A-EJ,ENSMUSG00000026496,Parp1,11545,10.6132682510163,0.0284073045851928,0.859757613448589,1.0,1,1,2
Gastrocnemius,A-EJ,ENSMUSG00000026496,Parp1,11545,9.62366407683062,-0.087148888003615,0.853624565864818,1.0,1,2,10
Heart,A-EJ,ENSMUSG00000026496,Parp1,11545,9.61515344918281,0.352606936341436,0.0807927367253918,0.698190879769343,1,1,3
Heart / Heart right ventricle,A-EJ,ENSMUSG00000026496,Parp1,11545,10.7882980373628,-0.13438845719006,0.128899901337312,1.0,1,2,10
Kidney,A-EJ,ENSMUSG00000026496,Parp1,11545,10.9390779439908,-0.0376445287937639,0.453272906964046,0.878002531297348,4,9,55
Left lobe of the liver,A-EJ,ENSMUSG00000026496,Parp1,11545,10.287200544527,0.0667808042432819,0.444582245879368,0.96975307074459,2,3,24
Liver,A-EJ,ENSMUSG00000026496,Parp1,11545,10.1062943851254,0.011674448695636,0.758422693127129,1.0,3,5,19
Lung,A-EJ,ENSMUSG00000026496,Parp1,11545,10.8546773951991,0.0944504056803098,0.344962608148097,1.0,1,2,14
Mammary gland,A-EJ,ENSMUSG00000026496,Parp1,11545,11.6698249866068,0.294176499533905,0.0496743240134135,0.446411396553164,1,2,10
Optic nerve,A-EJ,ENSMUSG00000026496,Parp1,11545,11.1898460154778,-0.135752442344901,0.329780459743908,0.936421298378424,1,1,5
Quadriceps femoris,A-EJ,ENSMUSG00000026496,Parp1,11545,11.3286603745927,-0.0692931835522474,0.427580160016163,0.680616258350506,1,1,9
Retina,A-EJ,ENSMUSG00000026496,Parp1,11545,10.8796607608677,-0.0927116917170591,0.0331258147964161,0.318442511362849,4,4,27
Soleus,A-EJ,ENSMUSG00000026496,Parp1,11545,10.097400358883,0.0896383019685479,0.008701852957774,0.0400337875813363,3,3,18
Spleen,A-EJ,ENSMUSG00000026496,Parp1,11545,11.0612994101479,-0.234122426678675,0.0634836913022002,0.610977009424057,1,1,9
Spleen-distal,A-EJ,ENSMUSG00000026496,Parp1,11545,8.72245561293919,-0.0258642933496412,0.858342654639442,1.0,1,1,10
Thymus,A-EJ,ENSMUSG00000026496,Parp1,11545,9.83392811248657,-0.351381109900576,0.0008263909962409,0.0112352156656269,3,4,23
Tibialis anterior,A-EJ,ENSMUSG00000026496,Parp1,11545,11.4333394953285,-0.0992207347022131,0.138205400008575,0.528059790789807,1,1,9
Adrenal gland,A-EJ,ENSMUSG00000034206,Polq,77782,5.95866081040597,-0.326180308726084,0.0404214910273099,0.299043499022442,2,2,14
Bone marrow,A-EJ,ENSMUSG00000034206,Polq,77782,9.06536942973832,-0.570166108519924,1.69763147000666e-05,0.0004672567387398,1,1,6
Cecum,A-EJ,ENSMUSG00000034206,Polq,77782,6.80184371515757,0.106283893151695,0.730528007700387,1.0,1,1,5
Cerebellum,A-EJ,ENSMUSG00000034206,Polq,77782,6.51426473281403,-0.103447040752528,0.632498670214038,0.932148331741879,1,1,9
Colon,A-EJ,ENSMUSG00000034206,Polq,77782,8.00584930425734,0.240718741750283,0.473697587856078,1.0,1,1,4
Dorsal skin,A-EJ,ENSMUSG00000034206,Polq,77782,8.05057061459698,-0.22392392785177,0.464727490430456,1.0,2,5,30
Extensor digitorum longus,A-EJ,ENSMUSG00000034206,Polq,77782,5.6361500656951,0.0603454986301784,0.721177461485887,0.892337385325996,2,2,15
Eye,A-EJ,ENSMUSG00000034206,Polq,77782,7.82724207845382,-0.0909683488281959,0.340654445370425,0.999687556394716,2,2,11
Femoral lateral skin,A-EJ,ENSMUSG00000034206,Polq,77782,8.0857912950114,-0.0371988442891996,0.886022121982547,0.992180460660013,1,1,9
Femoral skin,A-EJ,ENSMUSG00000034206,Polq,77782,7.70270199325346,-0.582905993138381,0.155112827288257,1.0,1,1,2
Gastrocnemius,A-EJ,ENSMUSG00000034206,Polq,77782,3.03295388934216,-2.43725759559716,0.802097061466817,1.0,1,2,10
Heart,A-EJ,ENSMUSG00000034206,Polq,77782,7.48312160922375,0.723027822829942,0.0078037094200356,0.285148501226781,1,1,3
Heart / Heart right ventricle,A-EJ,ENSMUSG00000034206,Polq,77782,8.17479667488649,-0.317341841874161,0.171587322062769,1.0,1,2,10
Kidney,A-EJ,ENSMUSG00000034206,Polq,77782,5.38990618527948,0.109227077238019,0.374266415080438,0.831297052355051,4,9,55
Left lobe of the liver,A-EJ,ENSMUSG00000034206,Polq,77782,3.22520210236646,-0.471885618798135,0.115754042985319,0.560513702324126,2,3,24
Liver,A-EJ,ENSMUSG00000034206,Polq,77782,3.34389334058986,0.608874639221683,0.759689757143589,1.0,3,5,19
Lung,A-EJ,ENSMUSG00000034206,Polq,77782,6.22240284975629,-0.103012700960148,0.540542211462546,1.0,1,2,14
Mammary gland,A-EJ,ENSMUSG00000034206,Polq,77782,6.57483825171054,-0.260998888756875,0.523956687554191,0.913098153516138,1,2,10
Optic nerve,A-EJ,ENSMUSG00000034206,Polq,77782,6.5251061598367,0.0478235995083282,0.920703614167205,1.0,1,1,5
Quadriceps femoris,A-EJ,ENSMUSG00000034206,Polq,77782,7.50082060367684,-0.0318944841920391,0.899996819770658,0.959119555255462,1,1,9
Retina,A-EJ,ENSMUSG00000034206,Polq,77782,7.51100370246317,0.0711352261931872,0.250822218736752,0.677429747940875,4,4,27
Soleus,A-EJ,ENSMUSG00000034206,Polq,77782,7.00527003011593,-0.214426263216093,0.0260252307648365,0.0921718506586548,3,3,18
Spleen,A-EJ,ENSMUSG00000034206,Polq,77782,8.39722020584225,0.44252007104957,0.0973911222918265,0.706587752688989,1,1,9
Spleen-distal,A-EJ,ENSMUSG00000034206,Polq,77782,3.2846836944464,-0.27619271414124,0.611781405488629,0.997924279356455,1,1,10
Thymus,A-EJ,ENSMUSG00000034206,Polq,77782,6.76621485852436,-1.25616458167279,4.01730201893927e-08,3.50320052395219e-06,3,4,23
Tibialis anterior,A-EJ,ENSMUSG00000034206,Polq,77782,6.14167232939485,-0.0941050912534439,0.596047164709973,0.930178776108544,1,1,9
Adrenal gland,A-EJ,ENSMUSG00000051768,Xrcc1,22594,10.4827981063395,0.0561713475591323,0.219505248723071,0.622915672499697,2,2,14
Bone marrow,A-EJ,ENSMUSG00000051768,Xrcc1,22594,8.42799495197543,-0.347262393983749,0.0005543850738666,0.0072836593181561,1,1,6
Cecum,A-EJ,ENSMUSG00000051768,Xrcc1,22594,7.26453021723061,-0.531483127284194,0.0291115635830947,0.949510334519976,1,1,5
Cerebellum,A-EJ,ENSMUSG00000051768,Xrcc1,22594,6.99234688547328,-0.310311493482994,0.174353850893403,0.646189697175949,1,1,9
Colon,A-EJ,ENSMUSG00000051768,Xrcc1,22594,9.12925193664496,-0.162942457047588,0.306854966501935,1.0,1,1,4
Dorsal skin,A-EJ,ENSMUSG00000051768,Xrcc1,22594,9.23006926614365,-0.07926919960928,0.678572454590856,1.0,2,5,30
Extensor digitorum longus,A-EJ,ENSMUSG00000051768,Xrcc1,22594,9.43489470654274,0.104380708491219,0.123939790965304,0.383670371859738,2,2,15
Eye,A-EJ,ENSMUSG00000051768,Xrcc1,22594,10.3479530028618,0.171924863829647,0.235404078443483,0.999687556394716,2,2,11
Femoral lateral skin,A-EJ,ENSMUSG00000051768,Xrcc1,22594,9.94335649817635,-0.127524591391951,0.331078328105334,0.917989116124345,1,1,9
Femoral skin,A-EJ,ENSMUSG00000051768,Xrcc1,22594,10.0224128844468,-0.0297120577004343,0.885889513467672,1.0,1,1,2
Gastrocnemius,A-EJ,ENSMUSG00000051768,Xrcc1,22594,7.06164486721971,-0.324567849755165,0.139237533863814,1.0,1,2,10
Heart,A-EJ,ENSMUSG00000051768,Xrcc1,22594,7.66882755059024,0.0078538794295269,0.973369286683586,0.999266699737481,1,1,3
Heart / Heart right ventricle,A-EJ,ENSMUSG00000051768,Xrcc1,22594,8.66415910440878,-0.0162423445261337,0.881541842897912,1.0,1,2,10
Kidney,A-EJ,ENSMUSG00000051768,Xrcc1,22594,9.11067152353709,-0.0626367542999368,0.427390360544097,0.863457603051279,4,9,55
Left lobe of the liver,A-EJ,ENSMUSG00000051768,Xrcc1,22594,7.98337833651498,0.0968338560715588,0.318168383657368,0.874152460123674,2,3,24
Liver,A-EJ,ENSMUSG00000051768,Xrcc1,22594,7.94782363478516,-0.0144700071457435,0.864657118999232,1.0,3,5,19
Lung,A-EJ,ENSMUSG00000051768,Xrcc1,22594,9.67124797921391,0.0332776509373075,0.717733637761129,1.0,1,2,14
Mammary gland,A-EJ,ENSMUSG00000051768,Xrcc1,22594,9.72561382956773,0.161347676084664,0.31697726104221,0.787120015113449,1,2,10
Optic nerve,A-EJ,ENSMUSG00000051768,Xrcc1,22594,9.49179934013796,-0.0405764409643067,0.877139193475097,1.0,1,1,5
Quadriceps femoris,A-EJ,ENSMUSG00000051768,Xrcc1,22594,8.39547624291085,-0.0196531277360791,0.879107861588464,0.94936004919516,1,1,9
Retina,A-EJ,ENSMUSG00000051768,Xrcc1,22594,9.40070607488324,0.0217268686748375,0.3487148749912,0.756767675910306,4,4,27
Soleus,A-EJ,ENSMUSG00000051768,Xrcc1,22594,8.02380360424361,0.0236468399471193,0.991881670554397,0.996501452777617,3,3,18
Spleen,A-EJ,ENSMUSG00000051768,Xrcc1,22594,9.73967552031269,-0.0465990145028858,0.740581047798775,0.999085092509181,1,1,9
Spleen-distal,A-EJ,ENSMUSG00000051768,Xrcc1,22594,5.94399615556432,-0.0550603607256773,0.82962159983715,0.999854481060172,1,1,10
Thymus,A-EJ,ENSMUSG00000051768,Xrcc1,22594,8.11221875307611,-0.508159829560427,0.0001665761403138,0.003403760776037,3,4,23
Tibialis anterior,A-EJ,ENSMUSG00000051768,Xrcc1,22594,9.13757925845381,0.0459970980916365,0.704096823360485,0.965747985878368,1,1,9
Adrenal gland,A-EJ,ENSMUSG00000056394,Lig1,16881,9.14575598271824,0.100569955344799,0.160574903638106,0.550076628795123,2,2,14
Bone marrow,A-EJ,ENSMUSG00000056394,Lig1,16881,10.2096205871035,-0.2090595614475,0.0726478353790432,0.250887562989005,1,1,6
Cecum,A-EJ,ENSMUSG00000056394,Lig1,16881,7.63794176584823,0.0659856718744466,0.743522404280281,1.0,1,1,5
Cerebellum,A-EJ,ENSMUSG00000056394,Lig1,16881,7.63980250539778,0.245874166304512,0.046558288538697,0.356344907719874,1,1,9
Colon,A-EJ,ENSMUSG00000056394,Lig1,16881,9.2194081854809,0.142990655280784,0.54527916298692,1.0,1,1,4
Dorsal skin,A-EJ,ENSMUSG00000056394,Lig1,16881,8.88885758712826,-0.0070050096358219,0.740980172707469,1.0,2,5,30
Extensor digitorum longus,A-EJ,ENSMUSG00000056394,Lig1,16881,6.25311231500886,0.161579899118126,0.338507459704401,0.651404157654851,2,2,15
Eye,A-EJ,ENSMUSG00000056394,Lig1,16881,9.35474936470363,0.0353817100634817,0.435470223180618,0.999687556394716,2,2,11
Femoral lateral skin,A-EJ,ENSMUSG00000056394,Lig1,16881,9.32500956039116,-0.0368136125949892,0.808579707588456,0.985894037133081,1,1,9
Femoral skin,A-EJ,ENSMUSG00000056394,Lig1,16881,8.71169152143381,-0.540356732971296,0.101078472763172,1.0,1,1,2
Gastrocnemius,A-EJ,ENSMUSG00000056394,Lig1,16881,3.67432931417108,-0.98452698125642,0.328691243076394,1.0,1,2,10
Heart,A-EJ,ENSMUSG00000056394,Lig1,16881,5.45010384986691,-0.112977079974653,0.762547748561991,0.989363616662084,1,1,3
Heart / Heart right ventricle,A-EJ,ENSMUSG00000056394,Lig1,16881,6.58995674551349,-0.0247440877722768,0.91186836060034,1.0,1,2,10
Kidney,A-EJ,ENSMUSG00000056394,Lig1,16881,7.73050921092462,0.182628263528337,0.0734358475869209,0.520050687897581,4,9,55
Left lobe of the liver,A-EJ,ENSMUSG00000056394,Lig1,16881,5.99814259142863,-0.0996747514047292,0.542091167336975,1.0,2,3,24
Liver,A-EJ,ENSMUSG00000056394,Lig1,16881,6.18430566806363,0.0112187106686151,0.87998226665325,1.0,3,5,19
Lung,A-EJ,ENSMUSG00000056394,Lig1,16881,8.64007214787056,-0.0313271255573568,0.792686993729967,1.0,1,2,14
Mammary gland,A-EJ,ENSMUSG00000056394,Lig1,16881,8.32745248677859,-0.0438228832383976,0.90175753398945,0.993494644259128,1,2,10
Optic nerve,A-EJ,ENSMUSG00000056394,Lig1,16881,7.7357091943827,0.0377476313059291,0.885513296053304,1.0,1,1,5
Quadriceps femoris,A-EJ,ENSMUSG00000056394,Lig1,16881,5.53696855140551,0.0999686334745195,0.591831055421666,0.801852518451833,1,1,9
Retina,A-EJ,ENSMUSG00000056394,Lig1,16881,8.55736808327574,0.0299837647452536,0.17925770070398,0.598618545507003,4,4,27
Soleus,A-EJ,ENSMUSG00000056394,Lig1,16881,6.14842314826899,0.34361921516581,0.0068706330207863,0.0332065002193914,3,3,18
Spleen,A-EJ,ENSMUSG00000056394,Lig1,16881,8.60863203301686,0.252908444559718,0.311679043167494,0.952983916634425,1,1,9
Spleen-distal,A-EJ,ENSMUSG00000056394,Lig1,16881,6.33391099112253,-0.257181375456956,0.34367972620193,0.977658076818585,1,1,10
Thymus,A-EJ,ENSMUSG00000056394,Lig1,16881,8.55959693145056,-1.49437507384026,5.53427768428797e-13,1.73055186133841e-10,3,4,23
Tibialis anterior,A-EJ,ENSMUSG00000056394,Lig1,16881,5.86897751974335,0.430847336390407,0.0424407538108654,0.274023862504857,1,1,9
Adrenal gland,A-EJ,ENSMUSG00000020697,Lig3,16882,11.1329238938802,0.0368920153849186,0.57025850478423,0.863586970178134,2,2,14
Bone marrow,A-EJ,ENSMUSG00000020697,Lig3,16882,8.96459096686633,0.221371443322645,0.0815413273470289,0.270113756147398,1,1,6
Cecum,A-EJ,ENSMUSG00000020697,Lig3,16882,7.96179652165242,-0.428509807232386,0.0080577814479694,0.823574096757509,1,1,5
Cerebellum,A-EJ,ENSMUSG00000020697,Lig3,16882,9.78954473986924,-0.0359071063637091,0.668640630934926,0.940396886702197,1,1,9
Colon,A-EJ,ENSMUSG00000020697,Lig3,16882,10.4930617612271,0.250690445258159,0.041519890144901,1.0,1,1,4
Dorsal skin,A-EJ,ENSMUSG00000020697,Lig3,16882,11.2514839641257,-0.0662520341657621,0.57731655549462,1.0,2,5,30
Extensor digitorum longus,A-EJ,ENSMUSG00000020697,Lig3,16882,11.0122483913652,-0.0528291917308546,0.175511772146111,0.465344869576233,2,2,15
Eye,A-EJ,ENSMUSG00000020697,Lig3,16882,11.4170988729846,0.16603261787138,0.29989996433944,0.999687556394716,2,2,11
Femoral lateral skin,A-EJ,ENSMUSG00000020697,Lig3,16882,11.3702008665365,-0.105935633532373,0.118698131711015,0.823874214472402,1,1,9
Femoral skin,A-EJ,ENSMUSG00000020697,Lig3,16882,11.2121438582995,0.0314912541598569,0.861765566458478,1.0,1,1,2
Gastrocnemius,A-EJ,ENSMUSG00000020697,Lig3,16882,8.66247015067197,0.0136176664338057,0.963687118039045,1.0,1,2,10
Heart,A-EJ,ENSMUSG00000020697,Lig3,16882,8.20591623060733,-0.18418242072402,0.362914737129924,0.935125234266373,1,1,3
Heart / Heart right ventricle,A-EJ,ENSMUSG00000020697,Lig3,16882,9.66542999028651,0.0454466100149528,0.735421246208535,1.0,1,2,10
Kidney,A-EJ,ENSMUSG00000020697,Lig3,16882,10.4626250506409,0.123249165173629,0.0537266825324373,0.462920367135863,4,9,55
Left lobe of the liver,A-EJ,ENSMUSG00000020697,Lig3,16882,9.86974497831985,0.131850713074086,0.170373199280353,0.678247077228435,2,3,24
Liver,A-EJ,ENSMUSG00000020697,Lig3,16882,9.4945572071886,0.0792552234955864,0.890432593158287,1.0,3,5,19
Lung,A-EJ,ENSMUSG00000020697,Lig3,16882,10.449546090663,0.0438922124602328,0.685213092890368,1.0,1,2,14
Mammary gland,A-EJ,ENSMUSG00000020697,Lig3,16882,10.5781435898103,-0.232762383263125,0.206153007979841,0.690109635633882,1,2,10
Optic nerve,A-EJ,ENSMUSG00000020697,Lig3,16882,11.0069959955045,-0.0672191246255216,0.790002151793034,1.0,1,1,5
Quadriceps femoris,A-EJ,ENSMUSG00000020697,Lig3,16882,11.0419633682637,-0.0312467706078982,0.679110964889631,0.850620341069556,1,1,9
Retina,A-EJ,ENSMUSG00000020697,Lig3,16882,9.95912507533141,0.0685255197220617,0.283914861337158,0.70729231499874,4,4,27
Soleus,A-EJ,ENSMUSG00000020697,Lig3,16882,9.95152809494703,0.101187508036152,0.0189143101821022,0.0728255660362475,3,3,18
Spleen,A-EJ,ENSMUSG00000020697,Lig3,16882,9.76187879483619,0.0402014022076981,0.775605414904605,0.999085092509181,1,1,9
Spleen-distal,A-EJ,ENSMUSG00000020697,Lig3,16882,6.00475160050594,-0.0683175706693384,0.788525203075082,0.999854481060172,1,1,10
Thymus,A-EJ,ENSMUSG00000020697,Lig3,16882,8.88644174428195,-0.179438096351313,0.0503997878740541,0.195615124525714,3,4,23
Tibialis anterior,A-EJ,ENSMUSG00000020697,Lig3,16882,10.5820202671904,-0.115741444770246,0.0576345588726618,0.328372488682285,1,1,9
