Tissue,GO_ID,GO_Term_Name,n_missions,n_analysis_units,Mean_Mission_NES,Median_Mission_NES,n_positive_missions,n_negative_missions,Signflip_P_value,Signflip_FDR,Stouffer_Meta_Z,Stouffer_P_value,Stouffer_FDR
Optic nerve,GO:0042770,Signal transduction in response to DNA damage,1,1,1.39208333395577,1.39208333395577,1,0,1.0,1,2.66911891269119,0.0076050520167355,0.0180851846739443
Femoral lateral skin,GO:0042770,Signal transduction in response to DNA damage,1,1,1.35764240495177,1.35764240495177,1,0,1.0,1,2.35743258154623,0.0184017964178829,0.0394324208954634
Quadriceps femoris,GO:0042770,Signal transduction in response to DNA damage,1,1,1.34960773984281,1.34960773984281,1,0,1.0,1,2.3251708997926,0.0200628237236211,0.0422946013633093
Tibialis anterior,GO:0042770,Signal transduction in response to DNA damage,1,1,1.31706642028146,1.31706642028146,1,0,1.0,1,2.01647815742854,0.0437500000000002,0.084888059701493
Heart,GO:0042770,Signal transduction in response to DNA damage,1,1,1.25521821635024,1.25521821635024,1,0,1.0,1,2.20334263429859,0.0275706081537657,0.0562960061778462
Extensor digitorum longus,GO:0042770,Signal transduction in response to DNA damage,2,2,1.25383281999274,1.25383281999274,2,0,0.5,1,2.69497480362476,0.0070393953932125,0.0169466926132894
Colon,GO:0042770,Signal transduction in response to DNA damage,1,1,1.16595861601434,1.16595861601434,1,0,1.0,1,1.39296629761507,0.163629982406955,0.260472216892704
Gastrocnemius,GO:0042770,Signal transduction in response to DNA damage,1,2,1.0046455489095,1.0046455489095,1,0,1.0,1,0.755364027146899,0.450030591194043,0.567460317460318
Kidney,GO:0042770,Signal transduction in response to DNA damage,4,9,0.75864572531225,0.743619052244698,3,1,0.25,1,3.21576496087261,0.0013009733594057,0.0035234695150572
Retina,GO:0042770,Signal transduction in response to DNA damage,4,4,0.439341796149114,0.856875418309948,3,1,0.5,1,0.347963854333299,0.727867329231091,0.813376098567695
Dorsal skin,GO:0042770,Signal transduction in response to DNA damage,2,5,0.365903471617491,0.365903471617491,1,1,1.0,1,0.0119025140075193,0.990503392069677,1.0
Mammary gland,GO:0042770,Signal transduction in response to DNA damage,1,2,-0.02265273533098,-0.02265273533098,0,1,1.0,1,-0.0931564518833465,0.925779270250234,0.957702693362311
Eye,GO:0042770,Signal transduction in response to DNA damage,2,2,-0.0845037219024296,-0.0845037219024296,1,1,1.0,1,-0.472153001650187,0.636817583328113,0.741153342070773
Soleus,GO:0042770,Signal transduction in response to DNA damage,3,3,-0.302467017592683,-1.15713060436612,1,2,1.0,1,-0.0183953312393944,0.985323476944965,1.0
Liver,GO:0042770,Signal transduction in response to DNA damage,3,5,-0.382169395368769,-0.188301566368439,0,3,0.25,1,-0.892832407567205,0.371946928588501,0.493398986903113
Left lobe of the liver,GO:0042770,Signal transduction in response to DNA damage,2,3,-0.562864177160433,-0.562864177160433,1,1,1.0,1,-0.922290496292613,0.356377069920698,0.475144512606618
Adrenal gland,GO:0042770,Signal transduction in response to DNA damage,2,2,-1.01056570526351,-1.01056570526351,0,2,0.5,1,-1.20286365424456,0.229029087242319,0.33204960603905
Cerebellum,GO:0042770,Signal transduction in response to DNA damage,1,1,-1.06080019748657,-1.06080019748657,0,1,1.0,1,-1.0527117576453,0.29247311827957,0.400142916070381
Spleen-distal,GO:0042770,Signal transduction in response to DNA damage,1,1,-1.13598427734806,-1.13598427734806,0,1,1.0,1,-1.37456923037768,0.169265033407573,0.267260579064588
Heart / Heart right ventricle,GO:0042770,Signal transduction in response to DNA damage,1,2,-1.16097553044305,-1.16097553044305,0,1,1.0,1,-1.43875777265897,0.150219164377543,0.242088735980337
Lung,GO:0042770,Signal transduction in response to DNA damage,1,2,-1.30882971249372,-1.30882971249372,0,1,1.0,1,-2.31804353472457,0.0204469551663834,0.0428726479295136
Femoral skin,GO:0042770,Signal transduction in response to DNA damage,1,1,-1.47100092107445,-1.47100092107445,0,1,1.0,1,-3.16870329950404,0.0015312061926627,0.0041184166561274
Bone marrow,GO:0042770,Signal transduction in response to DNA damage,1,1,-1.83670424101726,-1.83670424101726,0,1,1.0,1,-4.89549107092972,9.80605445933627e-07,4.29703510015859e-06
Cecum,GO:0042770,Signal transduction in response to DNA damage,1,1,-1.88980256875497,-1.88980256875497,0,1,1.0,1,-5.12804777127724,2.92762163618621e-07,1.3276423698984e-06
Thymus,GO:0042770,Signal transduction in response to DNA damage,3,4,-2.2198782952226,-2.04604675439199,0,3,0.25,1,-9.52742527112729,1.61232367560279e-21,6.28806233485086e-20
Optic nerve,GO:0008630,Intrinsic apoptotic signaling pathway,1,1,1.82824939391232,1.82824939391232,1,0,1.0,1,4.26856647534173,1.9673320095712e-05,7.37749503589199e-05
Femoral lateral skin,GO:0008630,Intrinsic apoptotic signaling pathway,1,1,1.46101197291533,1.46101197291533,1,0,1.0,1,2.4317885906456,0.0150244739232363,0.0330489823511378
Mammary gland,GO:0008630,Intrinsic apoptotic signaling pathway,1,2,1.29752557391826,1.29752557391826,1,0,1.0,1,1.8641114021345,0.0623060616537691,0.11497641509434
Femoral skin,GO:0008630,Intrinsic apoptotic signaling pathway,1,1,1.26306231788306,1.26306231788306,1,0,1.0,1,1.5845042332476,0.113079019073569,0.190089730339189
Quadriceps femoris,GO:0008630,Intrinsic apoptotic signaling pathway,1,1,1.13366061582935,1.13366061582935,1,0,1.0,1,1.22733429778135,0.21969696969697,0.326471745116036
Heart / Heart right ventricle,GO:0008630,Intrinsic apoptotic signaling pathway,1,2,1.10377061743955,1.10377061743955,1,0,1.0,1,1.18170356754521,0.237323342281607,0.34027979224201
Left lobe of the liver,GO:0008630,Intrinsic apoptotic signaling pathway,2,3,1.01877235053712,1.01877235053712,2,0,0.5,1,1.09931864438432,0.271629102756574,0.382438086913588
Colon,GO:0008630,Intrinsic apoptotic signaling pathway,1,1,1.00973250809583,1.00973250809583,1,0,1.0,1,0.776421761147928,0.4375,0.559426229508197
Gastrocnemius,GO:0008630,Intrinsic apoptotic signaling pathway,1,2,0.938756014241554,0.938756014241554,1,0,1.0,1,0.550012936835274,0.58231050039194,0.69027688496309
Heart,GO:0008630,Intrinsic apoptotic signaling pathway,1,1,0.932733197289617,0.932733197289617,1,0,1.0,1,0.5199580936578,0.603092783505155,0.708452366165694
Cerebellum,GO:0008630,Intrinsic apoptotic signaling pathway,1,1,0.914563295162822,0.914563295162822,1,0,1.0,1,0.469752142133966,0.638532110091743,0.741153342070773
Kidney,GO:0008630,Intrinsic apoptotic signaling pathway,4,9,0.887079582372722,1.25283711787311,3,1,0.25,1,3.87574519005399,0.0001062988788226,0.0003483744768135
Soleus,GO:0008630,Intrinsic apoptotic signaling pathway,3,3,0.620188144161617,1.14718682368055,2,1,0.5,1,2.54584347804409,0.0109014056766184,0.0251570900229656
Extensor digitorum longus,GO:0008630,Intrinsic apoptotic signaling pathway,2,2,0.060548779216963,0.060548779216963,1,1,1.0,1,0.302623972094611,0.762176443523677,0.839685912356593
Dorsal skin,GO:0008630,Intrinsic apoptotic signaling pathway,2,5,0.0408488146120575,0.0408488146120575,1,1,1.0,1,-0.0636766244349613,0.949227717963305,0.971650419962438
Eye,GO:0008630,Intrinsic apoptotic signaling pathway,2,2,-0.320047899984122,-0.320047899984122,1,1,1.0,1,-1.60593858514104,0.108287404585296,0.182822890858291
Thymus,GO:0008630,Intrinsic apoptotic signaling pathway,3,4,-0.556627254362525,-1.3133719069702,1,2,0.75,1,-1.96574912519888,0.0493275971421134,0.0947673048543065
Retina,GO:0008630,Intrinsic apoptotic signaling pathway,4,4,-0.642601139420923,-1.0879333967372,1,3,0.25,1,-1.76256294469292,0.0779742314163923,0.140138019596281
Tibialis anterior,GO:0008630,Intrinsic apoptotic signaling pathway,1,1,-0.981373177996826,-0.981373177996826,0,1,1.0,1,-0.632390434392998,0.527131782945737,0.632558139534884
Lung,GO:0008630,Intrinsic apoptotic signaling pathway,1,2,-0.992038040013197,-0.992038040013197,0,1,1.0,1,-0.704008559733366,0.481427442993569,0.596053024658704
Spleen-distal,GO:0008630,Intrinsic apoptotic signaling pathway,1,1,-1.00978469755598,-1.00978469755598,0,1,1.0,1,-0.807785673560531,0.419213973799127,0.537807400597564
Spleen,GO:0008630,Intrinsic apoptotic signaling pathway,1,1,-1.13305827996888,-1.13305827996888,0,1,1.0,1,-1.35493396671422,0.175438596491229,0.275766931077366
Adrenal gland,GO:0008630,Intrinsic apoptotic signaling pathway,2,2,-1.18009073328216,-1.18009073328216,0,2,0.5,1,-1.93376374767924,0.053142181945047,0.101087097671023
Bone marrow,GO:0008630,Intrinsic apoptotic signaling pathway,1,1,-1.20135977257907,-1.20135977257907,0,1,1.0,1,-1.54342672830984,0.122727272727273,0.204545454545455
Liver,GO:0008630,Intrinsic apoptotic signaling pathway,3,5,-1.24040091969648,-1.21032092763921,0,3,0.25,1,-2.79795071927627,0.0051427958567963,0.0129096929638316
Cecum,GO:0008630,Intrinsic apoptotic signaling pathway,1,1,-1.54155094874949,-1.54155094874949,0,1,1.0,1,-2.88130880164965,0.0039602742807721,0.0101612300625074
Femoral lateral skin,GO:0006301,DNA damage tolerance,1,1,1.58715919361437,1.58715919361437,1,0,1.0,1,2.46597149531964,0.0136642207635694,0.0306267017114486
Spleen,GO:0006301,DNA damage tolerance,1,1,1.3233669070637,1.3233669070637,1,0,1.0,1,1.66263489245689,0.0963855421686754,0.166329032945944
Mammary gland,GO:0006301,DNA damage tolerance,1,2,1.22011969359411,1.22011969359411,1,0,1.0,1,1.2747839162256,0.202385735055403,0.305931925083749
Quadriceps femoris,GO:0006301,DNA damage tolerance,1,1,1.17287021011717,1.17287021011717,1,0,1.0,1,1.21090138343167,0.225933202357563,0.3312554470656
Left lobe of the liver,GO:0006301,DNA damage tolerance,2,3,1.03674051704778,1.03674051704778,2,0,0.5,1,1.19778824285678,0.23099946545873,0.333665894551499
Extensor digitorum longus,GO:0006301,DNA damage tolerance,2,2,0.997245066281157,0.997245066281157,2,0,0.5,1,1.0730438921139,0.283251423287931,0.391466445733223
Gastrocnemius,GO:0006301,DNA damage tolerance,1,2,0.993345377437334,0.993345377437334,1,0,1.0,1,0.729442507928679,0.465731023650677,0.582163779563346
Eye,GO:0006301,DNA damage tolerance,2,2,0.912223209692048,0.912223209692048,2,0,0.5,1,0.844790380950231,0.398227886157578,0.512570546539457
Colon,GO:0006301,DNA damage tolerance,1,1,0.856681462333064,0.856681462333064,1,0,1.0,1,0.400745381811789,0.688607594936709,0.78068884309685
Heart,GO:0006301,DNA damage tolerance,1,1,0.856094252902113,0.856094252902113,1,0,1.0,1,0.411438301502012,0.68075117370892,0.776295198089119
Cerebellum,GO:0006301,DNA damage tolerance,1,1,0.835744083382793,0.835744083382793,1,0,1.0,1,0.379659114776946,0.704198473282443,0.796050448058414
Optic nerve,GO:0006301,DNA damage tolerance,1,1,0.834068737826363,0.834068737826363,1,0,1.0,1,0.339813268552423,0.733997155049787,0.817882544198334
Kidney,GO:0006301,DNA damage tolerance,4,9,0.601772865377744,0.928344356732088,3,1,0.375,1,1.33618790652177,0.181487862871633,0.280874073491813
Adrenal gland,GO:0006301,DNA damage tolerance,2,2,0.250893235034207,0.250893235034207,1,1,1.0,1,0.642528565857103,0.520530047866321,0.630455648036849
Lung,GO:0006301,DNA damage tolerance,1,2,0.173336583472326,0.173336583472326,1,0,1.0,1,0.431873660815285,0.665833239045997,0.766002841380351
Dorsal skin,GO:0006301,DNA damage tolerance,2,5,0.0999711207229125,0.0999711207229125,1,1,1.0,1,-0.86777753799684,0.385516128886012,0.505378116011505
Liver,GO:0006301,DNA damage tolerance,3,5,0.0906959049471205,0.345909453197982,2,1,1.0,1,0.249287761737964,0.803138197283055,0.865259383813236
Soleus,GO:0006301,DNA damage tolerance,3,3,-0.215395190290505,-0.811245010076185,1,2,1.0,1,0.0775297442855434,0.938202129961036,0.966155616233619
Retina,GO:0006301,DNA damage tolerance,4,4,-0.341613225707319,-0.298684742743524,2,2,0.75,1,-1.66279545918322,0.0963533859014779,0.166329032945944
Tibialis anterior,GO:0006301,DNA damage tolerance,1,1,-0.947616261715065,-0.947616261715065,0,1,1.0,1,-0.655753762593341,0.5119825708061,0.622034899110215
Cecum,GO:0006301,DNA damage tolerance,1,1,-1.04275324913647,-1.04275324913647,0,1,1.0,1,-0.866600910865353,0.386160714285714,0.505378116011505
Spleen-distal,GO:0006301,DNA damage tolerance,1,1,-1.30021246912459,-1.30021246912459,0,1,1.0,1,-1.53975407988698,0.123620309050773,0.205157108637453
Heart / Heart right ventricle,GO:0006301,DNA damage tolerance,1,2,-1.35082730207654,-1.35082730207654,0,1,1.0,1,-1.67255141256519,0.0944156386873978,0.164534241531665
Bone marrow,GO:0006301,DNA damage tolerance,1,1,-1.36715829145432,-1.36715829145432,0,1,1.0,1,-1.77485453542217,0.0759219088937091,0.137081224391419
Femoral skin,GO:0006301,DNA damage tolerance,1,1,-1.87620402503252,-1.87620402503252,0,1,1.0,1,-2.99310314400603,0.0027615640201878,0.0072282548179413
Thymus,GO:0006301,DNA damage tolerance,3,4,-2.12035840292712,-1.97913183179885,0,3,0.25,1,-6.90765170863115,4.92741902985242e-12,9.608467108212219e-11
Tibialis anterior,GO:0043247,Telomere maintenance in response to DNA damage,1,1,1.63206645608909,1.63206645608909,1,0,1.0,1,2.51455899998314,0.0119181359121762,0.0273416059161689
Quadriceps femoris,GO:0043247,Telomere maintenance in response to DNA damage,1,1,1.5220403852834,1.5220403852834,1,0,1.0,1,2.15057252585786,0.0315099558027215,0.0626983814441908
Optic nerve,GO:0043247,Telomere maintenance in response to DNA damage,1,1,1.42090975750914,1.42090975750914,1,0,1.0,1,1.89139655155835,0.0585714285714282,0.108775510204081
Bone marrow,GO:0043247,Telomere maintenance in response to DNA damage,1,1,1.35452384142426,1.35452384142426,1,0,1.0,1,1.67593972277344,0.0937500000000008,0.164534241531665
Cerebellum,GO:0043247,Telomere maintenance in response to DNA damage,1,1,1.16489455685467,1.16489455685467,1,0,1.0,1,1.21138922067498,0.225746268656718,0.3312554470656
Liver,GO:0043247,Telomere maintenance in response to DNA damage,3,5,0.939727976526909,0.788642806045337,3,0,0.25,1,1.11341468760752,0.265530369797818,0.375205957323003
Eye,GO:0043247,Telomere maintenance in response to DNA damage,2,2,0.807989052388028,0.807989052388028,2,0,0.5,1,0.674091249753403,0.5002533022434,0.611594946316383
Spleen-distal,GO:0043247,Telomere maintenance in response to DNA damage,1,1,0.73269330617604,0.73269330617604,1,0,1.0,1,0.157887491782787,0.874545454545455,0.911959163830821
Left lobe of the liver,GO:0043247,Telomere maintenance in response to DNA damage,2,3,0.719002712393521,0.719002712393521,2,0,0.5,1,1.2940675837542,0.19564207740174,0.298048477291713
Soleus,GO:0043247,Telomere maintenance in response to DNA damage,3,3,0.555382071008867,1.13978353823061,2,1,0.75,1,1.50865602474745,0.131386708944661,0.217122103764483
Lung,GO:0043247,Telomere maintenance in response to DNA damage,1,2,0.327086676071047,0.327086676071047,1,0,1.0,1,0.883863733190966,0.376769776828275,0.498102416823822
Extensor digitorum longus,GO:0043247,Telomere maintenance in response to DNA damage,2,2,0.29333566954747,0.29333566954747,1,1,1.0,1,1.35273941543811,0.176138893676985,0.275766931077366
Dorsal skin,GO:0043247,Telomere maintenance in response to DNA damage,2,5,0.203158494184324,0.203158494184324,1,1,1.0,1,-0.532826975286997,0.59415335886497,0.700059848813711
Heart / Heart right ventricle,GO:0043247,Telomere maintenance in response to DNA damage,1,2,0.0756397793970225,0.0756397793970225,1,0,1.0,1,0.163566227798298,0.870072632890664,0.911243073305133
Kidney,GO:0043247,Telomere maintenance in response to DNA damage,4,9,0.010283953395917,-0.178781915993994,1,3,1.0,1,0.171020201389,0.864207881190573,0.908466505833756
Gastrocnemius,GO:0043247,Telomere maintenance in response to DNA damage,1,2,-0.060205495520046,-0.060205495520046,0,1,1.0,1,-0.174739628421038,0.861284227820282,0.908466505833756
Mammary gland,GO:0043247,Telomere maintenance in response to DNA damage,1,2,-0.06026610716948,-0.06026610716948,0,1,1.0,1,-0.161725247810325,0.871522221391833,0.911243073305133
Adrenal gland,GO:0043247,Telomere maintenance in response to DNA damage,2,2,-0.639741962455612,-0.639741962455612,0,2,0.5,1,-0.120107468723217,0.904398016038632,0.940573936680178
Heart,GO:0043247,Telomere maintenance in response to DNA damage,1,1,-0.951921928739381,-0.951921928739381,0,1,1.0,1,-0.638365474032652,0.523235800344234,0.631770780601397
Spleen,GO:0043247,Telomere maintenance in response to DNA damage,1,1,-0.98574175311685,-0.98574175311685,0,1,1.0,1,-0.69499438005254,0.487058823529412,0.59922063462609
Femoral lateral skin,GO:0043247,Telomere maintenance in response to DNA damage,1,1,-1.04619240159771,-1.04619240159771,0,1,1.0,1,-0.846672987115123,0.397177419354839,0.512570546539457
Retina,GO:0043247,Telomere maintenance in response to DNA damage,4,4,-1.09275608602037,-1.08318501841324,0,4,0.125,1,-1.99413450916196,0.0461373568495559,0.0890770751055783
Femoral skin,GO:0043247,Telomere maintenance in response to DNA damage,1,1,-1.17032918675353,-1.17032918675353,0,1,1.0,1,-1.22610503542899,0.220159151193635,0.326471745116036
Colon,GO:0043247,Telomere maintenance in response to DNA damage,1,1,-1.22948773563104,-1.22948773563104,0,1,1.0,1,-1.3429865909621,0.179276315789474,0.278556825330259
Cecum,GO:0043247,Telomere maintenance in response to DNA damage,1,1,-1.53492561247003,-1.53492561247003,0,1,1.0,1,-2.21582101659962,0.0267037625124198,0.0551030020097551
Thymus,GO:0043247,Telomere maintenance in response to DNA damage,3,4,-1.99024574944956,-1.82309991012089,0,3,0.25,1,-6.25932209104828,3.8665455331458003e-10,2.5132545965447702e-09
Quadriceps femoris,GO:0000781,"Chromosome, telomeric region",1,1,1.7151821579456,1.7151821579456,1,0,1.0,1,3.7421901220324,0.0001824234133763,0.0005737510581997
Optic nerve,GO:0000781,"Chromosome, telomeric region",1,1,1.5249183297071,1.5249183297071,1,0,1.0,1,2.89154376659711,0.0038335419318748,0.0099012010161006
Tibialis anterior,GO:0000781,"Chromosome, telomeric region",1,1,1.37480033079315,1.37480033079315,1,0,1.0,1,2.17837473265781,0.0293781494515144,0.0590591664231475
Left lobe of the liver,GO:0000781,"Chromosome, telomeric region",2,3,1.25507536335781,1.25507536335781,2,0,0.5,1,2.59699429694576,0.0094043485518017,0.0218315234238254
Cerebellum,GO:0000781,"Chromosome, telomeric region",1,1,1.08613639397227,1.08613639397227,1,0,1.0,1,1.07509653232129,0.282331511839711,0.391466445733223
Heart,GO:0000781,"Chromosome, telomeric region",1,1,0.986868850538993,0.986868850538993,1,0,1.0,1,0.670460776196772,0.502564102564102,0.6125
Eye,GO:0000781,"Chromosome, telomeric region",2,2,0.940088108776397,0.940088108776397,2,0,0.5,1,0.758259338407841,0.448295744309514,0.567460317460318
Spleen,GO:0000781,"Chromosome, telomeric region",1,1,0.910501754887992,0.910501754887992,1,0,1.0,1,0.428004498202795,0.668647845468054,0.766978410978062
Femoral lateral skin,GO:0000781,"Chromosome, telomeric region",1,1,0.901811241934763,0.901811241934763,1,0,1.0,1,0.401903424954605,0.687755102040817,0.78068884309685
Liver,GO:0000781,"Chromosome, telomeric region",3,5,0.688465605835803,0.976592380734852,2,1,0.5,1,1.02956579537788,0.303213878758384,0.412032796919058
