Tissue,Pathway,EnsemblID,Gene_Symbol,EntrezID,Spaceflight_Log2FC,Meta_P_value,FDR_padj,n_missions,n_analysis_units,Flight_Samples_Count
Bone marrow,FA,ENSMUSG00000032815,Fanca,14087,-0.235571312424324,0.0211743226616418,0.109209907421531,1,1,6
Bone marrow,FA,ENSMUSG00000047757,Fancb,237211,0.111202245869709,0.416211172988526,0.686985430404876,1,1,6
Bone marrow,FA,ENSMUSG00000021461,Fancc,14088,-0.259752307121629,0.0107012120327953,0.0671207218709978,1,1,6
Bone marrow,FA,ENSMUSG00000007570,Fance,72775,0.132616747413135,0.403565269830586,0.676869168230316,1,1,6
Bone marrow,FA,ENSMUSG00000092118,Fancf,100040608,0.209594716519639,0.111823526001045,0.327924029379426,1,1,6
Bone marrow,FA,ENSMUSG00000028453,Fancg,60534,-0.106851202759503,0.382281479991238,0.658857973342316,1,1,6
Bone marrow,FA,ENSMUSG00000004018,Fancl,67030,-0.0040159901708807,0.977834191094162,0.990986563660351,1,1,6
Bone marrow,FA,ENSMUSG00000026429,Ube2t,67196,-0.213526064661542,0.0791915806153248,0.264202680083179,1,1,6
Bone marrow,FA,ENSMUSG00000055884,Fancm,104806,0.0382151293753768,0.814288681256283,0.930174629658745,1,1,6
Bone marrow,FA,ENSMUSG00000003662,Ciao1,26371,-0.0222943873621395,0.901670511725356,0.968850003555722,1,1,6
Bone marrow,FA,ENSMUSG00000031879,Ciao2b,68523,0.0550075568427373,0.624030603839158,0.835934532197526,1,1,6
Bone marrow,FA,ENSMUSG00000025384,Faap100,71885,0.0245993651382459,0.891608188360834,0.965784092134088,1,1,6
Bone marrow,FA,ENSMUSG00000073684,Faap20,67513,0.223827790195205,0.0651018159681147,0.23378259144893,1,1,6
Bone marrow,FA,ENSMUSG00000030493,Faap24,101831,-0.14859309847018,0.153309776996695,0.395939313547345,1,1,6
Bone marrow,FA,ENSMUSG00000034023,Fancd2,211651,-0.49437965527098,0.0005396701360549,0.007160165768052,1,1,6
Bone marrow,FA,ENSMUSG00000039187,Fanci,208836,-0.259037817851165,0.0077894209426425,0.0526965257271827,1,1,6
Cecum,BER,ENSMUSG00000029591,Ung,22256,0.50416790034012,0.0893922254683879,1.0,1,1,5
Cecum,BER,ENSMUSG00000030271,Ogg1,18294,0.22788474799003,0.319730646587258,1.0,1,1,5
