Group,TissueLabel,TissueOrder,Pathway,PathwayDisplay,PathwayOrder,ComponentOrder,ComponentOrderWithinPathway,RequestedComponent,MappingStatus,LookupMouseSymbol,OfficialMouseSymbol,DisplayComponent,EnsemblID,MGI_ID,EntrezID,log2FoldChange,tissue_meta_p,padj,P_lt_0_05,Log2FCDisplayed,Log2FCLabel,n_missions,n_analysis_units,expression_n_missions,expression_n_analysis_units,expression_n_flight_samples
Adrenal gland,"Adrenal gland
肾上腺",1,NER,NER,6,42,6,CSB,reviewed teacher label/alias -> official mouse symbol,Ercc6,Ercc6,Ercc6,ENSMUSG00000054051,MGI:1100494,319955,0.0187481152516956,0.874343987821976,0.968732055387852,FALSE,,"",2,2,2,2,14
Adrenal gland,"Adrenal gland
肾上腺",1,NER,NER,6,43,7,DDB1,reviewed teacher label/alias -> official mouse symbol,Ddb1,Ddb1,Ddb1,ENSMUSG00000024740,MGI:1202384,13194,0.0690482006849849,0.0393397096926273,0.294938407596684,TRUE,0.0690482006849849,+0.07,2,2,2,2,14
Adrenal gland,"Adrenal gland
肾上腺",1,NER,NER,6,44,8,DDB2,reviewed teacher label/alias -> official mouse symbol,Ddb2,Ddb2,Ddb2,ENSMUSG00000002109,MGI:1355314,107986,0.250378954304699,0.0143934269543702,0.17571076459714,TRUE,0.250378954304699,+0.25,2,2,2,2,14
Adrenal gland,"Adrenal gland
肾上腺",1,NER,NER,6,45,9,XPB,reviewed teacher label/alias -> official mouse symbol,Ercc3,Ercc3,Ercc3,ENSMUSG00000024382,MGI:95414,13872,0.141052541866179,0.000786467745587958,0.033114125683877,TRUE,0.141052541866179,+0.14,2,2,2,2,14
Adrenal gland,"Adrenal gland
肾上腺",1,NER,NER,6,46,10,XPD,reviewed teacher label/alias -> official mouse symbol,Ercc2,Ercc2,Ercc2,ENSMUSG00000030400,MGI:95413,13871,-0.0637398597123457,0.404949967026386,0.774029290557709,FALSE,,"",2,2,2,2,14
Adrenal gland,"Adrenal gland
肾上腺",1,NER,NER,6,47,11,p8,reviewed teacher label/alias -> official mouse symbol,Gtf2h5,Gtf2h5,Gtf2h5,ENSMUSG00000034345,MGI:107227,66467,0.221647499931931,4.43680786834047e-05,0.00516209013416511,TRUE,0.221647499931931,+0.22,2,2,2,2,14
Adrenal gland,"Adrenal gland
肾上腺",1,NER,NER,6,48,12,p34,reviewed teacher label/alias -> official mouse symbol,Gtf2h3,Gtf2h3,Gtf2h3,ENSMUSG00000029387,MGI:1277143,209357,-0.0777425057362809,0.33659234524207,0.730084773999592,FALSE,,"",2,2,2,2,14
Adrenal gland,"Adrenal gland
肾上腺",1,NER,NER,6,49,13,p44,reviewed teacher label/alias -> official mouse symbol,Gtf2h2,Gtf2h2,Gtf2h2,ENSMUSG00000021639,MGI:1345669,23894,0.0802355505055905,0.174197977652298,0.569048057870587,FALSE,,"",2,2,2,2,14
Adrenal gland,"Adrenal gland
肾上腺",1,NER,NER,6,50,14,p52,reviewed teacher label/alias -> official mouse symbol,Gtf2h4,Gtf2h4,Gtf2h4,ENSMUSG00000001524,MGI:1338799,14885,-0.110709847356936,0.16328439193758,0.553570598499135,FALSE,,"",2,2,2,2,14
Adrenal gland,"Adrenal gland
肾上腺",1,NER,NER,6,51,15,p62,reviewed teacher label/alias -> official mouse symbol,Gtf2h1,Gtf2h1,Gtf2h1,ENSMUSG00000006599,MGI:1277216,14884,-0.0568976959851406,0.307142684736836,0.704749434792202,FALSE,,"",2,2,2,2,14
Adrenal gland,"Adrenal gland
肾上腺",1,NER,NER,6,52,16,ERCC1,reviewed teacher label/alias -> official mouse symbol,Ercc1,Ercc1,Ercc1,ENSMUSG00000003549,MGI:95412,13870,-0.0573042026207411,0.397915117144726,0.770503794197501,FALSE,,"",2,2,2,2,14
Adrenal gland,"Adrenal gland
肾上腺",1,NER,NER,6,53,17,XPF,reviewed teacher label/alias -> official mouse symbol,Ercc4,Ercc4,Ercc4,ENSMUSG00000022545,MGI:1354163,50505,0.0374104573224462,0.586692715268825,0.872204919110791,FALSE,,"",2,2,2,2,14
Adrenal gland,"Adrenal gland
肾上腺",1,NER,NER,6,54,18,XPG,reviewed teacher label/alias -> official mouse symbol,Ercc5,Ercc5,Ercc5,ENSMUSG00000026048,MGI:103582,22592,-0.0662590170855775,0.155651761049539,0.54231218558049,FALSE,,"",2,2,2,2,14
Adrenal gland,"Adrenal gland
肾上腺",1,MMR,MMR,7,55,1,MSH1,teacher label corrected to mammalian MLH1; no mouse Msh1 record,Mlh1,Mlh1,Mlh1,ENSMUSG00000032498,MGI:101938,17350,-0.00335947564962395,0.896351065842749,0.974762976188294,FALSE,,"",2,2,2,2,14
Adrenal gland,"Adrenal gland
肾上腺",1,MMR,MMR,7,56,2,MSH2,reviewed teacher label/alias -> official mouse symbol,Msh2,Msh2,Msh2,ENSMUSG00000024151,MGI:101816,17685,0.143593049082839,0.092548680782524,0.437733662989565,FALSE,,"",2,2,2,2,14
Adrenal gland,"Adrenal gland
肾上腺",1,MMR,MMR,7,57,3,MSH3,reviewed teacher label/alias -> official mouse symbol,Msh3,Msh3,Msh3,ENSMUSG00000014850,MGI:109519,17686,0.151817081206723,0.175559736642702,0.570972818331562,FALSE,,"",2,2,2,2,14
Adrenal gland,"Adrenal gland
肾上腺",1,MMR,MMR,7,58,4,MSH6,reviewed teacher label/alias -> official mouse symbol,Msh6,Msh6,Msh6,ENSMUSG00000005370,MGI:1343961,17688,-0.129094891509272,0.0442939580881118,0.311117027654457,TRUE,-0.129094891509272,-0.13,2,2,2,2,14
Adrenal gland,"Adrenal gland
肾上腺",1,MMR,MMR,7,59,5,PMS2,reviewed teacher label/alias -> official mouse symbol,Pms2,Pms2,Pms2,ENSMUSG00000079109,MGI:104288,18861,0.0363629028276221,0.657462065240398,0.902800904338051,FALSE,,"",2,2,2,2,14
Adrenal gland,"Adrenal gland
肾上腺",1,FA,FA,8,60,1,FANCA,reviewed teacher label/alias -> official mouse symbol,Fanca,Fanca,Fanca,ENSMUSG00000032815,MGI:1341823,14087,0.288874526137885,0.169300213912329,0.561016692185517,FALSE,,"",2,2,2,2,14
Adrenal gland,"Adrenal gland
肾上腺",1,FA,FA,8,61,2,FANCB,reviewed teacher label/alias -> official mouse symbol,Fancb,Fancb,Fancb,ENSMUSG00000047757,MGI:2448558,237211,-0.046981469114958,0.724807076395079,0.923961162965477,FALSE,,"",2,2,2,2,14
Adrenal gland,"Adrenal gland
肾上腺",1,FA,FA,8,62,3,FANCC,reviewed teacher label/alias -> official mouse symbol,Fancc,Fancc,Fancc,ENSMUSG00000021461,MGI:95480,14088,-0.00613021782725501,0.789166150024115,0.943651989040935,FALSE,,"",2,2,2,2,14
Adrenal gland,"Adrenal gland
肾上腺",1,FA,FA,8,63,4,FANCE,reviewed teacher label/alias -> official mouse symbol,Fance,Fance,Fance,ENSMUSG00000007570,MGI:1920025,72775,0.0836537481057012,0.296515853412349,0.695309674359906,FALSE,,"",2,2,2,2,14
Adrenal gland,"Adrenal gland
肾上腺",1,FA,FA,8,64,5,FANCF,reviewed teacher label/alias -> official mouse symbol,Fancf,Fancf,Fancf,ENSMUSG00000092118,MGI:3689889,100040608,-0.0098805141754894,0.883331755647847,0.971489935283758,FALSE,,"",2,2,2,2,14
Adrenal gland,"Adrenal gland
肾上腺",1,FA,FA,8,65,6,FANCG,reviewed teacher label/alias -> official mouse symbol,Fancg,Fancg,Fancg,ENSMUSG00000028453,MGI:1926471,60534,0.0630446322334067,0.581685318854184,0.869705744240153,FALSE,,"",2,2,2,2,14
Adrenal gland,"Adrenal gland
肾上腺",1,FA,FA,8,66,7,FANCL,reviewed teacher label/alias -> official mouse symbol,Fancl,Fancl,Fancl,ENSMUSG00000004018,MGI:1914280,67030,0.0452365369154317,0.615224456477308,0.885751852666088,FALSE,,"",2,2,2,2,14
Adrenal gland,"Adrenal gland
肾上腺",1,FA,FA,8,67,8,FANCT,reviewed teacher label/alias -> official mouse symbol,Ube2t,Ube2t,Ube2t,ENSMUSG00000026429,MGI:1914446,67196,-0.167962398505689,0.537092048574642,0.848582150878011,FALSE,,"",2,2,2,2,14
Adrenal gland,"Adrenal gland
肾上腺",1,FA,FA,8,68,9,FANCM,reviewed teacher label/alias -> official mouse symbol,Fancm,Fancm,Fancm,ENSMUSG00000055884,MGI:2442306,104806,0.164890688918819,0.0465040022750311,0.318590369292826,TRUE,0.164890688918819,+0.16,2,2,2,2,14
Adrenal gland,"Adrenal gland
肾上腺",1,FA,FA,8,69,10,MHF1,reviewed teacher label/alias -> official mouse symbol,Ciao1,Ciao1,Ciao1,ENSMUSG00000003662,MGI:1346998,26371,0.00357937004202345,0.989557147492255,0.997639638728475,FALSE,,"",2,2,2,2,14
Adrenal gland,"Adrenal gland
肾上腺",1,FA,FA,8,70,11,MHF2,reviewed teacher label/alias -> official mouse symbol,Ciao2b,Ciao2b,Ciao2b,ENSMUSG00000031879,MGI:1915773,68523,-0.0775728913403891,0.471231157522807,0.810434533171809,FALSE,,"",2,2,2,2,14
Adrenal gland,"Adrenal gland
肾上腺",1,FA,FA,8,71,12,FAAP100,reviewed teacher label/alias -> official mouse symbol,Faap100,Faap100,Faap100,ENSMUSG00000025384,MGI:1919135,71885,0.110308469909959,0.350955908795857,0.739511384874347,FALSE,,"",2,2,2,2,14
Adrenal gland,"Adrenal gland
肾上腺",1,FA,FA,8,72,13,FAAP20,reviewed teacher label/alias -> official mouse symbol,Faap20,Faap20,Faap20,ENSMUSG00000073684,MGI:1914763,67513,-0.0174393589373432,0.581966872932042,0.869717985553469,FALSE,,"",2,2,2,2,14
Adrenal gland,"Adrenal gland
肾上腺",1,FA,FA,8,73,14,FAAP24,reviewed teacher label/alias -> official mouse symbol,Faap24,Faap24,Faap24,ENSMUSG00000030493,MGI:2142208,101831,-0.0344559514511673,0.635144138303123,0.893810608683796,FALSE,,"",2,2,2,2,14
Adrenal gland,"Adrenal gland
肾上腺",1,FA,FA,8,74,15,FANCD2,reviewed teacher label/alias -> official mouse symbol,Fancd2,Fancd2,Fancd2,ENSMUSG00000034023,MGI:2448480,211651,-0.291766003404819,0.148489687993457,0.533637094874743,FALSE,,"",2,2,2,2,14
Adrenal gland,"Adrenal gland
肾上腺",1,FA,FA,8,75,16,FANCI,reviewed teacher label/alias -> official mouse symbol,Fanci,Fanci,Fanci,ENSMUSG00000039187,MGI:2384790,208836,-0.017502332172937,0.908425213765185,0.978159695955247,FALSE,,"",2,2,2,2,14
Bone marrow,"Bone marrow
骨髓",2,BER,BER,5,30,1,UNG,reviewed teacher label/alias -> official mouse symbol,Ung,Ung,Ung,ENSMUSG00000029591,MGI:109352,22256,-0.0749530637567505,0.577142600668159,0.807266403328905,FALSE,,"",1,1,1,1,6
Bone marrow,"Bone marrow
骨髓",2,BER,BER,5,31,2,OGG1,reviewed teacher label/alias -> official mouse symbol,Ogg1,Ogg1,Ogg1,ENSMUSG00000030271,MGI:1097693,18294,0.394050638724042,0.0183951797491356,0.0986071199099262,TRUE,0.394050638724042,+0.39,1,1,1,1,6
Bone marrow,"Bone marrow
骨髓",2,BER,BER,5,32,3,NEIL1,reviewed teacher label/alias -> official mouse symbol,Neil1,Neil1,Neil1,ENSMUSG00000032298,MGI:1920024,72774,-0.505568614741654,0.0116629742258258,0.0712218959390426,TRUE,-0.505568614741654,-0.51,1,1,1,1,6
Bone marrow,"Bone marrow
骨髓",2,BER,BER,5,34,5,APE1,reviewed teacher label/alias -> official mouse symbol,Apex1,Apex1,Apex1,ENSMUSG00000035960,MGI:88042,11792,0.545454056040458,4.64905835595598e-05,0.0010386676717209,TRUE,0.545454056040458,+0.55,1,1,1,1,6
Bone marrow,"Bone marrow
骨髓",2,BER,BER,5,35,6,PNKP,reviewed teacher label/alias -> official mouse symbol,Pnkp,Pnkp,Pnkp,ENSMUSG00000002963,MGI:1891698,59047,0.269758815322624,0.0281780384921478,0.132691153911204,TRUE,0.269758815322624,+0.27,1,1,1,1,6
Bone marrow,"Bone marrow
骨髓",2,BER,BER,5,36,7,FEN1,reviewed teacher label/alias -> official mouse symbol,Fen1,Fen1,Fen1,ENSMUSG00000024742,MGI:102779,14156,-0.134944918800395,0.282769484207713,0.56239544800735,FALSE,,"",1,1,1,1,6
Bone marrow,"Bone marrow
骨髓",2,NER,NER,6,37,1,XPA,reviewed teacher label/alias -> official mouse symbol,Xpa,Xpa,Xpa,ENSMUSG00000028329,MGI:99135,22590,0.222135924312849,0.10924432264958,0.323369837439212,FALSE,,"",1,1,1,1,6
Bone marrow,"Bone marrow
骨髓",2,NER,NER,6,38,2,XPC,reviewed teacher label/alias -> official mouse symbol,Xpc,Xpc,Xpc,ENSMUSG00000030094,MGI:103557,22591,0.375752640907878,0.000134471996363177,0.00242473127300531,TRUE,0.375752640907878,+0.38,1,1,1,1,6
Bone marrow,"Bone marrow
骨髓",2,NER,NER,6,39,3,RAD23B,reviewed teacher label/alias -> official mouse symbol,Rad23b,Rad23b,Rad23b,ENSMUSG00000028426,MGI:105128,19359,0.0847325762360711,0.493737374610451,0.749115265429251,FALSE,,"",1,1,1,1,6
Bone marrow,"Bone marrow
骨髓",2,NER,NER,6,40,4,CETN2,reviewed teacher label/alias -> official mouse symbol,Cetn2,Cetn2,Cetn2,ENSMUSG00000031347,MGI:1347085,26370,0.4153858387786,0.00223294074154522,0.0209652902752708,TRUE,0.4153858387786,+0.42,1,1,1,1,6
Bone marrow,"Bone marrow
骨髓",2,NER,NER,6,41,5,CSA,reviewed teacher label/alias -> official mouse symbol,Ercc8,Ercc8,Ercc8,ENSMUSG00000021694,MGI:1919241,71991,0.0923447841469411,0.482454024192861,0.740256162032325,FALSE,,"",1,1,1,1,6
Bone marrow,"Bone marrow
骨髓",2,NER,NER,6,42,6,CSB,reviewed teacher label/alias -> official mouse symbol,Ercc6,Ercc6,Ercc6,ENSMUSG00000054051,MGI:1100494,319955,-0.447987834066571,0.00344790802726312,0.0291138259383902,TRUE,-0.447987834066571,-0.45,1,1,1,1,6
Bone marrow,"Bone marrow
骨髓",2,NER,NER,6,43,7,DDB1,reviewed teacher label/alias -> official mouse symbol,Ddb1,Ddb1,Ddb1,ENSMUSG00000024740,MGI:1202384,13194,-0.103114586535053,0.336704671506778,0.618079116433283,FALSE,,"",1,1,1,1,6
Bone marrow,"Bone marrow
骨髓",2,NER,NER,6,44,8,DDB2,reviewed teacher label/alias -> official mouse symbol,Ddb2,Ddb2,Ddb2,ENSMUSG00000002109,MGI:1355314,107986,0.130245928172308,0.32034539777661,0.601797342828907,FALSE,,"",1,1,1,1,6
Bone marrow,"Bone marrow
骨髓",2,NER,NER,6,45,9,XPB,reviewed teacher label/alias -> official mouse symbol,Ercc3,Ercc3,Ercc3,ENSMUSG00000024382,MGI:95414,13872,0.0711331632124599,0.535926236875875,0.778050687712478,FALSE,,"",1,1,1,1,6
Bone marrow,"Bone marrow
骨髓",2,NER,NER,6,46,10,XPD,reviewed teacher label/alias -> official mouse symbol,Ercc2,Ercc2,Ercc2,ENSMUSG00000030400,MGI:95413,13871,-0.222931162992865,0.263255074864521,0.539418505225262,FALSE,,"",1,1,1,1,6
Bone marrow,"Bone marrow
骨髓",2,NER,NER,6,47,11,p8,reviewed teacher label/alias -> official mouse symbol,Gtf2h5,Gtf2h5,Gtf2h5,ENSMUSG00000034345,MGI:107227,66467,0.266334684269402,0.04298239256211,0.176936327462218,TRUE,0.266334684269402,+0.27,1,1,1,1,6
Bone marrow,"Bone marrow
骨髓",2,NER,NER,6,48,12,p34,reviewed teacher label/alias -> official mouse symbol,Gtf2h3,Gtf2h3,Gtf2h3,ENSMUSG00000029387,MGI:1277143,209357,-0.13395974833996,0.28298068206656,0.562668891145631,FALSE,,"",1,1,1,1,6
Bone marrow,"Bone marrow
骨髓",2,NER,NER,6,49,13,p44,reviewed teacher label/alias -> official mouse symbol,Gtf2h2,Gtf2h2,Gtf2h2,ENSMUSG00000021639,MGI:1345669,23894,-0.146648141062168,0.27604192515822,0.554692530458838,FALSE,,"",1,1,1,1,6
Bone marrow,"Bone marrow
骨髓",2,NER,NER,6,50,14,p52,reviewed teacher label/alias -> official mouse symbol,Gtf2h4,Gtf2h4,Gtf2h4,ENSMUSG00000001524,MGI:1338799,14885,0.158604062557255,0.328221328088546,0.609246041438575,FALSE,,"",1,1,1,1,6
Bone marrow,"Bone marrow
骨髓",2,NER,NER,6,51,15,p62,reviewed teacher label/alias -> official mouse symbol,Gtf2h1,Gtf2h1,Gtf2h1,ENSMUSG00000006599,MGI:1277216,14884,0.2421897473748,0.0175701457410349,0.0956397284216067,TRUE,0.2421897473748,+0.24,1,1,1,1,6
Bone marrow,"Bone marrow
骨髓",2,NER,NER,6,52,16,ERCC1,reviewed teacher label/alias -> official mouse symbol,Ercc1,Ercc1,Ercc1,ENSMUSG00000003549,MGI:95412,13870,0.317398411902768,0.0495469317498366,0.194384912981199,TRUE,0.317398411902768,+0.32,1,1,1,1,6
Bone marrow,"Bone marrow
骨髓",2,NER,NER,6,53,17,XPF,reviewed teacher label/alias -> official mouse symbol,Ercc4,Ercc4,Ercc4,ENSMUSG00000022545,MGI:1354163,50505,-0.0145391433467426,0.910945401785888,0.972092861054663,FALSE,,"",1,1,1,1,6
Bone marrow,"Bone marrow
骨髓",2,NER,NER,6,54,18,XPG,reviewed teacher label/alias -> official mouse symbol,Ercc5,Ercc5,Ercc5,ENSMUSG00000026048,MGI:103582,22592,-0.103918532180957,0.450615205462532,0.715014426627771,FALSE,,"",1,1,1,1,6
Bone marrow,"Bone marrow
骨髓",2,MMR,MMR,7,55,1,MSH1,teacher label corrected to mammalian MLH1; no mouse Msh1 record,Mlh1,Mlh1,Mlh1,ENSMUSG00000032498,MGI:101938,17350,-0.117726132150294,0.431593452750589,0.699229062699265,FALSE,,"",1,1,1,1,6
Bone marrow,"Bone marrow
骨髓",2,MMR,MMR,7,56,2,MSH2,reviewed teacher label/alias -> official mouse symbol,Msh2,Msh2,Msh2,ENSMUSG00000024151,MGI:101816,17685,-0.0465036729963348,0.621154146462454,0.833739520191677,FALSE,,"",1,1,1,1,6
Bone marrow,"Bone marrow
骨髓",2,MMR,MMR,7,57,3,MSH3,reviewed teacher label/alias -> official mouse symbol,Msh3,Msh3,Msh3,ENSMUSG00000014850,MGI:109519,17686,-0.249464927537234,0.0268910408670386,0.128506852223536,TRUE,-0.249464927537234,-0.25,1,1,1,1,6
Bone marrow,"Bone marrow
骨髓",2,MMR,MMR,7,58,4,MSH6,reviewed teacher label/alias -> official mouse symbol,Msh6,Msh6,Msh6,ENSMUSG00000005370,MGI:1343961,17688,-0.255991699949609,0.0262652063926886,0.12641303623215,TRUE,-0.255991699949609,-0.26,1,1,1,1,6
Bone marrow,"Bone marrow
骨髓",2,MMR,MMR,7,59,5,PMS2,reviewed teacher label/alias -> official mouse symbol,Pms2,Pms2,Pms2,ENSMUSG00000079109,MGI:104288,18861,-0.183586449633608,0.118064911418517,0.338045320265571,FALSE,,"",1,1,1,1,6
Bone marrow,"Bone marrow
骨髓",2,FA,FA,8,60,1,FANCA,reviewed teacher label/alias -> official mouse symbol,Fanca,Fanca,Fanca,ENSMUSG00000032815,MGI:1341823,14087,-0.235571312424324,0.0211743226616418,0.109209907421531,TRUE,-0.235571312424324,-0.24,1,1,1,1,6
Bone marrow,"Bone marrow
骨髓",2,FA,FA,8,61,2,FANCB,reviewed teacher label/alias -> official mouse symbol,Fancb,Fancb,Fancb,ENSMUSG00000047757,MGI:2448558,237211,0.111202245869709,0.416211172988526,0.686985430404876,FALSE,,"",1,1,1,1,6
Bone marrow,"Bone marrow
骨髓",2,FA,FA,8,62,3,FANCC,reviewed teacher label/alias -> official mouse symbol,Fancc,Fancc,Fancc,ENSMUSG00000021461,MGI:95480,14088,-0.259752307121629,0.0107012120327953,0.0671207218709978,TRUE,-0.259752307121629,-0.26,1,1,1,1,6
Bone marrow,"Bone marrow
骨髓",2,FA,FA,8,63,4,FANCE,reviewed teacher label/alias -> official mouse symbol,Fance,Fance,Fance,ENSMUSG00000007570,MGI:1920025,72775,0.132616747413135,0.403565269830586,0.676869168230316,FALSE,,"",1,1,1,1,6
Bone marrow,"Bone marrow
骨髓",2,FA,FA,8,64,5,FANCF,reviewed teacher label/alias -> official mouse symbol,Fancf,Fancf,Fancf,ENSMUSG00000092118,MGI:3689889,100040608,0.209594716519639,0.111823526001045,0.327924029379426,FALSE,,"",1,1,1,1,6
Bone marrow,"Bone marrow
骨髓",2,FA,FA,8,65,6,FANCG,reviewed teacher label/alias -> official mouse symbol,Fancg,Fancg,Fancg,ENSMUSG00000028453,MGI:1926471,60534,-0.106851202759503,0.382281479991238,0.658857973342316,FALSE,,"",1,1,1,1,6
Bone marrow,"Bone marrow
骨髓",2,FA,FA,8,66,7,FANCL,reviewed teacher label/alias -> official mouse symbol,Fancl,Fancl,Fancl,ENSMUSG00000004018,MGI:1914280,67030,-0.00401599017088072,0.977834191094162,0.990986563660351,FALSE,,"",1,1,1,1,6
Bone marrow,"Bone marrow
骨髓",2,FA,FA,8,67,8,FANCT,reviewed teacher label/alias -> official mouse symbol,Ube2t,Ube2t,Ube2t,ENSMUSG00000026429,MGI:1914446,67196,-0.213526064661542,0.0791915806153248,0.264202680083179,FALSE,,"",1,1,1,1,6
Bone marrow,"Bone marrow
骨髓",2,FA,FA,8,68,9,FANCM,reviewed teacher label/alias -> official mouse symbol,Fancm,Fancm,Fancm,ENSMUSG00000055884,MGI:2442306,104806,0.0382151293753768,0.814288681256283,0.930174629658745,FALSE,,"",1,1,1,1,6
Bone marrow,"Bone marrow
骨髓",2,FA,FA,8,69,10,MHF1,reviewed teacher label/alias -> official mouse symbol,Ciao1,Ciao1,Ciao1,ENSMUSG00000003662,MGI:1346998,26371,-0.0222943873621395,0.901670511725356,0.968850003555722,FALSE,,"",1,1,1,1,6
Bone marrow,"Bone marrow
骨髓",2,FA,FA,8,70,11,MHF2,reviewed teacher label/alias -> official mouse symbol,Ciao2b,Ciao2b,Ciao2b,ENSMUSG00000031879,MGI:1915773,68523,0.0550075568427373,0.624030603839158,0.835934532197526,FALSE,,"",1,1,1,1,6
Bone marrow,"Bone marrow
骨髓",2,FA,FA,8,71,12,FAAP100,reviewed teacher label/alias -> official mouse symbol,Faap100,Faap100,Faap100,ENSMUSG00000025384,MGI:1919135,71885,0.0245993651382459,0.891608188360834,0.965784092134088,FALSE,,"",1,1,1,1,6
Bone marrow,"Bone marrow
骨髓",2,FA,FA,8,72,13,FAAP20,reviewed teacher label/alias -> official mouse symbol,Faap20,Faap20,Faap20,ENSMUSG00000073684,MGI:1914763,67513,0.223827790195205,0.0651018159681147,0.23378259144893,FALSE,,"",1,1,1,1,6
Bone marrow,"Bone marrow
骨髓",2,FA,FA,8,73,14,FAAP24,reviewed teacher label/alias -> official mouse symbol,Faap24,Faap24,Faap24,ENSMUSG00000030493,MGI:2142208,101831,-0.14859309847018,0.153309776996695,0.395939313547345,FALSE,,"",1,1,1,1,6
Bone marrow,"Bone marrow
骨髓",2,FA,FA,8,74,15,FANCD2,reviewed teacher label/alias -> official mouse symbol,Fancd2,Fancd2,Fancd2,ENSMUSG00000034023,MGI:2448480,211651,-0.49437965527098,0.00053967013605493,0.00716016576805209,TRUE,-0.49437965527098,-0.49,1,1,1,1,6
Bone marrow,"Bone marrow
骨髓",2,FA,FA,8,75,16,FANCI,reviewed teacher label/alias -> official mouse symbol,Fanci,Fanci,Fanci,ENSMUSG00000039187,MGI:2384790,208836,-0.259037817851165,0.00778942094264251,0.0526965257271827,TRUE,-0.259037817851165,-0.26,1,1,1,1,6
Cecum,"Cecum
盲肠",3,BER,BER,5,30,1,UNG,reviewed teacher label/alias -> official mouse symbol,Ung,Ung,Ung,ENSMUSG00000029591,MGI:109352,22256,0.50416790034012,0.0893922254683879,1,FALSE,,"",1,1,1,1,5
Cecum,"Cecum
盲肠",3,BER,BER,5,31,2,OGG1,reviewed teacher label/alias -> official mouse symbol,Ogg1,Ogg1,Ogg1,ENSMUSG00000030271,MGI:1097693,18294,0.22788474799003,0.319730646587258,1,FALSE,,"",1,1,1,1,5
