figure,component_n,merge_index,left_child,right_child,height,ordered_tissues
DSB,29,11,-10,5,0.0495073891625618,Bone marrow|Spleen-distal|Cerebellum|Eye|Retina|Heart|Heart / Heart right ventricle|Soleus|Gastrocnemius|Quadriceps femoris|Tibialis anterior|Extensor digitorum longus|Kidney|Left lobe of the liver|Liver|Optic nerve|Lung|Adrenal gland|Mammary gland|Thymus|Spleen|Cecum|Colon|Dorsal skin|Femoral lateral skin|Femoral skin
DSB,29,12,-7,-18,0.0541871921182269,Bone marrow|Spleen-distal|Cerebellum|Eye|Retina|Heart|Heart / Heart right ventricle|Soleus|Gastrocnemius|Quadriceps femoris|Tibialis anterior|Extensor digitorum longus|Kidney|Left lobe of the liver|Liver|Optic nerve|Lung|Adrenal gland|Mammary gland|Thymus|Spleen|Cecum|Colon|Dorsal skin|Femoral lateral skin|Femoral skin
DSB,29,13,-20,8,0.0569786535303779,Bone marrow|Spleen-distal|Cerebellum|Eye|Retina|Heart|Heart / Heart right ventricle|Soleus|Gastrocnemius|Quadriceps femoris|Tibialis anterior|Extensor digitorum longus|Kidney|Left lobe of the liver|Liver|Optic nerve|Lung|Adrenal gland|Mammary gland|Thymus|Spleen|Cecum|Colon|Dorsal skin|Femoral lateral skin|Femoral skin
DSB,29,14,-3,10,0.0610837438423647,Bone marrow|Spleen-distal|Cerebellum|Eye|Retina|Heart|Heart / Heart right ventricle|Soleus|Gastrocnemius|Quadriceps femoris|Tibialis anterior|Extensor digitorum longus|Kidney|Left lobe of the liver|Liver|Optic nerve|Lung|Adrenal gland|Mammary gland|Thymus|Spleen|Cecum|Colon|Dorsal skin|Femoral lateral skin|Femoral skin
DSB,29,15,6,9,0.0651231527093598,Bone marrow|Spleen-distal|Cerebellum|Eye|Retina|Heart|Heart / Heart right ventricle|Soleus|Gastrocnemius|Quadriceps femoris|Tibialis anterior|Extensor digitorum longus|Kidney|Left lobe of the liver|Liver|Optic nerve|Lung|Adrenal gland|Mammary gland|Thymus|Spleen|Cecum|Colon|Dorsal skin|Femoral lateral skin|Femoral skin
DSB,29,16,11,14,0.0954844006568146,Bone marrow|Spleen-distal|Cerebellum|Eye|Retina|Heart|Heart / Heart right ventricle|Soleus|Gastrocnemius|Quadriceps femoris|Tibialis anterior|Extensor digitorum longus|Kidney|Left lobe of the liver|Liver|Optic nerve|Lung|Adrenal gland|Mammary gland|Thymus|Spleen|Cecum|Colon|Dorsal skin|Femoral lateral skin|Femoral skin
DSB,29,17,15,16,0.125374484769277,Bone marrow|Spleen-distal|Cerebellum|Eye|Retina|Heart|Heart / Heart right ventricle|Soleus|Gastrocnemius|Quadriceps femoris|Tibialis anterior|Extensor digitorum longus|Kidney|Left lobe of the liver|Liver|Optic nerve|Lung|Adrenal gland|Mammary gland|Thymus|Spleen|Cecum|Colon|Dorsal skin|Femoral lateral skin|Femoral skin
DSB,29,18,-25,13,0.138300492610838,Bone marrow|Spleen-distal|Cerebellum|Eye|Retina|Heart|Heart / Heart right ventricle|Soleus|Gastrocnemius|Quadriceps femoris|Tibialis anterior|Extensor digitorum longus|Kidney|Left lobe of the liver|Liver|Optic nerve|Lung|Adrenal gland|Mammary gland|Thymus|Spleen|Cecum|Colon|Dorsal skin|Femoral lateral skin|Femoral skin
DSB,29,19,12,17,0.155893736805067,Bone marrow|Spleen-distal|Cerebellum|Eye|Retina|Heart|Heart / Heart right ventricle|Soleus|Gastrocnemius|Quadriceps femoris|Tibialis anterior|Extensor digitorum longus|Kidney|Left lobe of the liver|Liver|Optic nerve|Lung|Adrenal gland|Mammary gland|Thymus|Spleen|Cecum|Colon|Dorsal skin|Femoral lateral skin|Femoral skin
DSB,29,20,-4,18,0.158620689655173,Bone marrow|Spleen-distal|Cerebellum|Eye|Retina|Heart|Heart / Heart right ventricle|Soleus|Gastrocnemius|Quadriceps femoris|Tibialis anterior|Extensor digitorum longus|Kidney|Left lobe of the liver|Liver|Optic nerve|Lung|Adrenal gland|Mammary gland|Thymus|Spleen|Cecum|Colon|Dorsal skin|Femoral lateral skin|Femoral skin
DSB,29,21,-5,19,0.176724137931035,Bone marrow|Spleen-distal|Cerebellum|Eye|Retina|Heart|Heart / Heart right ventricle|Soleus|Gastrocnemius|Quadriceps femoris|Tibialis anterior|Extensor digitorum longus|Kidney|Left lobe of the liver|Liver|Optic nerve|Lung|Adrenal gland|Mammary gland|Thymus|Spleen|Cecum|Colon|Dorsal skin|Femoral lateral skin|Femoral skin
DSB,29,22,-26,20,0.181773399014779,Bone marrow|Spleen-distal|Cerebellum|Eye|Retina|Heart|Heart / Heart right ventricle|Soleus|Gastrocnemius|Quadriceps femoris|Tibialis anterior|Extensor digitorum longus|Kidney|Left lobe of the liver|Liver|Optic nerve|Lung|Adrenal gland|Mammary gland|Thymus|Spleen|Cecum|Colon|Dorsal skin|Femoral lateral skin|Femoral skin
DSB,29,23,21,22,0.254058864925281,Bone marrow|Spleen-distal|Cerebellum|Eye|Retina|Heart|Heart / Heart right ventricle|Soleus|Gastrocnemius|Quadriceps femoris|Tibialis anterior|Extensor digitorum longus|Kidney|Left lobe of the liver|Liver|Optic nerve|Lung|Adrenal gland|Mammary gland|Thymus|Spleen|Cecum|Colon|Dorsal skin|Femoral lateral skin|Femoral skin
DSB,29,24,-22,23,0.322680623973728,Bone marrow|Spleen-distal|Cerebellum|Eye|Retina|Heart|Heart / Heart right ventricle|Soleus|Gastrocnemius|Quadriceps femoris|Tibialis anterior|Extensor digitorum longus|Kidney|Left lobe of the liver|Liver|Optic nerve|Lung|Adrenal gland|Mammary gland|Thymus|Spleen|Cecum|Colon|Dorsal skin|Femoral lateral skin|Femoral skin
DSB,29,25,-24,24,0.831802955665025,Bone marrow|Spleen-distal|Cerebellum|Eye|Retina|Heart|Heart / Heart right ventricle|Soleus|Gastrocnemius|Quadriceps femoris|Tibialis anterior|Extensor digitorum longus|Kidney|Left lobe of the liver|Liver|Optic nerve|Lung|Adrenal gland|Mammary gland|Thymus|Spleen|Cecum|Colon|Dorsal skin|Femoral lateral skin|Femoral skin
SSB,45,1,-6,-17,0.0210803689064559,Bone marrow|Spleen|Thymus|Heart|Heart / Heart right ventricle|Gastrocnemius|Tibialis anterior|Quadriceps femoris|Extensor digitorum longus|Soleus|Left lobe of the liver|Liver|Kidney|Adrenal gland|Mammary gland|Lung|Cecum|Optic nerve|Eye|Retina|Colon|Dorsal skin|Femoral lateral skin|Femoral skin|Cerebellum|Spleen-distal
SSB,45,2,-12,-16,0.0259552042160739,Bone marrow|Spleen|Thymus|Heart|Heart / Heart right ventricle|Gastrocnemius|Tibialis anterior|Quadriceps femoris|Extensor digitorum longus|Soleus|Left lobe of the liver|Liver|Kidney|Adrenal gland|Mammary gland|Lung|Cecum|Optic nerve|Eye|Retina|Colon|Dorsal skin|Femoral lateral skin|Femoral skin|Cerebellum|Spleen-distal
SSB,45,3,-9,-23,0.0306982872200264,Bone marrow|Spleen|Thymus|Heart|Heart / Heart right ventricle|Gastrocnemius|Tibialis anterior|Quadriceps femoris|Extensor digitorum longus|Soleus|Left lobe of the liver|Liver|Kidney|Adrenal gland|Mammary gland|Lung|Cecum|Optic nerve|Eye|Retina|Colon|Dorsal skin|Femoral lateral skin|Femoral skin|Cerebellum|Spleen-distal
SSB,45,4,-7,-18,0.0313570487483532,Bone marrow|Spleen|Thymus|Heart|Heart / Heart right ventricle|Gastrocnemius|Tibialis anterior|Quadriceps femoris|Extensor digitorum longus|Soleus|Left lobe of the liver|Liver|Kidney|Adrenal gland|Mammary gland|Lung|Cecum|Optic nerve|Eye|Retina|Colon|Dorsal skin|Femoral lateral skin|Femoral skin|Cerebellum|Spleen-distal
SSB,45,5,-13,-15,0.0341238471673255,Bone marrow|Spleen|Thymus|Heart|Heart / Heart right ventricle|Gastrocnemius|Tibialis anterior|Quadriceps femoris|Extensor digitorum longus|Soleus|Left lobe of the liver|Liver|Kidney|Adrenal gland|Mammary gland|Lung|Cecum|Optic nerve|Eye|Retina|Colon|Dorsal skin|Femoral lateral skin|Femoral skin|Cerebellum|Spleen-distal
SSB,45,6,-1,2,0.0349143610013177,Bone marrow|Spleen|Thymus|Heart|Heart / Heart right ventricle|Gastrocnemius|Tibialis anterior|Quadriceps femoris|Extensor digitorum longus|Soleus|Left lobe of the liver|Liver|Kidney|Adrenal gland|Mammary gland|Lung|Cecum|Optic nerve|Eye|Retina|Colon|Dorsal skin|Femoral lateral skin|Femoral skin|Cerebellum|Spleen-distal
SSB,45,7,-11,3,0.0434782608695654,Bone marrow|Spleen|Thymus|Heart|Heart / Heart right ventricle|Gastrocnemius|Tibialis anterior|Quadriceps femoris|Extensor digitorum longus|Soleus|Left lobe of the liver|Liver|Kidney|Adrenal gland|Mammary gland|Lung|Cecum|Optic nerve|Eye|Retina|Colon|Dorsal skin|Femoral lateral skin|Femoral skin|Cerebellum|Spleen-distal
SSB,45,8,-8,-21,0.0469038208168645,Bone marrow|Spleen|Thymus|Heart|Heart / Heart right ventricle|Gastrocnemius|Tibialis anterior|Quadriceps femoris|Extensor digitorum longus|Soleus|Left lobe of the liver|Liver|Kidney|Adrenal gland|Mammary gland|Lung|Cecum|Optic nerve|Eye|Retina|Colon|Dorsal skin|Femoral lateral skin|Femoral skin|Cerebellum|Spleen-distal
SSB,45,9,-2,6,0.0513394817742645,Bone marrow|Spleen|Thymus|Heart|Heart / Heart right ventricle|Gastrocnemius|Tibialis anterior|Quadriceps femoris|Extensor digitorum longus|Soleus|Left lobe of the liver|Liver|Kidney|Adrenal gland|Mammary gland|Lung|Cecum|Optic nerve|Eye|Retina|Colon|Dorsal skin|Femoral lateral skin|Femoral skin|Cerebellum|Spleen-distal
SSB,45,10,-3,4,0.0570487483530963,Bone marrow|Spleen|Thymus|Heart|Heart / Heart right ventricle|Gastrocnemius|Tibialis anterior|Quadriceps femoris|Extensor digitorum longus|Soleus|Left lobe of the liver|Liver|Kidney|Adrenal gland|Mammary gland|Lung|Cecum|Optic nerve|Eye|Retina|Colon|Dorsal skin|Femoral lateral skin|Femoral skin|Cerebellum|Spleen-distal
SSB,45,11,-10,5,0.0573781291172597,Bone marrow|Spleen|Thymus|Heart|Heart / Heart right ventricle|Gastrocnemius|Tibialis anterior|Quadriceps femoris|Extensor digitorum longus|Soleus|Left lobe of the liver|Liver|Kidney|Adrenal gland|Mammary gland|Lung|Cecum|Optic nerve|Eye|Retina|Colon|Dorsal skin|Femoral lateral skin|Femoral skin|Cerebellum|Spleen-distal
SSB,45,12,-20,7,0.0632411067193677,Bone marrow|Spleen|Thymus|Heart|Heart / Heart right ventricle|Gastrocnemius|Tibialis anterior|Quadriceps femoris|Extensor digitorum longus|Soleus|Left lobe of the liver|Liver|Kidney|Adrenal gland|Mammary gland|Lung|Cecum|Optic nerve|Eye|Retina|Colon|Dorsal skin|Femoral lateral skin|Femoral skin|Cerebellum|Spleen-distal
SSB,45,13,-19,9,0.0761857707509883,Bone marrow|Spleen|Thymus|Heart|Heart / Heart right ventricle|Gastrocnemius|Tibialis anterior|Quadriceps femoris|Extensor digitorum longus|Soleus|Left lobe of the liver|Liver|Kidney|Adrenal gland|Mammary gland|Lung|Cecum|Optic nerve|Eye|Retina|Colon|Dorsal skin|Femoral lateral skin|Femoral skin|Cerebellum|Spleen-distal
SSB,45,14,1,11,0.0805006587615285,Bone marrow|Spleen|Thymus|Heart|Heart / Heart right ventricle|Gastrocnemius|Tibialis anterior|Quadriceps femoris|Extensor digitorum longus|Soleus|Left lobe of the liver|Liver|Kidney|Adrenal gland|Mammary gland|Lung|Cecum|Optic nerve|Eye|Retina|Colon|Dorsal skin|Femoral lateral skin|Femoral skin|Cerebellum|Spleen-distal
SSB,45,15,8,13,0.0877206851119896,Bone marrow|Spleen|Thymus|Heart|Heart / Heart right ventricle|Gastrocnemius|Tibialis anterior|Quadriceps femoris|Extensor digitorum longus|Soleus|Left lobe of the liver|Liver|Kidney|Adrenal gland|Mammary gland|Lung|Cecum|Optic nerve|Eye|Retina|Colon|Dorsal skin|Femoral lateral skin|Femoral skin|Cerebellum|Spleen-distal
SSB,45,16,10,12,0.0931818181818183,Bone marrow|Spleen|Thymus|Heart|Heart / Heart right ventricle|Gastrocnemius|Tibialis anterior|Quadriceps femoris|Extensor digitorum longus|Soleus|Left lobe of the liver|Liver|Kidney|Adrenal gland|Mammary gland|Lung|Cecum|Optic nerve|Eye|Retina|Colon|Dorsal skin|Femoral lateral skin|Femoral skin|Cerebellum|Spleen-distal
SSB,45,17,-25,16,0.0955015998494261,Bone marrow|Spleen|Thymus|Heart|Heart / Heart right ventricle|Gastrocnemius|Tibialis anterior|Quadriceps femoris|Extensor digitorum longus|Soleus|Left lobe of the liver|Liver|Kidney|Adrenal gland|Mammary gland|Lung|Cecum|Optic nerve|Eye|Retina|Colon|Dorsal skin|Femoral lateral skin|Femoral skin|Cerebellum|Spleen-distal
SSB,45,18,-14,17,0.126070487483531,Bone marrow|Spleen|Thymus|Heart|Heart / Heart right ventricle|Gastrocnemius|Tibialis anterior|Quadriceps femoris|Extensor digitorum longus|Soleus|Left lobe of the liver|Liver|Kidney|Adrenal gland|Mammary gland|Lung|Cecum|Optic nerve|Eye|Retina|Colon|Dorsal skin|Femoral lateral skin|Femoral skin|Cerebellum|Spleen-distal
SSB,45,19,14,18,0.144751866490997,Bone marrow|Spleen|Thymus|Heart|Heart / Heart right ventricle|Gastrocnemius|Tibialis anterior|Quadriceps femoris|Extensor digitorum longus|Soleus|Left lobe of the liver|Liver|Kidney|Adrenal gland|Mammary gland|Lung|Cecum|Optic nerve|Eye|Retina|Colon|Dorsal skin|Femoral lateral skin|Femoral skin|Cerebellum|Spleen-distal
SSB,45,20,-4,-26,0.183399209486166,Bone marrow|Spleen|Thymus|Heart|Heart / Heart right ventricle|Gastrocnemius|Tibialis anterior|Quadriceps femoris|Extensor digitorum longus|Soleus|Left lobe of the liver|Liver|Kidney|Adrenal gland|Mammary gland|Lung|Cecum|Optic nerve|Eye|Retina|Colon|Dorsal skin|Femoral lateral skin|Femoral skin|Cerebellum|Spleen-distal
SSB,45,21,15,19,0.187085585222231,Bone marrow|Spleen|Thymus|Heart|Heart / Heart right ventricle|Gastrocnemius|Tibialis anterior|Quadriceps femoris|Extensor digitorum longus|Soleus|Left lobe of the liver|Liver|Kidney|Adrenal gland|Mammary gland|Lung|Cecum|Optic nerve|Eye|Retina|Colon|Dorsal skin|Femoral lateral skin|Femoral skin|Cerebellum|Spleen-distal
SSB,45,22,20,21,0.244664031620553,Bone marrow|Spleen|Thymus|Heart|Heart / Heart right ventricle|Gastrocnemius|Tibialis anterior|Quadriceps femoris|Extensor digitorum longus|Soleus|Left lobe of the liver|Liver|Kidney|Adrenal gland|Mammary gland|Lung|Cecum|Optic nerve|Eye|Retina|Colon|Dorsal skin|Femoral lateral skin|Femoral skin|Cerebellum|Spleen-distal
SSB,45,23,-5,-22,0.263768115942029,Bone marrow|Spleen|Thymus|Heart|Heart / Heart right ventricle|Gastrocnemius|Tibialis anterior|Quadriceps femoris|Extensor digitorum longus|Soleus|Left lobe of the liver|Liver|Kidney|Adrenal gland|Mammary gland|Lung|Cecum|Optic nerve|Eye|Retina|Colon|Dorsal skin|Femoral lateral skin|Femoral skin|Cerebellum|Spleen-distal
SSB,45,24,22,23,0.294864524259609,Bone marrow|Spleen|Thymus|Heart|Heart / Heart right ventricle|Gastrocnemius|Tibialis anterior|Quadriceps femoris|Extensor digitorum longus|Soleus|Left lobe of the liver|Liver|Kidney|Adrenal gland|Mammary gland|Lung|Cecum|Optic nerve|Eye|Retina|Colon|Dorsal skin|Femoral lateral skin|Femoral skin|Cerebellum|Spleen-distal
SSB,45,25,-24,24,0.49206324110672,Bone marrow|Spleen|Thymus|Heart|Heart / Heart right ventricle|Gastrocnemius|Tibialis anterior|Quadriceps femoris|Extensor digitorum longus|Soleus|Left lobe of the liver|Liver|Kidney|Adrenal gland|Mammary gland|Lung|Cecum|Optic nerve|Eye|Retina|Colon|Dorsal skin|Femoral lateral skin|Femoral skin|Cerebellum|Spleen-distal
