analysis_tissue,pathway_1_key,pathway_2_key,fisher_z,z_capped
Soleus,DNA_damage_response_GO0006974,DNA_damage_tolerance_GO0006301,0.9595275308760685,False
Spleen,DNA_damage_response_GO0006974,DNA_damage_tolerance_GO0006301,1.1989476363991853,False
Spleen-distal,DNA_damage_response_GO0006974,DNA_damage_tolerance_GO0006301,0.4602685113778031,False
Thymus,DNA_damage_response_GO0006974,DNA_damage_tolerance_GO0006301,1.5109902498144636,False
Tibialis anterior,DNA_damage_response_GO0006974,DNA_damage_tolerance_GO0006301,0.5273245826234969,False
Adrenal gland,DNA_damage_response_GO0006974,telomere_maintenance_GO0043247,0.4262681085243963,False
Bone marrow,DNA_damage_response_GO0006974,telomere_maintenance_GO0043247,0.8958797346140275,False
Cecum,DNA_damage_response_GO0006974,telomere_maintenance_GO0043247,1.4722194895832204,False
Cerebellum,DNA_damage_response_GO0006974,telomere_maintenance_GO0043247,0.8673005276940532,False
Dorsal skin,DNA_damage_response_GO0006974,telomere_maintenance_GO0043247,1.418139872899247,False
Extensor digitorum longus,DNA_damage_response_GO0006974,telomere_maintenance_GO0043247,-0.5165075030911482,False
Eye,DNA_damage_response_GO0006974,telomere_maintenance_GO0043247,0.14649356234073704,False
Femoral lateral skin,DNA_damage_response_GO0006974,telomere_maintenance_GO0043247,1.683647914993237,False
Gastrocnemius,DNA_damage_response_GO0006974,telomere_maintenance_GO0043247,0.31953997964483477,False
Heart / Heart right ventricle,DNA_damage_response_GO0006974,telomere_maintenance_GO0043247,0.1901374296398029,False
Kidney,DNA_damage_response_GO0006974,telomere_maintenance_GO0043247,0.12100563450202145,False
Left lobe of the liver,DNA_damage_response_GO0006974,telomere_maintenance_GO0043247,0.08980587201276573,False
Liver,DNA_damage_response_GO0006974,telomere_maintenance_GO0043247,-0.1972560480444836,False
Lung,DNA_damage_response_GO0006974,telomere_maintenance_GO0043247,0.23036389339160693,False
Mammary gland,DNA_damage_response_GO0006974,telomere_maintenance_GO0043247,0.6205561756376964,False
Optic nerve,DNA_damage_response_GO0006974,telomere_maintenance_GO0043247,0.8673005276940532,False
Quadriceps femoris,DNA_damage_response_GO0006974,telomere_maintenance_GO0043247,0.746962512656128,False
Retina,DNA_damage_response_GO0006974,telomere_maintenance_GO0043247,0.2714324887553036,False
Soleus,DNA_damage_response_GO0006974,telomere_maintenance_GO0043247,0.48076045326186667,False
Spleen,DNA_damage_response_GO0006974,telomere_maintenance_GO0043247,0.40396134757618674,False
Spleen-distal,DNA_damage_response_GO0006974,telomere_maintenance_GO0043247,0.40218640783508486,False
Thymus,DNA_damage_response_GO0006974,telomere_maintenance_GO0043247,0.9662133993590132,False
Tibialis anterior,DNA_damage_response_GO0006974,telomere_maintenance_GO0043247,-0.16823611831060645,False
Adrenal gland,DNA_damage_response_GO0006974,telomere_region_GO0000781,1.104747334964017,False
Bone marrow,DNA_damage_response_GO0006974,telomere_region_GO0000781,0.6931471805599453,False
Cecum,DNA_damage_response_GO0006974,telomere_region_GO0000781,5.0,True
Cerebellum,DNA_damage_response_GO0006974,telomere_region_GO0000781,0.0835270423315831,False
Dorsal skin,DNA_damage_response_GO0006974,telomere_region_GO0000781,1.5855618978416381,False
Extensor digitorum longus,DNA_damage_response_GO0006974,telomere_region_GO0000781,-0.1365568283117452,False
Eye,DNA_damage_response_GO0006974,telomere_region_GO0000781,1.3838847179019163,False
Femoral lateral skin,DNA_damage_response_GO0006974,telomere_region_GO0000781,2.389561746555763,False
Gastrocnemius,DNA_damage_response_GO0006974,telomere_region_GO0000781,1.638572366496088,False
Heart / Heart right ventricle,DNA_damage_response_GO0006974,telomere_region_GO0000781,1.151292546497023,False
Kidney,DNA_damage_response_GO0006974,telomere_region_GO0000781,0.8764126566436152,False
Left lobe of the liver,DNA_damage_response_GO0006974,telomere_region_GO0000781,0.542373624265469,False
Liver,DNA_damage_response_GO0006974,telomere_region_GO0000781,1.2657133327114465,False
Lung,DNA_damage_response_GO0006974,telomere_region_GO0000781,0.2536553408292731,False
Mammary gland,DNA_damage_response_GO0006974,telomere_region_GO0000781,0.638146732952781,False
Optic nerve,DNA_damage_response_GO0006974,telomere_region_GO0000781,1.4722194895832204,False
Quadriceps femoris,DNA_damage_response_GO0006974,telomere_region_GO0000781,0.5493061443340549,False
Retina,DNA_damage_response_GO0006974,telomere_region_GO0000781,0.5188357960061238,False
Soleus,DNA_damage_response_GO0006974,telomere_region_GO0000781,1.0124412787147008,False
Spleen,DNA_damage_response_GO0006974,telomere_region_GO0000781,2.03876872195286,False
Spleen-distal,DNA_damage_response_GO0006974,telomere_region_GO0000781,0.7123066127110135,False
Thymus,DNA_damage_response_GO0006974,telomere_region_GO0000781,1.5698132266070304,False
Tibialis anterior,DNA_damage_response_GO0006974,telomere_region_GO0000781,0.40396134757618674,False
Adrenal gland,DNA_damage_response_GO0006974,cell_cycle_GO0007049,1.3254458936311309,False
Bone marrow,DNA_damage_response_GO0006974,cell_cycle_GO0007049,1.1835618070658085,False
Cecum,DNA_damage_response_GO0006974,cell_cycle_GO0007049,1.4722194895832204,False
Cerebellum,DNA_damage_response_GO0006974,cell_cycle_GO0007049,1.1467263047153866,False
Dorsal skin,DNA_damage_response_GO0006974,cell_cycle_GO0007049,2.5014135558242208,False
Extensor digitorum longus,DNA_damage_response_GO0006974,cell_cycle_GO0007049,1.1722746460465387,False
Eye,DNA_damage_response_GO0006974,cell_cycle_GO0007049,1.994492023282137,False
Femoral lateral skin,DNA_damage_response_GO0006974,cell_cycle_GO0007049,2.03876872195286,False
Gastrocnemius,DNA_damage_response_GO0006974,cell_cycle_GO0007049,1.3195286648076294,False
Heart / Heart right ventricle,DNA_damage_response_GO0006974,cell_cycle_GO0007049,1.0195838212709478,False
Kidney,DNA_damage_response_GO0006974,cell_cycle_GO0007049,1.4148904232034458,False
Left lobe of the liver,DNA_damage_response_GO0006974,cell_cycle_GO0007049,1.1489059071206942,False
Liver,DNA_damage_response_GO0006974,cell_cycle_GO0007049,1.298759643073481,False
Lung,DNA_damage_response_GO0006974,cell_cycle_GO0007049,0.7210874097571737,False
Mammary gland,DNA_damage_response_GO0006974,cell_cycle_GO0007049,1.151292546497023,False
Optic nerve,DNA_damage_response_GO0006974,cell_cycle_GO0007049,1.4722194895832204,False
Quadriceps femoris,DNA_damage_response_GO0006974,cell_cycle_GO0007049,1.1989476363991853,False
Retina,DNA_damage_response_GO0006974,cell_cycle_GO0007049,0.5243813700098167,False
Soleus,DNA_damage_response_GO0006974,cell_cycle_GO0007049,0.8140650227231264,False
Spleen,DNA_damage_response_GO0006974,cell_cycle_GO0007049,1.683647914993237,False
Spleen-distal,DNA_damage_response_GO0006974,cell_cycle_GO0007049,1.994492023282137,False
Thymus,DNA_damage_response_GO0006974,cell_cycle_GO0007049,1.533768002841487,False
Tibialis anterior,DNA_damage_response_GO0006974,cell_cycle_GO0007049,0.8673005276940532,False
Adrenal gland,DNA_damage_response_GO0006974,DNA_replication_GO0006260,1.4440271298779013,False
Bone marrow,DNA_damage_response_GO0006974,DNA_replication_GO0006260,1.023846421682628,False
Cecum,DNA_damage_response_GO0006974,DNA_replication_GO0006260,1.4722194895832204,False
Cerebellum,DNA_damage_response_GO0006974,DNA_replication_GO0006260,1.2561528119880574,False
Dorsal skin,DNA_damage_response_GO0006974,DNA_replication_GO0006260,1.72241777546108,False
Extensor digitorum longus,DNA_damage_response_GO0006974,DNA_replication_GO0006260,0.9894855056581007,False
Eye,DNA_damage_response_GO0006974,DNA_replication_GO0006260,1.4722194895832204,False
Femoral lateral skin,DNA_damage_response_GO0006974,DNA_replication_GO0006260,5.0,True
Gastrocnemius,DNA_damage_response_GO0006974,DNA_replication_GO0006260,1.2294655816923699,False
Heart / Heart right ventricle,DNA_damage_response_GO0006974,DNA_replication_GO0006260,1.1156787918528388,False
Kidney,DNA_damage_response_GO0006974,DNA_replication_GO0006260,1.001772753496724,False
Left lobe of the liver,DNA_damage_response_GO0006974,DNA_replication_GO0006260,0.8291140383017662,False
Liver,DNA_damage_response_GO0006974,DNA_replication_GO0006260,1.6570930023362629,False
Lung,DNA_damage_response_GO0006974,DNA_replication_GO0006260,0.981804863077357,False
Mammary gland,DNA_damage_response_GO0006974,DNA_replication_GO0006260,1.7328679513998637,False
Optic nerve,DNA_damage_response_GO0006974,DNA_replication_GO0006260,5.0,True
Quadriceps femoris,DNA_damage_response_GO0006974,DNA_replication_GO0006260,0.6675005333661701,False
Retina,DNA_damage_response_GO0006974,DNA_replication_GO0006260,1.158384863993001,False
Soleus,DNA_damage_response_GO0006974,DNA_replication_GO0006260,0.8727850433793402,False
Spleen,DNA_damage_response_GO0006974,DNA_replication_GO0006260,1.683647914993237,False
Spleen-distal,DNA_damage_response_GO0006974,DNA_replication_GO0006260,1.189111253599833,False
Thymus,DNA_damage_response_GO0006974,DNA_replication_GO0006260,2.1333479733481036,False
Tibialis anterior,DNA_damage_response_GO0006974,DNA_replication_GO0006260,0.5493061443340549,False
Adrenal gland,DNA_damage_response_GO0006974,DNA_templated_transcription_GO0006351,0.5304359803426314,False
Bone marrow,DNA_damage_response_GO0006974,DNA_templated_transcription_GO0006351,0.5304359803426314,False
Cecum,DNA_damage_response_GO0006974,DNA_templated_transcription_GO0006351,1.0986122886681098,False
Cerebellum,DNA_damage_response_GO0006974,DNA_templated_transcription_GO0006351,1.0539397385001847,False
Dorsal skin,DNA_damage_response_GO0006974,DNA_templated_transcription_GO0006351,1.3334000163684174,False
Extensor digitorum longus,DNA_damage_response_GO0006974,DNA_templated_transcription_GO0006351,0.6765710769014951,False
Eye,DNA_damage_response_GO0006974,DNA_templated_transcription_GO0006351,0.7992841200985984,False
Femoral lateral skin,DNA_damage_response_GO0006974,DNA_templated_transcription_GO0006351,0.36544375427139614,False
Gastrocnemius,DNA_damage_response_GO0006974,DNA_templated_transcription_GO0006351,1.3704200119626004,False
Heart / Heart right ventricle,DNA_damage_response_GO0006974,DNA_templated_transcription_GO0006351,0.6931471805599453,False
Kidney,DNA_damage_response_GO0006974,DNA_templated_transcription_GO0006351,1.1214734133371573,False
Left lobe of the liver,DNA_damage_response_GO0006974,DNA_templated_transcription_GO0006351,0.4215802470606211,False
Liver,DNA_damage_response_GO0006974,DNA_templated_transcription_GO0006351,0.7587682750751394,False
Lung,DNA_damage_response_GO0006974,DNA_templated_transcription_GO0006351,0.05500044760716425,False
Mammary gland,DNA_damage_response_GO0006974,DNA_templated_transcription_GO0006351,0.6033004633661028,False
Optic nerve,DNA_damage_response_GO0006974,DNA_templated_transcription_GO0006351,1.4722194895832204,False
Quadriceps femoris,DNA_damage_response_GO0006974,DNA_templated_transcription_GO0006351,0.6183813135744636,False
