accession,title,flight_program,mission_name,doi,description
OSD-241,Transcriptional analysis of femoral skin from mice flown on the RR-5 mission,International Space Station (ISS),SpaceX-11,10.26030/gfsz-c144,"The objective of the Rodent Research-5 (RR-5) study was to evaluate bone loss in mice during spaceflight and to determine if treatment with a modified version of NEL-like molecule-1 (NELL-1) can reduce or prevent bone loss that would otherwise occur during spaceflight. To this end, a cohort of forty 30-weeks-old female BALB/cAnNTac mice were flown to the ISS and housed in the Rodent Habitat. Six days after launch half of the mice were treated with NELL-1 (10 mg/kg in 0.3 ml PBS), while the other half were treated with vehicle control (0.3 ml PBS). Fourteen days after launch animals were again treated with NELL-1 or vehicle control as before, except that all animals were also injected with the bone marker, calcein green (20 mg/kg in 0.1 ml). Injections of vehicle, NELL-1, and bone markers were intraperitoneal. After all forty mice on orbit received two treatments; ten control mice and ten experimental mice were randomly selected for live animal return (LAR). At approximately 30 days after launch the twenty LAR mice were transported live back to Earth. Animals were allowed to recover for 30 days in standard habitats before euthanasia via intraperitoneal injection with ketamine/xylazine. During the recovery, the animals received another two treatments. GeneLab received RNA later preserved femoral skin from nine live animal return and ten matching ground control mice. These were from the vehicle control animals only. RNA was extracted, libraries generated (stranded, ribodepleted) and sequenced (target 60 M clusters at PE 150 bp)."
OSD-242,Effect of spaceflight on liver from mice flown on the ISS for 33 days: transcriptional analysis,International Space Station (ISS),SpaceX-12,10.26030/fmkc-8h31,"The objective of the Rodent Research-9 (RR-9) mission was to use mice to understand the molecular basis of phenomena that affect astronauts during long-duration spaceflight, particularly visual impairment and joint tissue degradation. To this end, a flight group (FLT) of 10 week-old male C57BL/6J mice were launched from Kennedy Space Center (KSC) on 8/14/2017 and housed in Rodent Habitats on the ISS for 33 days before being returned alive to Earth. After splashdown in the Pacific Ocean, the animals were transported to Loma Linda University (LLU) for testing, euthanasia and dissection on 9/18/2018. A Basal Control (BSL) was housed in standard cages at Kennedy Space Center (KSC) and euthanized one day after launch of the FLT animals (8/15/2017). Ground Control (GC) and Vivarium Control (VIV) studies were planned to commence at KSC approximately one-week after the conclusion of the flight experiments. However, all the GC and VIV mouse studies at KSC had to be cancelled due to Hurricane Irma and potential adverse effects on the animal housing facility. The GC and VIV studies were therefore rescheduled and begun in May, 2018. The GC was euthanized and dissected 6/18/2018 - 6/20/2018, while the VIV was euthanized and dissected 6/22/2018 - 6/23/2018. Because this resulted in a different cohort of mice being used for the GC and VIV controls as compared to the flight (FLT) and basal (BSL) groups, two cohort controls were included in the study. The first, Cohort Control 1 (CC_C1), was from the same cohort as the FLT and BSL animals, and was sacrificed and dissected 4 days after the FLT group (9/22/2017). The second, Cohort Control 2 (CC_C2), was from the same cohort as the GC and VIV animals, and was sacrificed and dissected 2-8 days after the GC and VIV groups, (6/24/2018 - 6/26/2018). The CC_C1 and CC_C2 groups were housed in standard cages and fed standard chow in contrast to all other groups which received Rodent Foodbars. To clarify the connections between treatment groups and animal cohorts, the following group abbreviations are used in the sample metadata: Flight (FLT_C1); Basal (BSL_C1); Ground Control (GC_C2); Vivarium Control (VIV_C2), Cohort Control 1 (CC_C1); Cohort Control 2 (CC_C2). Upon dissection, livers were preserved in liquid nitrogen and stored at -80 C before RNA was extracted, libraries generated (stranded, ribodepleted) and sequenced (target 60 M clusters at PE 150 bp)."
OSD-253,Transcriptional analysis of kidneys from mice flown on the RR-7 mission,International Space Station (ISS),SpaceX-15,10.26030/4mx6-5x80,"The objective of the Rodent Research-7 mission (RR-7) was to study the impact of the space environment on the gut microbiota of two strains of mice and how any changes in-turn affect the immune system, metabolic system, and circadian or daily rhythms. To this end, ten 11-week-old female C57BL/6J and ten 11-week-old female C3H/HeJ mice were flown to the International Space Station on June 29, 2018 on SpaceX-15 and housed in two Rodent Habitats. Samples of food, swabs from living surfaces, and fecal pellets were collected from each animal before launch and regularly during the mission. The mission also involved extended video collection (48 hr video segments per Habitat) to monitor circadian rhythms, and on-orbit mass measurement. After 25 days on-orbit, half of the mice of each strain were euthanized on the ISS with Ketamine/Xylazine/Acepromazine and cardiac puncture, after which carcasses were segmented in three sections and preserved in RNA later. After 75-76 days the remaining 5 animals from each group were euthanized and processed in the same manner. The 25-day dissected carcasses returned on SpX-15, and the 75-day dissected carcasses returned on SpX-16. In addition to the Flight group, three ground control groups were also part of the study: Basal (representing the pre-launch state), Vivarium (standard vivarium housing for the same duration of time as flight), and Ground (same habitat in the International Space Station Environment Simulator, ISSES). Twenty mice (10 of each strain) were included in each of these control groups, which were euthanized and processed on the same schedule and in the same manner as the flight samples. Dissections for tissues from all experimental groups were completed by the PI groups along with NASA's Biospecimen Sharing Program in February 2019. GeneLab received kidneys from thirty-eight C57BL/6J mice: 9 Basal, 5 Ground (25 days), 4 Ground (75 days), 5 Flight (25 days), 5 Flight (75 days), 5 Vivarium (25 days), 5 Vivarium (75 days). GeneLab received kidneys from thirty-nine C3H/HeJ mice: 9 Basal, 5 Ground (25 days), 5 Ground (75 days), 5 Flight (25 days), 5 Flight (75 days), 5 Vivarium (25 days), 5 Vivarium (75 days). From these kidneys, RNA was extracted, libraries generated (stranded, ribodepleted) and sequenced (target 60 M clusters at PE 98 bp). Since the original RR-7 experiment used different wavelengths of light in the Spaceflight (FLT) and Ground Control (GC) Habitat units (the two GC units had blue-enriched LEDs whereas the two FLT units had the standard white LEDs), the GC was repeated for RR-7 on 07/28/2021 - 07/29/2021 such that mice were exposed to either blue or white light. The GC rerun samples can be compared to the data from the original RR-7 samples to evaluate any biology impact due to exposure to different wavelengths of light."
OSD-254,Transcriptional analysis of dorsal skin from mice flown on the RR-7 mission,International Space Station (ISS),SpaceX-15,10.26030/dcq8-6c70,"The objective of the Rodent Research-7 mission (RR-7) was to study the impact of the space environment on the gut microbiota of two strains of mice and how any changes in-turn affect the immune system, metabolic system, and circadian or daily rhythms. To this end, ten 11-week-old female C57BL/6J and ten 11-week-old female C3H/HeJ mice were flown to the International Space Station on June 29, 2018 on SpaceX-15 and housed in two Rodent Habitats. Samples of food, swabs from living surfaces, and fecal pellets were collected from each animal before launch and regularly during the mission. The mission also involved extended video collection (48 hr video segments per Habitat) to monitor circadian rhythms, and on-orbit mass measurement. After 25 days on-orbit, half of the mice of each strain were euthanized on the ISS with Ketamine/Xylazine/Acepromazine and cardiac puncture, after which carcasses were segmented in three sections and preserved in RNA later. After 75-76 days the remaining 5 animals from each group were euthanized and processed in the same manner. The 25-day dissected carcasses returned on SpX-15, and the 75-day dissected carcasses returned on SpX-16. In addition to the Flight group, three ground control groups were also part of the study: Basal (representing the pre-launch state), Vivarium (standard vivarium housing for the same duration of time as flight), and Ground (same habitat in the International Space Station Environment Simulator, ISSES). Twenty mice (10 of each strain) were included in each of these control groups, which were euthanized and processed on the same schedule and in the same manner as the flight samples. Dissections for tissues from all experimental groups were completed by the PI groups along with NASA's Biospecimen Sharing Program in February 2019. GeneLab received dorsal skin samples from forty C57BL/6J mice: 10 Basal, 5 Ground (25 days), 5 Ground (75 days), 5 Flight (25 days), 5 Flight (75 days), 5 Vivarium (25 days), 5 Vivarium (75 days). GeneLab received dorsal skin samples from forty C3H/HeJ mice: 10 Basal, 5 Ground (25 days), 5 Ground (75 days), 5 Flight (25 days), 5 Flight (75 days), 5 Vivarium (25 days), 5 Vivarium (75 days). From these skin samples, RNA was extracted, libraries generated (stranded, ribodepleted) and sequenced (target 60 M clusters at PE 98 bp)."
OSD-255,"Spaceflight influences gene expression, photoreceptor integrity, and oxidative stress-related damage in the murine retina",International Space Station (ISS),SpaceX-12,10.26030/mebr-1747,The purpose of this study was to determine whether the spaceflight environment induces oxidative damage on ocular structure and how gene expression profiles change during spaceflight.
OSD-289,Impact of spaceflight on gene expression in the thymus,International Space Station (ISS),"SpaceX-9, SpaceX-12",10.26030/s0ag-yx79,"The thymus undergoes atrophy during spaceflight. In this study, we analyzed gene expression of the thymus of mice on board International space station to elucidate molecular aspects of the thymic atrophy by spaceflight."
OSD-379,Transcriptional profiling of livers from mice flown on Rodent Research Reference Mission-1 (RRRM-1),Internation Space Station (ISS),SpaceX-16,10.26030/k766-s627,"In the Rodent Research Reference Mission (RRRM-1), forty female BALB/cAnNTac mice were flown on the International Space Station. To assess differences in outcomes due to age, twenty 10-12 week-old and twenty 32 week-old mice were flown, respectively. To directly assess spaceflight effects, half of the young and old mice (10 old, 10 young) were sacrificed on-orbit after 22-23 days (ISS Terminal, ISS-T), while the other half (10 old, 10 young) were returned live to Earth after 40 days and allowed to recover for 2 days (Live Animal Return, LAR) before sacrifice. Both the ISS-T and LAR animals had independent ground controls (10 mice housed in flight hardware in matched environmental conditions), basal controls (10 mice sacrificed 1 day after launch), and vivarium controls (10 mice housed within standard vivarium habitats). Thus RRRM-1 included a total of 160 mice. This datasets features ribodepleted total RNA-seq data from livers dissected from all groups in RRRM-1. Data from 7-10 livers per group are included. All samples include either Mix 1 or Mix 2 of the ERCC spike-in control."
OSD-397,Illumina NGS RNA-seq and RRBS Sequencing on Spaceflight Mouse Retina,International Space Station (ISS),SpaceX-4,10.26030/jgp8-e115,"This study was under the umbrella of the NASA Rodent Research-1 project consortium. In this project, 16-week-old female C57 BL/6J mice were sent to International Space Station (ISS) in NASA's animal enclosure modules (AEM) and were kept inside ISS middeck for 37 days. We used transcrptomic and methylomic approaches to investigated the spaceflight-associated neuro-ocular syndrome (SANS) using retinas from those spaceflight mice."
OSD-419,Transcriptional profiling of the right gastrocnemius muscle from mice flown on the RR-1 mission,International Space Station (ISS),SpaceX-4,10.26030/8m9q-8z50,"In the NASA Rodent Research-1 (RR-1) validation study, ten 16-week-old female C57BL/6J mice were flown to the ISS for 37 days before euthanasia and subsequent dissection (Flight group). Due to crew time constraint, only two (out of ten) mice were dissected immediately after euthanasia to recover spleen and liver tissues on the ISS. The remaining eight animals were euthanized, then intact carcasses were placed in a pre-chilled cold stowage container and stored in the MELFI. There were respective cohorts of age-matched basal animals which were euthanized one day after launch as a baseline control (Basal control group) as well as age-matched ground control animals kept in an ISS Environmental Simulator at Kennedy Space Center (KSC) on a 4-day delay to mimic spaceflight conditions (Ground control group). In addition, the NASA Validation study also had a cohort of age-matched vivarium control animals that were housed in the vivarium cages and followed the same experimental timeline and process as the spaceflight animals (Vivarium control group). This dataset was generated only from Flight (n of 4) and Ground control (n of 8) animals that were euthanized and preserved intact on-orbit for subsequent dissection on the ground. Libraries were generated using a 3’ Tag-seq approach and sequenced at a depth of 40 M clusters (SE 93 bp)."
OSD-420,Transcriptional profiling of spleens from mice flown on the RR-9 mission,International Space Station (ISS),SpaceX-12,10.26030/k030-ms28,"The objective of the Rodent Research-9 (RR-9) mission was to use mice to understand the molecular basis of phenomena that affect astronauts during long-duration spaceflight, particularly visual impairment, and joint tissue degradation. To this end, a flight group (FLT) of 10-week-old male C57BL/6J mice were launched from Kennedy Space Center (KSC) on 8/14/2017 and housed in Rodent Habitats on the ISS for 33 days before being returned alive to Earth. After splashdown in the Pacific Ocean, the animals were transported to Loma Linda University (LLU) for testing, euthanasia, and dissection on 9/18/2018. Ground Control (GC) studies were planned to commence at KSC approximately one-week after the conclusion of the flight experiments. However, all the GC mouse studies at KSC had to be cancelled due to Hurricane Irma and potential adverse effects on the animal housing facility. The GC studies were therefore rescheduled and begun in May 2018. The GC was euthanized and dissected 6/18/2018 - 6/20/2018. Because this resulted in a different cohort of mice being used for the GC controls as compared to the flight (FLT) groups, two cohort controls were included in the study. The first, Cohort Control 1 (CC_C1), was from the same cohort as the FLT animals and was sacrificed and dissected 4 days after the FLT group (9/22/2017). The second, Cohort Control 2 (CC_C2), was from the same cohort as the GC, and was sacrificed and dissected 2-8 days after the GC, (6/24/2018 - 6/26/2018). The CC_C1 and CC_C2 groups were housed in standard cages and fed standard chow in contrast to all other groups which received Rodent Foodbars. Upon dissection, spleen tissues were preserved in liquid nitrogen and stored at 80 C before RNA was extracted. Only the flight (FLT, n of 10) and Ground Control (GC, n of 10) samples were processed and analyzed in this study. Libraries were generated using a 3’ Tag-seq approach and sequenced at a targeted depth of 40 M clusters (SE 93 bp)."
OSD-421,Transcriptional profiling of thymus from mice flown on the RR-9 mission,International Space Station (ISS),SpaceX-12,10.26030/5mv4-fe66,"The objective of the Rodent Research-9 (RR-9) mission was to use mice to understand the molecular basis of phenomena that affect astronauts during long-duration spaceflight, particularly visual impairment, and joint tissue degradation. To this end, a flight group (FLT) of 10-week-old male C57BL/6J mice were launched from Kennedy Space Center (KSC) on 8/14/2017 and housed in Rodent Habitats on the ISS for 33 days before being returned alive to Earth. After splashdown in the Pacific Ocean, the animals were transported to Loma Linda University (LLU) for testing, euthanasia, and dissection on 9/18/2018. Ground Control (GC) studies were planned to commence at KSC approximately one-week after the conclusion of the flight experiments. However, all the GC mouse studies at KSC had to be cancelled due to Hurricane Irma and potential adverse effects on the animal housing facility. The GC studies were therefore rescheduled and begun in May 2018. The GC was euthanized and dissected 6/18/2018 - 6/20/2018. Because this resulted in a different cohort of mice being used for the GC controls as compared to the flight (FLT) groups, two cohort controls were included in the study. The first, Cohort Control 1 (CC_C1), was from the same cohort as the FLT animals and was sacrificed and dissected 4 days after the FLT group (9/22/2017). The second, Cohort Control 2 (CC_C2), was from the same cohort as the GC, and was sacrificed and dissected 2-8 days after the GC, (6/24/2018 - 6/26/2018). The CC_C1 and CC_C2 groups were housed in standard cages and fed standard chow in contrast to all other groups which received Rodent Foodbars. Upon dissection, thymus tissues were preserved in liquid nitrogen and stored at 80 C before RNA was extracted. Only the flight (FLT, n of 10) and Ground Control (GC, n of 10) samples were processed and analyzed in this study. Libraries were generated using a 3’ Tag-seq approach and sequenced at a targeted depth of 40 M clusters (SE 93 bp)."
OSD-462,"Transcriptional profiling, protein expression profiling, and phosphoprotein profiling of kidneys from mice flown on the RR-10 mission",International Space Station (ISS),SpaceX-21,10.26030/8g1a-3041,"The objective of the Rodent Research-10 Mission (RR-10) was to investigate how spaceflight affects the cellular and molecular mechanisms of normal bone tissue regeneration in space. To this end, ten (10) 14-15 weeks-old female B6129SF2/J Wild Type (WT), and ten (10) 14-15 weeks-old female B6;129S2-Cdkn1atm1Tyj/J (p21-null) mice received a pre-flight subcutaneous injection of the bone marker (Alizarin Red), and were then delivered to the ISS aboard SpaceX-21. At 7 days before euthanasia, all 20 mice received an intraperitoneal (IP) injection with a bone formation marker (Calcein). At 48 +/- 2 hours before euthanasia, all 20 mice received an IP injection with a second dose of Calcein as well as a cell proliferation marker (BrdU). Then, following 28-29 days in microgravity, the Flight mice were euthanized. Following removal of hindlimbs, carcasses were wrapped in aluminum foil, preserved in the CryoChiller, and stored at -80 C or colder until return to Earth. In addition to the Flight group, three ground control groups were also part of the study: Basal (representing the pre-launch state), Vivarium (standard vivarium housing for the same duration of time as flight), and Ground (flight habitat in the International Space Station Environment Simulator, ISSES). Twenty mice (10 of each strain) were included in each of these control groups (except Vivarium which included 12 of each strain). These were treated, euthanized and processed on the same schedule and in the same manner as the flight samples. At the end of RR-10 experiment, all frozen carcasses were partially thawed and kidney tissues were removed and preserved by flash freezing in LN2. Kidneys were kept at -80 C freezer until processing. To ensure that both transcriptional profiling and protein expression profiling datasets are representative of the entire kidney, whole kidneys were first pulverized into a fine powder on dry ice. This powder was then split into two equal fractions with half being used for RNA isolation and half being used for protein isolation. RNA was used to generate three different transcriptional profiling datasets: a 3' tag-Seq datasets (20 M clusters at SE 93 bp), a polyA enriched dataset (60 M clusters at PE 150 bp), and a ribodepleted dataset (60 M clusters at PE 150 bp). Protein was used to generate protein expression profiling, and phosphoprotein profiling using the iTRAQ method (Isobaric tags for relative and absolute quantitation). Transcriptional profiling dataset features WT samples from the Flight, Ground, Basal and Vivarium groups. Protein expression profiling and phosphoprotein profiling datasets exclude the Vivarium group."
OSD-463,Transcriptional profiling of livers from mice flown on the RR-23 mission,International Space Station (ISS),SpaceX-21,10.26030/4axh-wg92,"The objective of the RR-23 mission was to better understand the effects of spaceflight on the eyes, specifically on the structure and function of the arteries, veins, and lymphatic vessels that are needed to maintain vision. To this end, twenty male, C57BL/6J, 16-17 weeks-old mice were delivered to the ISS on SpaceX-21 in a single transporter, transferred to two rodent habitats, and maintained in microgravity for 38 days. Flight mice were then returned to Earth alive (Jan 13th, 2021). After splashdown in the Atlantic Ocean, mice were transported to Kennedy Space Center via helicopter. The 20 Flight, 20 Habitat Ground Control (HGC), and 20 Vivarium Ground Control (VGC) mice were removed from Rodent Transporters (Flight and HGC) or vivarium cages (VGC), placed into shipping containers, and flown to Texas A and M University. There, mice underwent post-flight procedures, before euthanasia and tissue collection. Flight, HGC and VGC animals were euthanized and dissected on Jan 14th, 17th or 20th of 2021, respectively. Livers were preserved by flash freezing in liquid nitrogen and stored at -80 C until RNA was extracted, and libraries generated and sequenced (target 60 M clusters per sample, PE 150 bp). This dataset features 9 samples from the Flight and VGC groups, and 8 samples from the HGC group."
