ComponentOrder,Group,Pathway,PathwayOrder,PathwayDisplay,ComponentOrderWithinPathway,RequestedComponent,MappingStatus,DisplayComponent,OfficialMouseSymbol,EnsemblID,MGI_ID,EntrezID,TissueYARNNormalizedLog2,TissueInputExpressionLog2,TissueSourceExpressionPlus1,MissionN,ObservedMissionN,AnalysisUnitN,FlightSampleN,TissueChinese,TissueLabel,TissueOrder,LookupMouseSymbol,GeneBiotype,Sheet,RowInSheet,PlotPathwayDisplay,PlotComponentOrder
21,Left lobe of the liver,HR_A-EJ,3,HR–A-EJ,2,Rad50,reviewed teacher label/alias -> official mouse symbol,Rad50,Rad50,ENSMUSG00000020380,MGI:109292,19360,8.88508130906213,8.87962653683486,527.002445318721,2,2,3,24,肝左叶,"Left lobe of the liver
肝左叶",6,Rad50,protein_coding,DSB,21,HR–A-EJ,23
22,Left lobe of the liver,HR_A-EJ,3,HR–A-EJ,3,NBS1,reviewed teacher label/alias -> official mouse symbol,Nbn,Nbn,ENSMUSG00000028224,MGI:1351625,27354,9.28054013620328,9.29645437785893,698.181881225519,2,2,3,24,肝左叶,"Left lobe of the liver
肝左叶",6,Nbn,protein_coding,DSB,22,HR–A-EJ,24
25,Left lobe of the liver,A-EJ,4,A-EJ,1,Parp1,reviewed teacher label/alias -> official mouse symbol,Parp1,Parp1,ENSMUSG00000026496,MGI:1340806,11545,10.250801991405,10.287200544527,1362.9283852473,2,2,3,24,肝左叶,"Left lobe of the liver
肝左叶",6,Parp1,protein_coding,DSB,25,A-EJ,25
26,Left lobe of the liver,A-EJ,4,A-EJ,2,PolQ,reviewed teacher label/alias -> official mouse symbol,Polq,Polq,ENSMUSG00000034206,MGI:2155399,77782,3.4681492275573,3.22520210236646,12.264755373689,2,2,3,24,肝左叶,"Left lobe of the liver
肝左叶",6,Polq,protein_coding,DSB,26,A-EJ,26
27,Left lobe of the liver,A-EJ,4,A-EJ,3,XRCC1,reviewed teacher label/alias -> official mouse symbol,Xrcc1,Xrcc1,ENSMUSG00000051768,MGI:99137,22594,8.02860969610639,7.98337833651498,283.128238423822,2,2,3,24,肝左叶,"Left lobe of the liver
肝左叶",6,Xrcc1,protein_coding,DSB,27,A-EJ,27
28,Left lobe of the liver,A-EJ,4,A-EJ,4,Ligase I,reviewed teacher label/alias -> official mouse symbol,Lig1,Lig1,ENSMUSG00000056394,MGI:101789,16881,6.15751673281956,5.99814259142863,67.1680340597927,2,2,3,24,肝左叶,"Left lobe of the liver
肝左叶",6,Lig1,protein_coding,DSB,28,A-EJ,28
29,Left lobe of the liver,A-EJ,4,A-EJ,5,Ligase III,reviewed teacher label/alias -> official mouse symbol,Lig3,Lig3,ENSMUSG00000020697,MGI:109152,16882,9.83480965502399,9.86974497831985,1070.67057281575,2,2,3,24,肝左叶,"Left lobe of the liver
肝左叶",6,Lig3,protein_coding,DSB,29,A-EJ,29
30,Left lobe of the liver,BER,5,BER,1,UNG,reviewed teacher label/alias -> official mouse symbol,Ung,Ung,ENSMUSG00000029591,MGI:109352,22256,6.70031555872434,6.58255397754778,100.678161480492,2,2,3,24,肝左叶,"Left lobe of the liver
肝左叶",6,Ung,protein_coding,SSB_others,1,BER,30
31,Left lobe of the liver,BER,5,BER,2,OGG1,reviewed teacher label/alias -> official mouse symbol,Ogg1,Ogg1,ENSMUSG00000030271,MGI:1097693,18294,6.45332756657432,6.33132903354156,87.5756676658019,2,2,3,24,肝左叶,"Left lobe of the liver
肝左叶",6,Ogg1,protein_coding,SSB_others,2,BER,31
32,Left lobe of the liver,BER,5,BER,3,NEIL1,reviewed teacher label/alias -> official mouse symbol,Neil1,Neil1,ENSMUSG00000032298,MGI:1920024,72774,6.8591237282926,6.75094508130164,113.909953537316,2,2,3,24,肝左叶,"Left lobe of the liver
肝左叶",6,Neil1,protein_coding,SSB_others,3,BER,32
