ComponentOrder,PathwayOrder,ComponentOrderWithinPathway,Pathway,PathwayDisplay,RequestedComponent,MappingStatus,LookupMouseSymbol,DisplayComponent,EnsemblID,MGI_ID,EntrezID,OfficialMouseSymbol,GeneBiotype,Sheet,RowInSheet,PlotComponentOrder,PlottedPathwayDisplay
64,8,5,FA,FA,FANCF,reviewed teacher label/alias -> official mouse symbol,Fancf,Fancf,ENSMUSG00000092118,MGI:3689889,100040608,Fancf,protein_coding,SSB_others,35,63,FA
65,8,6,FA,FA,FANCG,reviewed teacher label/alias -> official mouse symbol,Fancg,Fancg,ENSMUSG00000028453,MGI:1926471,60534,Fancg,protein_coding,SSB_others,36,64,FA
66,8,7,FA,FA,FANCL,reviewed teacher label/alias -> official mouse symbol,Fancl,Fancl,ENSMUSG00000004018,MGI:1914280,67030,Fancl,protein_coding,SSB_others,37,65,FA
67,8,8,FA,FA,FANCT,reviewed teacher label/alias -> official mouse symbol,Ube2t,Ube2t,ENSMUSG00000026429,MGI:1914446,67196,Ube2t,protein_coding,SSB_others,38,66,FA
68,8,9,FA,FA,FANCM,reviewed teacher label/alias -> official mouse symbol,Fancm,Fancm,ENSMUSG00000055884,MGI:2442306,104806,Fancm,protein_coding,SSB_others,39,67,FA
69,8,10,FA,FA,MHF1,reviewed teacher label/alias -> official mouse symbol,Ciao1,Ciao1,ENSMUSG00000003662,MGI:1346998,26371,Ciao1,protein_coding,SSB_others,40,68,FA
70,8,11,FA,FA,MHF2,reviewed teacher label/alias -> official mouse symbol,Ciao2b,Ciao2b,ENSMUSG00000031879,MGI:1915773,68523,Ciao2b,protein_coding,SSB_others,41,69,FA
71,8,12,FA,FA,FAAP100,reviewed teacher label/alias -> official mouse symbol,Faap100,Faap100,ENSMUSG00000025384,MGI:1919135,71885,Faap100,protein_coding,SSB_others,42,70,FA
72,8,13,FA,FA,FAAP20,reviewed teacher label/alias -> official mouse symbol,Faap20,Faap20,ENSMUSG00000073684,MGI:1914763,67513,Faap20,protein_coding,SSB_others,43,71,FA
73,8,14,FA,FA,FAAP24,reviewed teacher label/alias -> official mouse symbol,Faap24,Faap24,ENSMUSG00000030493,MGI:2142208,101831,Faap24,protein_coding,SSB_others,44,72,FA
74,8,15,FA,FA,FANCD2,reviewed teacher label/alias -> official mouse symbol,Fancd2,Fancd2,ENSMUSG00000034023,MGI:2448480,211651,Fancd2,protein_coding,SSB_others,45,73,FA
75,8,16,FA,FA,FANCI,reviewed teacher label/alias -> official mouse symbol,Fanci,Fanci,ENSMUSG00000039187,MGI:2384790,208836,Fanci,protein_coding,SSB_others,46,74,FA
