family,ensembl_id,display_symbol,all_source_symbols,mgi_id,set_01_Cecum,set_02_Femoral_skin,set_03_Bone_marrow,set_04_Spleen_distal,set_05_Retina,set_06_Heart_Heart_right_ventricle
down_tissues,ENSMUSG00000024142,Mlst8,Mlst8,MGI:1929514,1,1,1,1,1,1
down_tissues,ENSMUSG00000024151,Msh2,Msh2,MGI:101816,1,1,1,1,1,1
down_tissues,ENSMUSG00000024155,Meiob,Meiob,MGI:1922428,1,1,1,0,1,1
down_tissues,ENSMUSG00000024174,Pot1b,Pot1b,MGI:1920086,1,1,1,1,1,1
down_tissues,ENSMUSG00000024193,Phf1,Phf1,MGI:98647,1,1,1,1,1,1
down_tissues,ENSMUSG00000024240,Epc1,Epc1,MGI:1278322,1,1,1,1,1,1
down_tissues,ENSMUSG00000024283,Wac,Wac,MGI:2387357,1,1,1,1,1,1
down_tissues,ENSMUSG00000024317,Rnf138,Rnf138,MGI:1929211,1,1,1,1,1,1
down_tissues,ENSMUSG00000024327,Slc39a7,Slc39a7,MGI:95909,1,1,1,1,1,1
down_tissues,ENSMUSG00000024382,Ercc3,Ercc3,MGI:95414,1,1,1,1,1,1
down_tissues,ENSMUSG00000024392,Bag6,Bag6,MGI:1919439,1,1,1,1,1,1
down_tissues,ENSMUSG00000024401,Tnf,Tnf,MGI:104798,1,1,1,1,1,1
down_tissues,ENSMUSG00000024429,Gnl1,Gnl1,MGI:95764,1,1,1,1,1,1
down_tissues,ENSMUSG00000024442,Dele1,Dele1,MGI:1914089,1,1,1,1,1,1
down_tissues,ENSMUSG00000024454,Hdac3,Hdac3,MGI:1343091,1,1,1,1,1,1
down_tissues,ENSMUSG00000024521,Pmaip1,Pmaip1,MGI:1930146,1,1,1,1,1,1
down_tissues,ENSMUSG00000024533,Spire1,Spire1,MGI:1915416,1,1,1,1,1,1
down_tissues,ENSMUSG00000024610,Cd74,Cd74,MGI:96534,1,1,1,1,1,1
down_tissues,ENSMUSG00000024691,Fam111a,Fam111a,MGI:1915508,1,1,1,1,1,1
down_tissues,ENSMUSG00000024735,Prpf19,Prpf19,MGI:106247,1,1,1,1,1,1
down_tissues,ENSMUSG00000024740,Ddb1,Ddb1,MGI:1202384,1,1,1,1,1,1
down_tissues,ENSMUSG00000024742,Fen1,Fen1,MGI:102779,1,1,1,1,1,1
down_tissues,ENSMUSG00000024767,Otub1,Otub1,MGI:2147616,1,1,1,1,1,1
down_tissues,ENSMUSG00000024786,Majin,Majin,MGI:1923913,1,1,0,0,1,1
down_tissues,ENSMUSG00000024791,Cdca5,Cdca5,MGI:1915099,1,1,1,1,1,1
down_tissues,ENSMUSG00000024803,Ankrd1,Ankrd1,MGI:1097717,1,1,0,1,1,1
down_tissues,ENSMUSG00000024824,Rad9a,Rad9a,MGI:1328356,1,1,1,1,1,1
down_tissues,ENSMUSG00000024826,Dpf2,Dpf2,MGI:109529,1,1,1,1,1,1
down_tissues,ENSMUSG00000024831,Ighmbp2,Ighmbp2,MGI:99954,1,1,1,1,1,1
down_tissues,ENSMUSG00000024844,Banf1,Banf1,MGI:1346330,1,1,1,1,1,1
down_tissues,ENSMUSG00000024854,Pold4,Pold4,MGI:1916995,1,1,1,1,1,1
down_tissues,ENSMUSG00000024906,Mus81,Mus81,MGI:1918961,1,1,1,1,1,1
down_tissues,ENSMUSG00000024921,Smarca2,Smarca2,MGI:99603,1,1,1,1,1,1
down_tissues,ENSMUSG00000024925,Rnaseh2c,Rnaseh2c,MGI:1915459,1,1,1,1,1,1
down_tissues,ENSMUSG00000024926,Kat5,Kat5,MGI:1932051,1,1,1,1,1,1
down_tissues,ENSMUSG00000024943,Smc5,Smc5,MGI:2385088,1,1,1,1,1,1
down_tissues,ENSMUSG00000024947,Men1,Men1,MGI:1316736,1,1,1,1,1,1
down_tissues,ENSMUSG00000024959,Bad,Bad,MGI:1096330,1,1,1,1,1,1
down_tissues,ENSMUSG00000024970,Spindoc,Spindoc,MGI:2147611,1,1,1,1,1,1
down_tissues,ENSMUSG00000025001,Hells,Hells,MGI:106209,1,1,1,1,1,1
down_tissues,ENSMUSG00000025014,Dntt,Dntt,MGI:98659,1,1,1,1,1,1
down_tissues,ENSMUSG00000025049,Taf5,Taf5,MGI:2442144,1,1,1,1,1,1
down_tissues,ENSMUSG00000025066,Sfr1,Sfr1,MGI:1915038,1,1,1,1,1,1
down_tissues,ENSMUSG00000025077,Dclre1a,Dclre1a,MGI:1930042,1,1,1,1,1,1
down_tissues,ENSMUSG00000025138,Sirt7,Sirt7,MGI:2385849,1,1,1,1,1,1
down_tissues,ENSMUSG00000025144,Cenpx,Cenpx,MGI:894324,1,1,1,1,1,1
down_tissues,ENSMUSG00000025157,Zdhhc16,Zdhhc16,MGI:1921418,1,1,1,1,1,1
down_tissues,ENSMUSG00000025218,Poll,Poll,MGI:1889000,1,1,1,1,1,1
down_tissues,ENSMUSG00000025261,Huwe1,Huwe1,MGI:1926884,1,1,1,1,1,1
down_tissues,ENSMUSG00000025269,Apex2,Apex2,MGI:1924872,1,1,1,1,1,1
down_tissues,ENSMUSG00000025358,Cdk2,Cdk2,MGI:104772,1,1,1,1,1,1
down_tissues,ENSMUSG00000025369,Smarcc2,Smarcc2,MGI:1915344,1,1,1,1,1,1
down_tissues,ENSMUSG00000025374,Nabp2,Nabp2,MGI:1917167,1,1,1,1,1,1
down_tissues,ENSMUSG00000025384,Faap100,Faap100,MGI:1919135,1,1,1,1,1,1
down_tissues,ENSMUSG00000025467,Prap1,Prap1,MGI:893573,1,0,0,0,1,1
down_tissues,ENSMUSG00000025507,Pidd1,Pidd1,MGI:1889507,1,1,1,1,1,1
down_tissues,ENSMUSG00000025578,Cbx8,Cbx8,MGI:1353589,1,1,1,1,1,1
down_tissues,ENSMUSG00000025583,Rptor,Rptor,MGI:1921620,1,1,1,1,1,1
down_tissues,ENSMUSG00000025612,Bach1,Bach1,MGI:894680,1,1,1,1,1,1
down_tissues,ENSMUSG00000025616,Usp16,Usp16,MGI:1921362,1,1,1,1,1,1
down_tissues,ENSMUSG00000025646,Atrip,Atrip,MGI:1925349,1,1,1,1,1,1
down_tissues,ENSMUSG00000025647,Shisa5,Shisa5,MGI:1915044,1,1,1,1,1,1
down_tissues,ENSMUSG00000025665,Rps6ka6,Rps6ka6,MGI:1914321,1,1,1,1,1,1
down_tissues,ENSMUSG00000025860,Xiap,Xiap,MGI:107572,1,1,1,1,1,1
down_tissues,ENSMUSG00000025878,Uimc1,Uimc1,MGI:103185,1,1,1,1,1,1
down_tissues,ENSMUSG00000025899,Alkbh8,Alkbh8,MGI:1914917,1,1,1,1,1,1
down_tissues,ENSMUSG00000025932,Eya1,Eya1,MGI:109344,1,1,1,1,1,1
down_tissues,ENSMUSG00000026011,Ctla4,Ctla4,MGI:88556,1,1,1,1,0,1
down_tissues,ENSMUSG00000026048,Ercc5,Ercc5,MGI:103582,1,1,1,1,1,1
down_tissues,ENSMUSG00000026077,Npas2,Npas2,MGI:109232,1,1,1,1,1,1
down_tissues,ENSMUSG00000026082,Rev1,Rev1,MGI:1929074,1,1,1,1,1,1
down_tissues,ENSMUSG00000026098,Pms1,Pms1,MGI:1202302,1,1,1,1,1,1
down_tissues,ENSMUSG00000026107,Nabp1,Nabp1,MGI:1923258,1,1,1,1,1,1
down_tissues,ENSMUSG00000026162,Nhej1,Nhej1,MGI:1922820,1,1,1,1,1,1
down_tissues,ENSMUSG00000026182,Tnp1,Tnp1,MGI:98784,0,0,1,0,0,0
down_tissues,ENSMUSG00000026187,Xrcc5,Xrcc5,MGI:104517,1,1,1,1,1,1
down_tissues,ENSMUSG00000026196,Bard1,Bard1,MGI:1328361,1,1,1,1,1,1
down_tissues,ENSMUSG00000026219,Trip12,Trip12,MGI:1309481,1,1,1,1,1,1
down_tissues,ENSMUSG00000026222,Sp100,Sp100,MGI:109561,1,1,1,1,1,1
down_tissues,ENSMUSG00000026278,Bok,Bok,MGI:1858494,1,1,1,1,1,1
down_tissues,ENSMUSG00000026355,Mcm6,Mcm6,MGI:1298227,1,1,1,1,1,1
down_tissues,ENSMUSG00000026389,Steap3,Steap3,MGI:1915678,1,1,1,1,1,1
down_tissues,ENSMUSG00000026429,Ube2t,Ube2t,MGI:1914446,1,1,1,1,1,1
down_tissues,ENSMUSG00000026434,Nucks1,Nucks1,MGI:1934811,1,1,1,1,1,1
down_tissues,ENSMUSG00000026439,Rbbp5,Rbbp5,MGI:1918367,1,1,1,1,1,1
down_tissues,ENSMUSG00000026496,Parp1,Parp1,MGI:1340806,1,1,1,1,1,1
down_tissues,ENSMUSG00000026526,Fh1,Fh1;mFH/iso:2,MGI:95530,1,1,1,1,1,1
down_tissues,ENSMUSG00000026563,Tada1,Tada1,MGI:1196415,1,1,1,1,1,1
down_tissues,ENSMUSG00000026603,Smyd2,Smyd2,MGI:1915889,1,1,1,1,1,1
down_tissues,ENSMUSG00000026648,Dclre1c,Dclre1c,MGI:2441769,1,1,1,1,1,1
down_tissues,ENSMUSG00000026669,Mcm10,Mcm10,MGI:1917274,1,1,1,1,1,1
down_tissues,ENSMUSG00000026779,Mastl,Mastl,MGI:1914371,1,1,1,1,1,1
down_tissues,ENSMUSG00000026831,Pierce1,Pierce1,MGI:1916577,1,1,0,0,1,1
down_tissues,ENSMUSG00000026842,Abl1,Abl1,MGI:87859,1,1,1,1,1,1
down_tissues,ENSMUSG00000026914,Psmd14,Psmd14,MGI:1913284,1,1,1,1,1,1
down_tissues,ENSMUSG00000026932,Nacc2,Nacc2,MGI:1915241,1,1,1,1,1,1
down_tissues,ENSMUSG00000026977,Marchf7,Marchf7,MGI:1931053,1,1,1,1,1,1
down_tissues,ENSMUSG00000027104,Atf2,Atf2,MGI:109349,1,1,1,1,1,1
down_tissues,ENSMUSG00000027229,Terb2,Terb2,MGI:1921651,0,0,0,0,0,0
down_tissues,ENSMUSG00000027230,Creb3l1,Creb3l1,MGI:1347062,1,1,1,1,1,1
